category,character_id,asset_type,name,extension,size,path
character_ui,,Texture2D,202508BandPopUp_MaidNyan,.png,266867,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\202508BandPopUp_MaidNyan.png
maid_chat,,Texture2D,BG_MaidChatPackage,.png,663686,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\BG_MaidChatPackage.png
maid_chat,,Texture2D,ChatFrmae_03_White3,.png,619,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\ChatFrmae_03_White3.png
customer,01,Texture2D,Ch_Customer01_SD,.png,155706,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer01_SD.png
customer,02,Texture2D,Ch_Customer02_SD,.png,133984,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer02_SD.png
customer,02,Texture2D,Ch_Customer02_Summer2025Event_01_SD,.png,131428,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer02_Summer2025Event_01_SD.png
customer,02,Texture2D,Ch_Customer02_Summer2025Event_SD,.png,69495,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer02_Summer2025Event_SD.png
customer,03,Texture2D,Ch_Customer03_SD,.png,129594,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer03_SD.png
customer,04,Texture2D,Ch_Customer04_SD,.png,165432,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer04_SD.png
customer,04,Texture2D,Ch_Customer04_Summer2025Event_01_SD,.png,165042,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer04_Summer2025Event_01_SD.png
customer,04,Texture2D,Ch_Customer04_Summer2025Event_SD,.png,125901,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer04_Summer2025Event_SD.png
customer,05,Texture2D,Ch_Customer05_SD,.png,138674,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer05_SD.png
customer,06,Texture2D,Ch_Customer06_SD,.png,113545,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer06_SD.png
customer,07,Texture2D,Ch_Customer07_SD,.png,109470,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer07_SD.png
customer,07,Texture2D,Ch_Customer07_Summer2025Event_01_SD,.png,137047,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer07_Summer2025Event_01_SD.png
customer,07,Texture2D,Ch_Customer07_Summer2025Event_SD,.png,109585,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer07_Summer2025Event_SD.png
customer,08,Texture2D,Ch_Customer08_SD,.png,125380,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer08_SD.png
customer,08,Texture2D,Ch_Customer08_Summer2025Event_01_SD,.png,148376,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer08_Summer2025Event_01_SD.png
customer,08,Texture2D,Ch_Customer08_Summer2025Event_SD,.png,129548,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer08_Summer2025Event_SD.png
customer,09,Texture2D,Ch_Customer09_SD,.png,119985,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer09_SD.png
customer,10,Texture2D,Ch_Customer10_SD,.png,114517,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer10_SD.png
customer,11,Texture2D,Ch_Customer11_SD,.png,121758,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer11_SD.png
customer,11,Texture2D,Ch_Customer11_SD_Summer,.png,139653,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer11_SD_Summer.png
customer,11,Texture2D,Ch_Customer11_Summer2025Event_01_SD,.png,146572,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer11_Summer2025Event_01_SD.png
customer,12,Texture2D,Ch_Customer12_SD,.png,125406,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer12_SD.png
customer,13,Texture2D,Ch_Customer13_SD,.png,176114,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer13_SD.png
customer,13,Texture2D,Ch_Customer13_Summer2025Event_01_SD,.png,197599,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer13_Summer2025Event_01_SD.png
customer,13,Texture2D,Ch_Customer13_Summer2025Event_SD,.png,122203,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer13_Summer2025Event_SD.png
customer,14,Texture2D,Ch_Customer14_SD,.png,132216,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer14_SD.png
customer,15,Texture2D,Ch_Customer15_SD,.png,126831,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Customer15_SD.png
character_ui,,Texture2D,Ch_CustomerSilhouette_LD_Idle,.png,22661,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_CustomerSilhouette_LD_Idle.png
maid_base,01,Texture2D,Ch_Maid01_Basic01_SD,.png,111727,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Maid01_Basic01_SD.png
maid_base,01,Texture2D,Ch_Maid01_Basic01_SD_UI,.png,149742,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Maid01_Basic01_SD_UI.png
maid_base,02,Texture2D,Ch_Maid02_Basic01_SD,.png,173646,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Maid02_Basic01_SD.png
maid_base,03,Texture2D,Ch_Maid03_Basic01_LD,.png,2057276,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Maid03_Basic01_LD.png
maid_base,03,Texture2D,Ch_Maid03_Basic01_SD,.png,151817,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Maid03_Basic01_SD.png
maid_base,04,Texture2D,Ch_Maid04_Basic01_SD,.png,144324,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Maid04_Basic01_SD.png
maid_base,05,Texture2D,Ch_Maid05_Basic01_LD,.png,1866805,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Maid05_Basic01_LD.png
maid_base,05,Texture2D,Ch_Maid05_Basic01_SD,.png,141126,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Maid05_Basic01_SD.png
maid_base,06,Texture2D,Ch_Maid06_Basic01_LD,.png,1654233,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Maid06_Basic01_LD.png
maid_base,06,Texture2D,Ch_Maid06_Basic01_LD2,.png,279830,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Maid06_Basic01_LD2.png
maid_base,06,Texture2D,Ch_Maid06_Basic01_LD2_2,.png,445497,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Maid06_Basic01_LD2_2.png
maid_base,06,Texture2D,Ch_Maid06_Basic01_SD,.png,91743,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Maid06_Basic01_SD.png
maid_base,06,Texture2D,Ch_Maid06_Basic01_SD_2,.png,133459,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Maid06_Basic01_SD_2.png
maid_base,07,Texture2D,Ch_Maid07_Basic01_SD,.png,150246,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Ch_Maid07_Basic01_SD.png
maid_costume,01,Texture2D,Cos_Maid01_Band01_LD,.png,1683661,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Cos_Maid01_Band01_LD.png
maid_costume,01,Texture2D,Cos_Maid01_Band01_SD,.png,148443,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Cos_Maid01_Band01_SD.png
maid_costume,01,Texture2D,Cos_Maid01_Casual01_LD,.png,1744445,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Cos_Maid01_Casual01_LD.png
maid_costume,01,Texture2D,Cos_Maid01_Casual01_SD,.png,156980,reverse-output\assets\assetstudio-cli-data-texture2d\Texture2D\Cos_Maid01_Casual01_SD.png
