asset_key,path,kind,has_atlas,has_skel,width,height,region_count,sample_regions
Ch_Customer01_SD,res://assets/characters/customer/Ch_Customer01_SD.png,spine_atlas_page_no_skel,True,False,318,490,34,Idle eye L|Idle eye R|Idle eye white L|Idle eye white R|Idle eyebrow L|Idle eyebrow R|Idle eyelash L|Idle eyelash R|Idle mouth|Smile eyebrow L|Smile eyebrow R|Smile eyelash L
Ch_Customer02_SD,res://assets/characters/customer/Ch_Customer02_SD.png,spine_atlas_page_with_skel,True,True,296,497,29,Idle eye L|Idle eye R|Idle eye white L|Idle eye white R|Idle eyebrow L|Idle eyebrow R|Idle eyelash L|Idle eyelash R|Idle mouth|Smile eyebrow L|Smile eyebrow R|Smile eyelash L
Ch_Customer02_Summer2025Event_01_SD,res://assets/characters/customer/Ch_Customer02_Summer2025Event_01_SD.png,spine_atlas_page_with_skel,True,True,512,512,31,Idle eye L|Idle eye R|Idle eye white L|Idle eye white R|Idle eyebrow L|Idle eyebrow R|Idle eyelash L|Idle eyelash R|Idle mouth|Smile eyebrow L|Smile eyebrow R|Smile eyelash L
Ch_Customer02_Summer2025Event_SD,res://assets/characters/customer/Ch_Customer02_Summer2025Event_SD.png,static_png_only,False,False,230,390,0,
Ch_Customer03_SD,res://assets/characters/customer/Ch_Customer03_SD.png,spine_atlas_page_with_skel,True,True,378,488,36,Customer03_mouth|Idle_eyeblow_L|Idle_eyeblow_R|Idle_eyelashes_L 0|Idle_eyelashes_L 1|Idle_eyelashes_L 2|Idle_eyelashes_R 0|Idle_eyelashes_R 1|Idle_eyelashes_R 2|Idle_mouth|Idle_pupil_ L|Idle_pupil_ R
Ch_Customer04_SD,res://assets/characters/customer/Ch_Customer04_SD.png,spine_atlas_page_no_skel,True,False,351,490,29,Customer04_mouth|Idle_ mouth|Idle_eyeblow L|Idle_eyeblow R|Idle_eyelashe L|Idle_eyelashe R|Idle_pupil L|Idle_pupil R|Idle_sclera L|Idle_sclera R|Smile_eyeblow L|Smile_eyeblow R
Ch_Customer04_Summer2025Event_01_SD,res://assets/characters/customer/Ch_Customer04_Summer2025Event_01_SD.png,spine_atlas_page_no_skel,True,False,512,512,28,Idle_ mouth|Idle_eyeblow L|Idle_eyeblow R|Idle_eyelashe L|Idle_eyelashe R|Idle_pupil L|Idle_pupil R|Idle_sclera L|Idle_sclera R|Smile_eyeblow L|Smile_eyeblow R|Smile_eyelashes  L
Ch_Customer04_Summer2025Event_SD,res://assets/characters/customer/Ch_Customer04_Summer2025Event_SD.png,static_png_only,False,False,348,506,0,
Ch_Customer05_SD,res://assets/characters/customer/Ch_Customer05_SD.png,spine_atlas_page_with_skel,True,True,309,498,32,Arm L|Arm R1|Arm R2|Body|Cloth L1|Cloth R3|Hair Mid|Hair back|Hair front|Hair front side L1|Hair front side R1|Hair side L1
Ch_Customer06_SD,res://assets/characters/customer/Ch_Customer06_SD.png,spine_atlas_page_no_skel,True,False,364,494,44,Arm L1|Arm L2|Arm R|Body|Cloth L1|Cloth L2|Cloth L4|Cloth R1|Hair back|Hair big L|Hair big R|Hair front
Ch_Customer07_SD,res://assets/characters/customer/Ch_Customer07_SD.png,static_png_only,False,False,325,512,0,
Ch_Customer07_Summer2025Event_01_SD,res://assets/characters/customer/Ch_Customer07_Summer2025Event_01_SD.png,spine_atlas_page_with_skel,True,True,512,512,31,B_S_hair|B_hair|B_hair_2|Body_1|Body_2|C_eye_L|Eyeblow_H|F_M_hair|F_S_hair|Face|Leg_L|Leg_R
Ch_Customer07_Summer2025Event_SD,res://assets/characters/customer/Ch_Customer07_Summer2025Event_SD.png,static_png_only,False,False,325,512,0,
Ch_Customer08_SD,res://assets/characters/customer/Ch_Customer08_SD.png,static_png_only,False,False,346,500,0,
Ch_Customer08_Summer2025Event_01_SD,res://assets/characters/customer/Ch_Customer08_Summer2025Event_01_SD.png,spine_atlas_page_with_skel,True,True,512,512,33,Arm_L|Arm_L2|Arm_R|Body|Eye_L|Eye_R|Eye_back_L|Eye_back_R|Eye_pupil_L|Eye_pupil_R|Eyebrow_L|Eyebrow_R
Ch_Customer08_Summer2025Event_SD,res://assets/characters/customer/Ch_Customer08_Summer2025Event_SD.png,static_png_only,False,False,354,512,0,
Ch_Customer09_SD,res://assets/characters/customer/Ch_Customer09_SD.png,spine_atlas_page_with_skel,True,True,319,498,30,Arm_L|Arm_R1|Arm_R2|Back_hair|Body|Effect|Eyebrow L|Eyebrow R|Eyelashes L|Eyelashes R|Face_shadow|Front_hair_2
Ch_Customer10_SD,res://assets/characters/customer/Ch_Customer10_SD.png,static_png_only,False,False,396,462,0,
Ch_Customer11_SD,res://assets/characters/customer/Ch_Customer11_SD.png,static_png_only,False,False,333,494,0,
Ch_Customer11_SD_Summer,res://assets/characters/customer/Ch_Customer11_SD_Summer.png,static_png_only,False,False,333,494,0,
Ch_Customer11_Summer2025Event_01_SD,res://assets/characters/customer/Ch_Customer11_Summer2025Event_01_SD.png,spine_atlas_page_with_skel,True,True,512,512,28,Arm_L|Arm_R1|Arm_R2|Back_hair|Body|Ear_R|Effect|Eye_L|Eye_R|Eyeback_L|Eyeback_R|Eyebrow_L
Ch_Customer12_SD,res://assets/characters/customer/Ch_Customer12_SD.png,spine_atlas_page_no_skel,True,False,318,498,29,Idle eye L|Idle eye R|Idle eye white L|Idle eye white R|Idle eyelash L|Idle eyelash R|Idle mouth|arm L|arm R|back hair|earing back|earing front
Ch_Customer13_SD,res://assets/characters/customer/Ch_Customer13_SD.png,spine_atlas_page_with_skel,True,True,371,497,40,Face_shadow|Idle eye L|Idle eye R|Idle eye white L|Idle eye white R|Idle eyebrow L|Idle eyebrow R|Idle eyelash L|Idle eyelash L_sub|Idle eyelash R|Idle eyelash R_sub|Idle mouth
Ch_Customer13_Summer2025Event_01_SD,res://assets/characters/customer/Ch_Customer13_Summer2025Event_01_SD.png,spine_atlas_page_with_skel,True,True,512,512,37,Arm_L|Arm_R|Ch_Customer13_SD_Festival|Face_shadow|Hairpin|Ice_L|Ice_R|Idle eye L|Idle eye R|Idle eye white L|Idle eye white R|Idle eyebrow L
Ch_Customer13_Summer2025Event_SD,res://assets/characters/customer/Ch_Customer13_Summer2025Event_SD.png,static_png_only,False,False,377,509,0,
Ch_Customer14_SD,res://assets/characters/customer/Ch_Customer14_SD.png,spine_atlas_page_with_skel,True,True,400,485,37,arm L|arm R|bell|cat eye whie L|cat eye whie R|coin|ear L|ear R|emote|eye open_L|eye_open_R|flower
Ch_Customer15_SD,res://assets/characters/customer/Ch_Customer15_SD.png,spine_atlas_page_with_skel,True,True,368,494,36,Idle eye white L|Idle eye white R|Idle eyelash L|Idle eyelash R|arm_L|arm_L2|arm_R|arm_R2|eyeholeL|eyeholeR|finger|flower
Ch_Maid01_Basic01_SD,res://assets/characters/maid_base/Ch_Maid01_Basic01_SD.png,spine_atlas_page_with_skel,True,True,301,459,40,Idle eye white L|Idle eye white R|Smile|arm L|arm R|arm_L_ribbon_b|arm_R_ribbon_b|body|eye L|eye R|eyeblow L|eyeblow R
Ch_Maid01_Basic01_SD_UI,res://assets/characters/maid_base/Ch_Maid01_Basic01_SD_UI.png,spine_atlas_page_no_skel,True,False,512,512,40,Idle eye white L|Idle eye white R|Smile|arm L|arm R|arm_L_ribbon_b|arm_R_ribbon_b|body|eye L|eye R|eyeblow L|eyeblow R
Ch_Maid02_Basic01_SD,res://assets/characters/maid_base/Ch_Maid02_Basic01_SD.png,spine_atlas_page_with_skel,True,True,325,456,39,Idle eyelashes L1|Idle eyelashes L2|Idle eyelashes R1|Idle eyelashes R2|Idle mouth|Idle pupil L|Idle pupil R|Idle sclera L|Idle sclera R|arm_L1|arm_L2|arm_acc L1
Ch_Maid03_Basic01_LD,res://assets/characters/maid_base/Ch_Maid03_Basic01_LD.png,spine_atlas_page_no_skel,True,False,2048,2048,58,Embarrassing|Halo|Sigh|Signature|angry_eyelid_R|arm L 1|arm R 1|arm R 2|arm_R|basic _eyelid_L|basic_eyebrow_L|basic_eyebrow_R
Ch_Maid03_Basic01_SD,res://assets/characters/maid_base/Ch_Maid03_Basic01_SD.png,spine_atlas_page_with_skel,True,True,267,484,35,Arm L|Arm R1|Arm R2|Body|Face|Hair back|Hair band|Hair front 1|Hair front 2|Hair ribbon|Hair ribbon cotton|Hair side L
Ch_Maid04_Basic01_SD,res://assets/characters/maid_base/Ch_Maid04_Basic01_SD.png,spine_atlas_page_with_skel,True,True,272,450,39,Arm L1|Arm L2|Arm R1|Arm R2|Face|Frill L|Frill R|Hair back|Hair band|Hair big L|Hair big R|Hair front
Ch_Maid05_Basic01_LD,res://assets/characters/maid_base/Ch_Maid05_Basic01_LD.png,spine_atlas_page_no_skel,True,False,2048,2048,74,Angry|Angry_sub|Embarrassing|F_hair|F_hair_sub|F_skirt|Face_Embarrassing|Face_blush_O|Face_blush_X|L_forarm|L_horn|L_leg_Down
Ch_Maid05_Basic01_SD,res://assets/characters/maid_base/Ch_Maid05_Basic01_SD.png,spine_atlas_page_no_skel,True,False,298,455,37,Arm L1|Arm R1|Arm R2|Arm_L_1|Chain|Frill R|Hair Front L|Hair Front R|Hair back|Hair band|Hair side L|Hair side R
Ch_Maid06_Basic01_LD,res://assets/characters/maid_base/Ch_Maid06_Basic01_LD.png,spine_atlas_page_no_skel,True,False,2048,2048,126,Happy_eb_L|Happy_eb_R|Happy_eye_R|Happy_eye_RL|ahoge|angry_eb_L|angry_eb_R|angry_eye_L|angry_eye_R|angry_mouth|angry_surprise head|april
Ch_Maid06_Basic01_LD2,res://assets/characters/maid_base/Ch_Maid06_Basic01_LD2.png,spine_atlas_page_with_skel,True,True,1024,1024,26,Acc/Katyusha|Acc/Summer_HairPin|Acc/Summer_Hairband|Acc/hair_pin|Body/Ahoge|Body/AngryFace|Body/BackLeg_L|Body/BackLeg_R|Body/Body|Body/Ear_L|Body/Ear_R|Body/FrontFur
Ch_Maid06_Basic01_LD2_2,res://assets/characters/maid_base/Ch_Maid06_Basic01_LD2_2.png,static_png_only,False,False,1024,1024,0,
Ch_Maid06_Basic01_SD,res://assets/characters/maid_base/Ch_Maid06_Basic01_SD.png,spine_atlas_page_with_skel,True,True,512,512,61,Dog/Cloud_Smoke_01|Dog/D_Ahoge|Dog/D_Body|Dog/D_Ear_L|Dog/D_Ear_R|Dog/D_Hair_F|Dog/D_Idle_Mouth|Dog/D_Katyusha|Dog/D_Leg_B_L|Dog/D_Leg_B_R|Dog/D_Leg_F_L|Dog/D_Leg_F_R
Ch_Maid06_Basic01_SD_2,res://assets/characters/maid_base/Ch_Maid06_Basic01_SD_2.png,static_png_only,False,False,512,512,0,
Ch_Maid07_Basic01_SD,res://assets/characters/maid_base/Ch_Maid07_Basic01_SD.png,spine_atlas_page_no_skel,True,False,512,512,39,Arm_L|Arm_R|Body|Chest|EF_1|EF_2|EF_3|EF_4|EF_5|EF_6|Ear|Eye_L
AIChatIcon_AmusementPark,res://assets/characters/maid_chat/AIChatIcon_AmusementPark.png,static_png_only,False,False,256,256,0,
AIChatIcon_BookCafe,res://assets/characters/maid_chat/AIChatIcon_BookCafe.png,static_png_only,False,False,256,256,0,
AIChatIcon_Dormitory,res://assets/characters/maid_chat/AIChatIcon_Dormitory.png,static_png_only,False,False,256,256,0,
AIChatIcon_ReadingRoom,res://assets/characters/maid_chat/AIChatIcon_ReadingRoom.png,static_png_only,False,False,256,256,0,
AIChatIcon_Shopping,res://assets/characters/maid_chat/AIChatIcon_Shopping.png,static_png_only,False,False,256,256,0,
Appicon_MaidChatBot,res://assets/characters/maid_chat/Appicon_MaidChatBot.png,static_png_only,False,False,200,200,0,
BG_MaidChatPackage,res://assets/characters/maid_chat/BG_MaidChatPackage.png,static_png_only,False,False,736,1024,0,
ChatFrmae_03_White3,res://assets/characters/maid_chat/ChatFrmae_03_White3.png,static_png_only,False,False,32,38,0,
MaiChatPopUp_AikoFirst,res://assets/characters/maid_chat/MaiChatPopUp_AikoFirst.png,static_png_only,False,False,1024,1024,0,
ProfileImg_QuestionMaiChat,res://assets/characters/maid_chat/ProfileImg_QuestionMaiChat.png,static_png_only,False,False,512,512,0,
Cos_Maid01_Band01_LD,res://assets/characters/maid_costume/Cos_Maid01_Band01_LD.png,spine_atlas_page_no_skel,True,False,2048,2048,143,1|2|3|4|5|6|Head_Idle|arm_L_1|arm_L_2|arm_L_inner|arm_R_2|arm_R_3
Cos_Maid01_Band01_SD,res://assets/characters/maid_costume/Cos_Maid01_Band01_SD.png,spine_atlas_page_with_skel,True,True,512,512,43,Arm_L|Arm_R|Beads_1|Beads_2|Beret|Beret_Acc|Beret_Ribbon_1|Beret_Ribbon_2|Body_Upper|Body_lower|Check_Shirts|Check_Shirts2
Cos_Maid01_Casual01_LD,res://assets/characters/maid_costume/Cos_Maid01_Casual01_LD.png,spine_atlas_page_no_skel,True,False,2048,2048,60,Back hair top|Back hair under|Effect|L Leg|L arm|L arm under|L face side hair|L front hair|L headphone|R Leg|R arm|R arm skin
