id,category_name,sub_category_name,group_name,block_type,level,block_tier,production_diff,block_name,block_image,tail_raw_hex,tail_size,record_offset,source_file
90301101,Currency01,Gold,Gold,7,1,0,17,BlockName_Gold,curr_gold1_1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000010000000000000000000000000020400000104102000000090000000100000001000000,120,48,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
90301102,Currency01,Gold,Gold,7,2,0,35,BlockName_Gold,curr_gold1_2,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000000a0000000000000000000000000020400000904102000000120000000100000001000000,120,256,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
90301103,Currency01,Gold,Gold,7,3,0,52,BlockName_Gold,curr_gold1_3,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000001e0000000000000000000000000020400000504202000000340000000100000001000000,120,464,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
90301104,Currency01,Gold,Gold,7,4,0,70,BlockName_Gold,curr_gold1_4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000500000000000000000000000000020400000c24202000000610000000100000001000000,120,672,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
90301105,Currency01,Gold,Gold,7,5,0,87,BlockName_Gold,curr_gold1_5,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000d20000000000000000000000000020400000c04202000000600000000100000001000000,120,880,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
90302201,Currency01,Jewel,Jewel,8,1,0,17,BlockName_Jewel,curr_jewel1_1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000002000000010000000000000000000000000020400000884102000000110000000100000001000000,120,1088,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
90302202,Currency01,Jewel,Jewel,8,2,0,35,BlockName_Jewel,curr_jewel1_2,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000020000000300000000000000000000000000204000000c4202000000230000000100000001000000,120,1308,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
90302203,Currency01,Jewel,Jewel,8,3,0,52,BlockName_Jewel,curr_jewel1_3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000002000000070000000000000000000000000020400000504202000000340000000100000001000000,120,1528,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
90302204,Currency01,Jewel,Jewel,8,4,0,70,BlockName_Jewel,curr_jewel1_4,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000020000000f0000000000000000000000000020400000414302000000c10000000100000001000000,120,1748,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
90302205,Currency01,Jewel,Jewel,8,5,0,87,BlockName_Jewel,curr_jewel1_5,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000002000000200000000000000000000000000020400000404302000000c00000000100000001000000,120,1968,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
90303301,Currency01,AP,Ap,9,1,0,17,BlockName_Energy,curr_stamina1_1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000003000000020000000000000000000000000020400000884102000000110000000100000001000000,120,2188,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
90303302,Currency01,AP,Ap,9,2,0,35,BlockName_Energy,curr_stamina1_2,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000030000000500000000000000000000000000204000000c4202000000230000000100000001000000,120,2400,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
90303303,Currency01,AP,Ap,9,3,0,52,BlockName_Energy,curr_stamina1_3,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000030000000f0000000000000000000000000020400000504202000000340000000100000001000000,120,2612,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
90303304,Currency01,AP,Ap,9,4,0,70,BlockName_Energy,curr_stamina1_4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000003000000280000000000000000000000000020400080904302000000210100000100000001000000,120,2824,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
90303305,Currency01,AP,Ap,9,5,0,87,BlockName_Energy,curr_stamina1_5,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000003000000640000000000000000000000000020400000904302000000200100000100000001000000,120,3036,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
80104101,CurrencyBox,Box,GoldBox,1,1,0,17,BlockName_GoldBox_1,GoldBox_1,0000000000000000000000000a0000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020400000884102000000110000000000000000000000,120,3248,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
80104102,CurrencyBox,Box,GoldBox,1,2,0,35,BlockName_GoldBox_2,GoldBox_2,0000000000000000000000000a00000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204000000c4202000000230000000000000000000000,120,3464,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
80104103,CurrencyBox,Box,GoldBox,1,3,0,52,BlockName_GoldBox_3,GoldBox_3,0000000000000000000000000a0000000000000000000000000000000000000000000000000000000100000000000000b80b00000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020400000504202000000340000000000000000000000,120,3680,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
80104201,CurrencyBox,Box,JewelBox,1,1,0,17,BlockName_JewelBox_1,JewelBox_1,0000000000000000000000000a0000000000000000000000000000000000000000000000000000000100000000000000701700000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020400000884102000000110000000000000000000000,120,3896,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
80104202,CurrencyBox,Box,JewelBox,1,2,0,35,BlockName_JewelBox_2,JewelBox_2,0000000000000000000000000a00000000000000000000000000000000000000000000000000000001000000000000005046000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204000000c4202000000230000000000000000000000,120,4112,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
80104203,CurrencyBox,Box,JewelBox,1,3,0,52,BlockName_JewelBox_3,JewelBox_3,0000000000000000000000000a0000000000000000000000000000000000000000000000000000000100000000000000a08c00000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020400000504202000000340000000000000000000000,120,4328,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
80104301,CurrencyBox,Box,ApBox,1,1,0,17,BlockName_EnergyBox_1,EnergyBox_1,0000000000000000000000000a0000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020400000884102000000110000000000000000000000,120,4544,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
80104302,CurrencyBox,Box,ApBox,1,2,0,35,BlockName_EnergyBox_2,EnergyBox_2,0000000000000000000000000a00000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204000000c4202000000230000000000000000000000,120,4764,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
80104303,CurrencyBox,Box,ApBox,1,3,0,52,BlockName_EnergyBox_3,EnergyBox_3,0000000000000000000000000a0000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020400000504202000000340000000000000000000000,120,4984,reverse-output\assets\assetstudio-cli-data-all-raw\MonoBehaviour\Table_Block.dat
