group_name,level_min,ratio1,ratio2,ratio3,row_index
Tool,8,20,50,100,0
Glove,8,20,50,100,1
Woodens,8,20,50,100,2
Plywood,8,20,50,100,3
Coffee,8,20,50,100,4
Soda,8,20,50,100,5
Tea,8,20,50,100,6
Snack,8,20,50,100,7
Candy,8,20,50,100,8
Egg,8,20,50,100,9
Brunch,8,20,50,100,10
Pasta,8,20,50,100,11
CleaningTool,8,20,50,100,12
Detergent,8,20,50,100,13
Goods,8,20,50,100,14
Rice,8,20,50,100,15
RiceCook,8,20,50,100,16
FishCook,8,20,50,100,17
SlimeCook,8,20,50,100,18
Fruit,8,20,50,100,19
BathToiletries,8,20,50,100,20
BathBombToy,8,20,50,100,21
Water,8,20,50,100,22
Milk,8,20,50,100,23
