block_id,reward_type,reward_id,reward_amount,row_index
201101101,1,3,5,0
201101102,1,3,5,1
201101103,1,3,5,2
201101104,1,3,5,3
201101105,1,3,5,4
201101106,1,3,5,5
201101107,1,3,5,6
201101108,1,3,5,7
201101109,1,3,5,8
201101110,1,3,5,9
201101111,1,3,5,10
201101201,1,3,5,11
201101202,1,3,5,12
201101203,1,3,5,13
201101204,1,3,5,14
201101205,1,3,5,15
201101206,1,3,5,16
201101207,1,3,5,17
202102101,1,3,5,18
202102102,1,3,5,19
202102103,1,3,5,20
202102104,1,3,5,21
202102105,1,3,5,22
202102106,1,3,5,23
202102107,1,3,5,24
202102108,1,3,5,25
202102109,1,3,5,26
202102110,1,3,5,27
202102111,1,3,5,28
202102201,1,3,5,29
202102202,1,3,5,30
202102203,1,3,5,31
202102204,1,3,5,32
202102205,1,3,5,33
202102206,1,3,5,34
202102207,1,3,5,35
203103101,1,3,5,36
203103102,1,3,5,37
203103103,1,3,5,38
203103104,1,3,5,39
203103105,1,3,5,40
203103106,1,3,5,41
203103107,1,3,5,42
203103108,1,3,5,43
203103109,1,3,5,44
203103110,1,3,5,45
203103111,1,3,5,46
203103112,1,3,5,47
203103113,1,3,5,48
203103114,1,3,5,49
203103115,1,3,5,50
203103201,1,3,5,51
203103202,1,3,5,52
203103203,1,3,5,53
203103204,1,3,5,54
203103205,1,3,5,55
