group_name,currency_type,min_value,cool_time_during,cool_time_during_value,row_index
GoldBox,2,1,170,1,0
JewelBox,2,1,170,1,1
CurrencyRandBox,2,1,170,1,2
ToolBox,2,1,25,1,3
WoodenBox,2,1,25,1,4
Coffeepot,2,1,25,1,5
DessertBasket,2,1,25,1,6
Pen,2,1,25,1,7
PastaPot,2,1,25,1,8
CleaningToolCart,2,1,25,1,9
Bag,2,1,25,1,10
FishingRod,2,1,25,1,11
FruitTree,2,1,25,1,12
BathBag,2,1,25,1,13
BathBomb,2,1,25,1,14
MarkerPenSet,2,1,120,1,15
PaintPalette,2,1,120,1,16
MarkerPenSetB,2,1,60,1,17
PaintPaletteB,2,1,60,1,18
HalloweenBasket,2,1,60,1,19
HalloweenBasket,2,1,60,1,20
Well,2,1,10,1,21
Bundlepaper_Kurone,2,1,30,1,22
Bundlepaper_Aiko,2,1,30,1,23
