id,block_id,count_min,count_max,row_index
80104101,90301101,0,2,0
80104101,90301102,1,2,1
80104101,90301103,2,4,2
80104101,90301104,2,5,3
80104102,90301101,0,0,4
80104102,90301102,0,3,5
80104102,90301103,2,5,6
80104102,90301104,2,6,7
80104102,90301105,2,4,8
80104103,90301101,0,0,9
80104103,90301102,1,4,10
80104103,90301103,3,6,11
80104103,90301104,3,7,12
80104103,90301105,3,5,13
80104201,90302201,2,2,14
80104201,90302202,1,1,15
80104201,90302203,0,1,16
80104201,90302204,0,0,17
80104202,90302201,1,1,18
80104202,90302202,2,3,19
80104202,90302203,1,2,20
80104202,90302204,0,0,21
80104203,90302201,1,1,22
80104203,90302202,3,4,23
80104203,90302203,2,3,24
80104203,90302204,0,0,25
80104301,90303301,1,2,26
80104301,90303302,1,2,27
80104301,90303303,1,2,28
80104301,90303304,0,0,29
80104302,90303301,1,2,30
80104302,90303302,1,2,31
80104302,90303303,1,2,32
80104302,90303304,1,1,33
80104303,90303301,1,2,34
80104303,90303302,1,2,35
80104303,90303303,2,3,36
80104303,90303304,1,2,37
80104401,90301101,2,2,38
80104401,90301102,3,4,39
80104401,90301103,2,4,40
80104401,90301104,2,4,41
80104401,90302201,1,2,42
80104401,90302202,1,1,43
80104401,90302203,0,1,44
80104402,90301101,0,0,45
80104402,90301102,2,2,46
80104402,90301103,2,3,47
80104402,90301104,2,3,48
80104402,90301105,1,4,49
80104402,90302201,2,3,50
80104402,90302202,1,2,51
80104402,90302203,1,1,52
80104403,90301101,0,0,53
80104403,90301102,2,4,54
80104403,90301103,2,4,55
80104403,90301104,3,6,56
80104403,90301105,3,6,57
80104403,90302201,2,5,58
80104403,90302202,2,3,59
80104403,90302203,1,1,60
203103205,90303301,1,2,61
203103205,90303302,1,2,62
203103205,90303303,1,2,63
203103205,90303304,1,1,64
