id,block_id,ratio,weight,final_ratio_raw,row_index
1101104,1201101,100,10,0,0
1101105,1201101,60,10,0,1
1101105,1201102,20,20,0,2
1101105,1201201,40,20,0,3
1101106,1201101,70,10,0,4
1101106,1201102,20,20,0,5
1101106,1201201,20,10,0,6
1101107,1201101,70,10,0,7
1101107,1201102,20,20,0,8
1101107,1201201,18,9,0,9
1101107,1201202,20,20,0,10
1101108,1201101,50,10,0,11
1101108,1201102,30,15,0,12
1101108,1201103,20,20,0,13
1101108,1201201,16,8,0,14
1101108,1201202,20,20,0,15
1101109,1201101,50,10,0,16
1101109,1201102,30,15,0,17
1101109,1201103,20,20,0,18
1101109,1201201,16,8,0,19
1101109,1201202,20,20,0,20
1101110,1201101,50,10,0,21
1101110,1201102,30,15,0,22
1101110,1201103,20,20,0,23
1101110,1201104,8,8,0,24
1101110,1201201,16,8,0,25
1101110,1201202,20,20,0,26
1102104,1202101,100,10,0,27
1102105,1202101,60,10,0,28
1102105,1202102,20,20,0,29
1102105,1202201,40,20,0,30
1102106,1202101,70,10,0,31
1102106,1202102,20,20,0,32
1102106,1202201,30,15,0,33
1102107,1202101,70,10,0,34
1102107,1202102,20,20,0,35
1102107,1202201,16,8,0,36
1102107,1202202,20,20,0,37
1102108,1202101,50,10,0,38
1102108,1202102,30,15,0,39
1102108,1202103,8,8,0,40
1102108,1202201,16,8,0,41
1102108,1202202,20,20,0,42
1102109,1202101,50,10,0,43
1102109,1202102,30,15,0,44
1102109,1202103,8,8,0,45
1102109,1202201,16,8,0,46
1102109,1202202,20,20,0,47
1103104,1203101,100,10,0,48
1103105,1203101,60,10,0,49
1103105,1203102,20,20,0,50
1103105,1203201,40,20,0,51
1103106,1203101,70,10,0,52
1103106,1203102,15,15,0,53
1103106,1203103,20,20,0,54
1103106,1203201,30,15,0,55
1103107,1203101,50,10,0,56
1103107,1203102,30,15,0,57
1103107,1203103,20,20,0,58
1103107,1203201,16,8,0,59
1103107,1203202,20,20,0,60
1103108,1203101,50,10,0,61
1103108,1203102,30,15,0,62
1103108,1203103,20,20,0,63
1103108,1203104,8,8,0,64
1103108,1203201,16,8,0,65
1103108,1203202,40,20,0,66
1103108,1203203,8,8,0,67
1103207,1203301,100,10,0,68
1104104,1204101,100,10,0,69
1104105,1204101,60,10,0,70
1104105,1204102,20,20,0,71
1104105,1204201,40,20,0,72
1104106,1204101,70,10,0,73
1104106,1204102,20,20,0,74
1104106,1204201,20,10,0,75
1104107,1204101,50,10,0,76
1104107,1204102,20,20,0,77
1104107,1204201,18,9,0,78
1104107,1204202,20,20,0,79
1104108,1204101,50,10,0,80
1104108,1204102,30,15,0,81
1104108,1204103,20,20,0,82
1104108,1204201,16,8,0,83
1104108,1204202,20,20,0,84
1104109,1204101,50,10,0,85
1104109,1204102,30,15,0,86
1104109,1204103,20,20,0,87
1104109,1204201,16,8,0,88
1104109,1204202,20,20,0,89
1104110,1204101,50,10,0,90
1104110,1204102,30,15,0,91
1104110,1204103,20,20,0,92
1104110,1204104,8,8,0,93
1104110,1204201,16,8,0,94
1104110,1204202,20,20,0,95
1105104,1205101,100,10,0,96
1105105,1205101,60,10,0,97
1105105,1205102,20,20,0,98
1105105,1205201,40,20,0,99
1105106,1205101,70,10,0,100
1105106,1205102,20,20,0,101
1105106,1205201,30,15,0,102
1105107,1205101,50,10,0,103
1105107,1205102,15,15,0,104
1105107,1205201,20,10,0,105
1105107,1205202,15,15,0,106
1105108,1205101,50,10,0,107
1105108,1205102,30,15,0,108
1105108,1205103,8,8,0,109
1105108,1205201,16,8,0,110
1105108,1205202,20,20,0,111
1105109,1205101,50,10,0,112
1105109,1205102,30,15,0,113
1105109,1205103,8,8,0,114
1105109,1205201,16,8,0,115
1105109,1205202,20,20,0,116
1106103,1206101,100,10,0,117
1106104,1206101,140,20,0,118
1106104,1206102,60,20,0,119
1106105,1206101,120,20,0,120
1106105,1206102,60,20,0,121
1106105,1206103,20,20,0,122
1107103,1207101,100,10,0,123
1107104,1207101,180,20,0,124
1107104,1207201,20,20,0,125
1107105,1207101,160,20,0,126
1107105,1207201,30,15,0,127
1107106,1207101,100,20,0,128
1107106,1207102,20,20,0,129
1107106,1207201,16,8,0,130
1107106,1207202,20,20,0,131
1108101,1208101,100,10,0,132
1108102,1208101,180,20,0,133
1108102,1208102,20,20,0,134
1108103,1208101,160,20,0,135
1108103,1208102,40,20,0,136
1108104,1208101,140,20,0,137
1108104,1208102,60,20,0,138
1108105,1208101,120,20,0,139
1108105,1208102,60,20,0,140
1108105,1208103,20,20,0,141
1109101,1209101,100,10,0,142
1109102,1209101,180,20,0,143
1109102,1209102,20,20,0,144
1109103,1209101,160,20,0,145
1109103,1209102,40,20,0,146
1109104,1209101,140,20,0,147
1109104,1209102,40,20,0,148
1109104,1209103,20,20,0,149
1109105,1209101,140,20,0,150
1109105,1209102,20,20,0,151
1109105,1209103,20,20,0,152
1109105,1209201,40,20,0,153
1109106,1209101,120,20,0,154
1109106,1209102,9,9,0,155
1109106,1209103,9,9,0,156
1109106,1209201,40,20,0,157
1109107,1209101,120,20,0,158
1109107,1209102,40,20,0,159
1109107,1209103,8,8,0,160
1109107,1209201,16,8,0,161
1109107,1209202,20,20,0,162
1110101,1210101,100,10,0,163
1110102,1210101,160,20,0,164
1110102,1210102,40,20,0,165
1110103,1210101,140,20,0,166
1110103,1210102,20,20,0,167
1110103,1110201,40,20,0,168
1110104,1210101,140,20,0,169
1110104,1210102,20,20,0,170
1110104,1210103,15,15,0,171
1110104,1110201,30,15,0,172
1110105,1210101,100,20,0,173
1110105,1210102,40,20,0,174
1110105,1210103,13,13,0,175
1110105,1110201,26,13,0,176
1110105,1110202,20,20,0,177
1110106,1210101,100,20,0,178
1110106,1210102,20,20,0,179
1110106,1210103,20,20,0,180
1110106,1110201,16,8,0,181
1110106,1110202,9,9,0,182
1110107,1210101,80,20,0,183
1110107,1210102,40,20,0,184
1110107,1210103,8,8,0,185
1110107,1110201,16,8,0,186
1110107,1110202,20,20,0,187
1110205,1210201,70,10,0,188
1110205,1210301,30,10,0,189
1115101,1215101,100,10,0,190
1115102,1215101,120,20,0,191
1115102,1215102,20,20,0,192
1115102,1315201,40,20,0,193
1115103,1215101,140,20,0,194
1115103,1215102,20,20,0,195
1115103,1315201,30,15,0,196
1115104,1215101,140,20,0,197
1115104,1215102,20,20,0,198
1115104,1215103,20,20,0,199
1115104,1315201,26,13,0,200
1115105,1215101,120,20,0,201
1115105,1215102,40,20,0,202
1115105,1215103,20,20,0,203
1115105,1315201,20,10,0,204
1115106,1215101,100,20,0,205
1115106,1215102,40,20,0,206
1115106,1215103,20,20,0,207
1115106,1215104,4,2,0,208
1115106,1315201,8,8,0,209
1315201,1215201,100,10,0,210
100801101,100801101,10,10,0,211
100801101,100801102,10,10,0,212
100111101,100211101,50,10,0,213
100111101,100211201,50,10,0,214
100112101,100212101,50,10,0,215
100112101,100212201,32,10,0,216
100112101,100212301,18,10,0,217
100113101,100213101,50,10,0,218
100114101,100214101,10,10,0,219
100114101,100214201,10,10,0,220
100210101,100910101,60,10,0,221
100210101,100910102,40,10,0,222
100210102,100910101,40,10,0,223
100210102,100910102,30,10,0,224
100210102,100910103,10,10,0,225
1116101,1216101,100,10,0,226
1116102,1216101,60,10,0,227
1116102,1216102,20,20,0,228
1116102,1216201,40,20,0,229
1116103,1216101,140,20,0,230
1116103,1216102,20,20,0,231
1116103,1216201,30,15,0,232
1116103,1216202,30,30,0,233
1116104,1216101,140,20,0,234
1116104,1216102,20,20,0,235
1116104,1216103,20,20,0,236
1116104,1216201,20,10,0,237
1116104,1216202,25,25,0,238
1116105,1216101,100,20,0,239
1116105,1216102,40,20,0,240
1116105,1216103,20,20,0,241
1116105,1216104,8,8,0,242
1116105,1216201,8,8,0,243
1116105,1216202,20,20,0,244
1116106,1216101,100,20,0,245
1116106,1216102,40,20,0,246
1116106,1216103,20,20,0,247
1116106,1216104,8,8,0,248
1116106,1216201,8,8,0,249
1116106,1216202,20,20,0,250
201201101,201101101,80,10,0,251
201201101,201101102,10,10,0,252
201201101,201101103,10,10,0,253
201201101,201101201,10,10,0,254
202202101,202102101,80,10,0,255
202202101,202102102,10,10,0,256
202202101,202102103,10,10,0,257
202202101,202102201,10,10,0,258
203203101,203103101,100,10,0,259
