pool_group_id,drop_block_id,map_cell_type,row_index
1001,90301101,2,0
1002,90301101,2,1
1002,203103102,1,2
1002,203103201,2,3
1003,90301101,2,4
1003,90301101,2,5
1003,203103103,1,6
1003,203103103,1,7
1003,90303301,2,8
1003,203103201,2,9
1004,90301101,2,10
1004,90301101,2,11
1004,90303301,2,12
1004,203103104,1,13
1004,203103104,1,14
1004,203103105,1,15
1004,203103201,2,16
1005,90301102,2,17
1005,90303302,2,18
1005,203103201,2,19
1005,203103202,2,20
1005,203103104,1,21
1005,203103105,1,22
1005,203103106,1,23
1006,90301102,2,24
1006,90301102,2,25
1006,203103105,1,26
1006,203103106,1,27
1006,203103106,1,28
1006,203103201,2,29
1006,203103201,2,30
1006,203103202,2,31
1006,90303302,2,32
1006,90303302,2,33
1007,203103106,1,34
1007,203103107,1,35
1007,203103108,1,36
1007,203103201,2,37
1007,203103201,2,38
1007,203103202,2,39
1007,90301102,2,40
1007,90301102,2,41
1007,90303302,2,42
1007,90303302,2,43
1008,203103104,1,44
1008,203103104,1,45
1008,203103109,1,46
1008,203103201,2,47
1008,203103201,2,48
1008,203103202,2,49
1008,90301102,2,50
1008,90301102,2,51
1008,90303302,2,52
1008,90303302,2,53
1009,203103108,1,54
1009,203103109,1,55
1009,203103110,1,56
1009,203103201,2,57
1009,203103201,2,58
1009,203103202,2,59
1009,90301103,2,60
1009,90301103,2,61
1009,90303303,2,62
1009,90303303,2,63
1010,90303301,2,64
1011,90303301,2,65
1011,90303301,2,66
1011,90303301,2,67
