id,drop_id,designed_drop_id,row_index
80104101,0,80104101,0
80104102,0,80104102,1
80104103,0,80104103,2
80104201,0,80104201,3
80104202,0,80104202,4
80104203,0,80104203,5
80104301,0,80104301,6
80104302,0,80104302,7
80104303,0,80104303,8
80104401,0,80104401,9
80104402,0,80104402,10
80104403,0,80104403,11
1101101,1101101,0,12
1101102,1101102,0,13
1101103,1101103,0,14
1101104,1101104,0,15
1101105,1101105,0,16
1101106,1101106,0,17
1101107,1101107,0,18
1101108,1101108,0,19
1101109,1101109,0,20
1101110,1101110,0,21
1102101,1102101,0,22
1102102,1102102,0,23
1102103,1102103,0,24
1102104,1102104,0,25
1102105,1102105,0,26
1102106,1102106,0,27
1102107,1102107,0,28
1102108,1102108,0,29
1102109,1102109,0,30
1103101,1103101,0,31
1103102,1103102,0,32
1103103,1103103,0,33
1103104,1103104,0,34
1103105,1103105,0,35
1103106,1103106,0,36
1103107,1103107,0,37
1103108,1103108,0,38
1103207,1103207,0,39
1104101,1104101,0,40
1104102,1104102,0,41
1104103,1104103,0,42
1104104,1104104,0,43
1104105,1104105,0,44
1104106,1104106,0,45
1104107,1104107,0,46
1104108,1104108,0,47
1104109,1104109,0,48
1104110,1104110,0,49
1105101,1105101,0,50
1105102,1105102,0,51
1105103,1105103,0,52
1105104,1105104,0,53
1105105,1105105,0,54
1105106,1105106,0,55
1105107,1105107,0,56
1105108,1105108,0,57
1105109,1105109,0,58
1106101,0,0,59
1106102,0,0,60
1106103,1106103,0,61
1106104,1106104,0,62
1106105,1106105,0,63
1107101,0,0,64
1107102,0,0,65
1107103,1107103,0,66
1107104,1107104,0,67
1107105,1107105,0,68
1107106,1107106,0,69
1108101,1108101,0,70
1108102,1108102,0,71
1108103,1108103,0,72
1108104,1108104,0,73
1108105,1108105,0,74
1109101,1109101,0,75
1109102,1109102,0,76
1109103,1109103,0,77
1109104,1109104,0,78
1109105,1109105,0,79
1109106,1109106,0,80
1109107,1109107,0,81
1110101,1110101,0,82
1110102,1110102,0,83
1110103,1110103,0,84
1110104,1110104,0,85
1110105,1110105,0,86
1110106,1110106,0,87
1110107,1110107,0,88
1110201,0,0,89
1110202,0,0,90
1110203,0,0,91
1110204,0,0,92
1110205,1110205,0,93
100111101,100111101,0,94
100112101,100112101,0,95
100113101,100113101,0,96
100114101,100114101,0,97
1115101,1115101,0,98
1115102,1115102,0,99
1115103,1115103,0,100
1115104,1115104,0,101
1115105,1115105,0,102
1115106,1115106,0,103
1315201,1315201,0,104
100210101,100210101,0,105
100210102,100210102,0,106
1116101,1116101,0,107
1116102,1116102,0,108
1116103,1116103,0,109
1116104,1116104,0,110
1116105,1116105,0,111
1116106,1116106,0,112
201201101,201201101,0,113
202202101,202202101,0,114
203203101,203203101,0,115
203103205,0,203103205,116
