pop_type,min_production_diff,max_production_diff,reward_block_id,reward_rate,row_index
0,0,250,90301101,85,0
0,0,250,90303301,15,1
0,0,250,90302201,1,2
0,251,700,90301101,50,3
0,251,700,90303301,25,4
0,251,700,90301102,10,5
0,251,700,90303302,6,6
0,251,700,90301103,5,7
0,251,700,90303303,3,8
0,251,700,90302201,1,9
0,701,1000,90301101,35,10
0,701,1000,90303301,20,11
0,701,1000,90301102,19,12
0,701,1000,90303302,12,13
0,701,1000,90301103,8,14
0,701,1000,90303303,5,15
0,701,1000,90302201,1,16
0,1001,99999,90301101,15,17
0,1001,99999,90301102,35,18
0,1001,99999,90303301,30,19
0,1001,99999,90303302,20,20
0,1001,99999,90302201,1,21
1,0,0,90301101,70,22
1,0,0,90301102,20,23
1,0,0,90301103,10,24
2,0,0,90303301,85,25
2,0,0,90303302,10,26
2,0,0,90303303,5,27
3,0,0,0,100,28
