MaidId,LV,NeedExp,RewardType,RewardID,RewardCount,row_index,record_offset
1002,1,0,0,0,0,0,20144
1002,2,20,2,70901,1,1,20168
1002,3,42,1,1,2000,2,20192
1002,4,68,9,50201,1,3,20216
1002,5,99,0,0,0,4,20240
1002,6,136,2,80104101,1,5,20264
1002,7,180,1,1,3000,6,20288
1002,8,234,0,0,0,7,20312
1002,9,301,9,50201,1,8,20336
1002,10,384,2,70901,1,9,20360
1002,11,519,0,0,0,10,20384
1002,12,712,2,80104102,1,11,20408
1002,13,955,9,50201,1,12,20432
1002,14,1258,0,0,0,13,20456
1002,15,1661,1,3,80,14,20480
1002,16,2163,1,1,5000,15,20504
1002,17,2726,0,0,0,16,20528
1002,18,3390,9,50201,1,17,20552
1002,19,4114,1,2,50,18,20576
1002,20,4882,0,0,0,19,20600
1003,1,0,0,0,0,20,20624
1003,2,20,2,70901,1,21,20648
1003,3,42,1,1,2000,22,20672
1003,4,68,9,50102,1,23,20696
1003,5,99,0,0,0,24,20720
1003,6,136,2,80104101,1,25,20744
1003,7,180,1,1,3000,26,20768
1003,8,234,0,0,0,27,20792
1003,9,301,9,50102,1,28,20816
1003,10,384,2,70901,1,29,20840
1003,11,519,0,0,0,30,20864
1003,12,712,2,80104102,1,31,20888
1003,13,955,9,50102,1,32,20912
1003,14,1258,0,0,0,33,20936
1003,15,1661,1,3,80,34,20960
1003,16,2163,1,1,5000,35,20984
1003,17,2726,0,0,0,36,21008
1003,18,3390,9,50102,1,37,21032
1003,19,4114,1,2,50,38,21056
1003,20,4882,0,0,0,39,21080
1004,1,0,0,0,0,40,21104
1004,2,20,2,70901,1,41,21128
1004,3,42,1,1,2000,42,21152
1004,4,68,9,50502,1,43,21176
1004,5,99,0,0,0,44,21200
1004,6,136,2,80104101,1,45,21224
1004,7,180,1,1,3000,46,21248
1004,8,234,0,0,0,47,21272
1004,9,301,9,50502,1,48,21296
1004,10,384,2,70901,1,49,21320
1004,11,519,0,0,0,50,21344
1004,12,712,2,80104102,1,51,21368
1004,13,955,9,50502,1,52,21392
1004,14,1258,0,0,0,53,21416
1004,15,1661,1,3,80,54,21440
1004,16,2163,1,1,5000,55,21464
1004,17,2726,0,0,0,56,21488
1004,18,3390,9,50502,1,57,21512
1004,19,4114,1,2,50,58,21536
1004,20,4882,0,0,0,59,21560
1005,1,0,0,0,0,60,21584
1005,2,20,2,70901,1,61,21608
1005,3,42,1,1,2000,62,21632
1005,4,68,9,50701,1,63,21656
1005,5,99,0,0,0,64,21680
1005,6,136,2,80104101,1,65,21704
1005,7,180,1,1,3000,66,21728
1005,8,234,0,0,0,67,21752
1005,9,301,9,50701,1,68,21776
1005,10,384,2,70901,1,69,21800
1005,11,519,0,0,0,70,21824
1005,12,712,2,80104102,1,71,21848
1005,13,955,9,50701,1,72,21872
1005,14,1258,0,0,0,73,21896
1005,15,1661,1,3,80,74,21920
1005,16,2163,1,1,5000,75,21944
1005,17,2726,0,0,0,76,21968
1005,18,3390,9,50701,1,77,21992
1005,19,4114,1,2,50,78,22016
1005,20,4882,0,0,0,79,22040
1006,1,0,0,0,0,80,22064
1006,2,20,2,70901,1,81,22088
1006,3,42,1,1,2000,82,22112
1006,4,68,9,50901,1,83,22136
1006,5,99,0,0,0,84,22160
1006,6,136,2,80104101,1,85,22184
1006,7,180,1,1,3000,86,22208
1006,8,234,0,0,0,87,22232
1006,9,301,9,50901,1,88,22256
1006,10,384,2,70901,1,89,22280
1006,11,519,0,0,0,90,22304
1006,12,712,2,80104102,1,91,22328
1006,13,955,9,50901,1,92,22352
1006,14,1258,0,0,0,93,22376
1006,15,1661,1,3,80,94,22400
1006,16,2163,1,1,5000,95,22424
1006,17,2726,0,0,0,96,22448
1006,18,3390,9,50901,1,97,22472
1006,19,4114,1,2,50,98,22496
1006,20,4882,0,0,0,99,22520
1007,1,0,0,0,0,100,22544
1007,2,20,2,70901,1,101,22568
1007,3,42,1,1,2000,102,22592
1007,4,68,9,50801,1,103,22616
1007,5,99,0,0,0,104,22640
1007,6,136,2,80104101,1,105,22664
1007,7,180,1,1,3000,106,22688
1007,8,234,0,0,0,107,22712
1007,9,301,9,50801,1,108,22736
1007,10,384,2,70901,1,109,22760
1007,11,519,0,0,0,110,22784
1007,12,712,2,80104102,1,111,22808
1007,13,955,9,50801,1,112,22832
1007,14,1258,0,0,0,113,22856
1007,15,1661,1,3,80,114,22880
1007,16,2163,1,1,5000,115,22904
1007,17,2726,0,0,0,116,22928
1007,18,3390,9,50801,1,117,22952
1007,19,4114,1,2,50,118,22976
1007,20,4882,0,0,0,119,23000
1008,1,0,0,0,0,120,23024
1008,2,20,2,70901,1,121,23048
1008,3,42,1,1,2000,122,23072
1008,4,68,9,50301,1,123,23096
1008,5,99,0,0,0,124,23120
1008,6,136,2,80104101,1,125,23144
1008,7,180,1,1,3000,126,23168
1008,8,234,0,0,0,127,23192
1008,9,301,9,50301,1,128,23216
1008,10,384,2,70901,1,129,23240
1008,11,519,0,0,0,130,23264
1008,12,712,2,80104102,1,131,23288
1008,13,955,9,50301,1,132,23312
1008,14,1258,0,0,0,133,23336
1008,15,1661,1,3,80,134,23360
1008,16,2163,1,1,5000,135,23384
1008,17,2726,0,0,0,136,23408
1008,18,3390,9,50301,1,137,23432
1008,19,4114,1,2,50,138,23456
1008,20,4882,0,0,0,139,23480
