SkillID,Lv,SkillType,SkillTargetID,SkillValue,row_index,record_offset
50101,1,1,"ToolBox,WoodenBox",2.0,0,18140
50101,2,1,"ToolBox,WoodenBox",4.0,1,18180
50101,3,1,"ToolBox,WoodenBox",6.0,2,18220
50101,4,1,"ToolBox,WoodenBox",8.0,3,18260
50101,5,1,"ToolBox,WoodenBox",10.0,4,18300
50102,1,1,"Coffeepot,Soda",2.0,5,18340
50102,2,1,"Coffeepot,Soda",4.0,6,18376
50102,3,1,"Coffeepot,Soda",6.0,7,18412
50102,4,1,"Coffeepot,Soda",8.0,8,18448
50102,5,1,"Coffeepot,Soda",10.0,9,18484
50201,1,2,"ToolBox,WoodenBox",3.0,10,18520
50201,2,2,"ToolBox,WoodenBox",7.0,11,18560
50201,3,2,"ToolBox,WoodenBox",9.0,12,18600
50201,4,2,"ToolBox,WoodenBox",11.0,13,18640
50201,5,2,"ToolBox,WoodenBox",13.0,14,18680
50202,1,2,"Coffeepot,Soda",3.0,15,18720
50202,2,2,"Coffeepot,Soda",7.0,16,18756
50202,3,2,"Coffeepot,Soda",9.0,17,18792
50202,4,2,"Coffeepot,Soda",11.0,18,18828
50202,5,2,"Coffeepot,Soda",13.0,19,18864
50301,1,3,"ToolBox,WoodenBox",3.0,20,18900
50301,2,3,"ToolBox,WoodenBox",5.0,21,18940
50301,3,3,"ToolBox,WoodenBox",7.0,22,18980
50301,4,3,"ToolBox,WoodenBox",8.0,23,19020
50301,5,3,"ToolBox,WoodenBox",10.0,24,19060
50401,1,4,,1.0,25,19100
50401,2,4,,3.0,26,19120
50401,3,4,,5.0,27,19140
50401,4,4,,7.0,28,19160
50401,5,4,,9.0,29,19180
50501,1,5,Gold,5.0,30,19200
50501,2,5,Gold,8.0,31,19224
50501,3,5,Gold,10.0,32,19248
50501,4,5,Gold,13.0,33,19272
50501,5,5,Gold,15.0,34,19296
50502,1,5,Ap,5.0,35,19320
50502,2,5,Ap,8.0,36,19344
50502,3,5,Ap,10.0,37,19368
50502,4,5,Ap,13.0,38,19392
50502,5,5,Ap,15.0,39,19416
50601,1,6,,1.0,40,19440
50601,2,6,,2.0,41,19460
50601,3,6,,4.0,42,19480
50601,4,6,,5.0,43,19500
50601,5,6,,6.0,44,19520
50701,1,7,,2.0,45,19540
50701,2,7,,4.0,46,19560
50701,3,7,,6.0,47,19580
50701,4,7,,8.0,48,19600
50701,5,7,,10.0,49,19620
50801,1,8,,1.0,50,19640
50801,2,8,,3.0,51,19660
50801,3,8,,5.0,52,19680
50801,4,8,,6.0,53,19700
50801,5,8,,8.0,54,19720
50901,1,9,,3.0,55,19740
50901,2,9,,7.0,56,19760
50901,3,9,,9.0,57,19780
50901,4,9,,13.0,58,19800
50901,5,9,,15.0,59,19820
51001,1,10,,2.0,60,19840
51001,2,10,,4.0,61,19860
51001,3,10,,5.0,62,19880
51001,4,10,,6.0,63,19900
51001,5,10,,8.0,64,19920
51101,1,11,,2.0,65,19940
51101,2,11,,4.0,66,19960
51101,3,11,,5.0,67,19980
51101,4,11,,6.0,68,20000
51101,5,11,,8.0,69,20020
51201,1,12,,1.0,70,20040
51201,2,12,,2.0,71,20060
51201,3,12,,3.0,72,20080
51201,4,12,,4.0,73,20100
51201,5,12,,5.0,74,20120
