NpcID,Name,SkinID,ParentID,UnlockQuestID,NeedUnlockFurnitureID,UnlockType,UnlockValue_01,UnlockValue_02,isUnlockAnim,Icon_LD,Icon_SD,Prefab_LD,Prefab_SD,Prefab_SD_OutGame,Npc_Icon,Npc_CryIcon,Npc_Prefab,NPCType,PersonalColor,IsDormitory,row_index,record_offset
1001,Rin,0,0,0,0,0,0,0,False,,,NPC_1000_LD,NPC_1000_SD,NPC_1000_SD,,,,3,#FFDD83,False,0,48
1002,Kokomi,0,0,0,0,0,0,0,False,,Ch_Maid01_Basic01_SD,Maid_1001_LD,Maid_1001_SD_InGame,Maid_1001_SD,,,,1,#FFAACC,True,1,180
1003,Aku,0,0,0,94,0,0,0,False,,Ch_Maid02_Basic01_SD,Maid_1002_LD,Maid_1002_SD_InGame,Maid_1002_SD,,,,1,#7AA2F3,True,2,344
1004,Yuki,0,0,0,94,0,0,0,False,,Ch_Maid03_Basic01_SD,Maid_1003_LD,Maid_1003_SD_InGame,Maid_1003_SD,,,,1,#AADDEE,True,3,504
1005,Kaede,0,0,0,94,0,0,0,False,,Ch_Maid04_Basic01_SD,Maid_1004_LD,Maid_1004_SD_InGame,Maid_1004_SD,,,,1,#BBDDBB,True,4,664
1006,Akane,0,0,0,201,0,0,0,True,,Ch_Maid05_Basic01_SD,Maid_1005_LD,Maid_1005_SD_Ingame,Maid_1005_SD,,,,1,#EE7777,True,5,828
1007,Kurone,0,0,0,603,1,101001,0,True,,Ch_Maid06_Basic01_SD,Maid_1006_LD,Maid_1006_SD_Ingame,Maid_1006_SD,,,,1,#9C84BB,True,6,992
1008,Aiko_Playable,0,0,0,0,1,102001,0,True,,Ch_Maid07_Basic01_SD,Maid_1007_LD,Maid_1007_SD_Ingame,Maid_1007_SD,,,,1,#FEFFC7,True,7,1156
1002,Kokomi_Casual01,1002101,0,0,0,0,0,0,False,,Cos_Maid01_Casual01_SD,Maid_1001_LD_Casual01,Maid_1001_SD_Casual01_Ingame,Maid_1001_SD_Casual01,,,,1,#FFAACC,False,8,1328
1003,Aku_Casual01,1003101,0,0,0,0,0,0,False,,Cos_Maid02_Casual01_SD,Maid_1002_LD_Casual01,Maid_1002_SD_Casual01_Ingame,Maid_1002_SD_Casual01,,,,1,#7AA2F3,False,9,1536
1004,Yuki_Casual01,1004101,0,0,0,0,0,0,False,,Cos_Maid03_Casual01_SD,Maid_1003_LD_Casual01,Maid_1003_SD_Casual01_Ingame,Maid_1003_SD_Casual01,,,,1,#AADDEE,False,10,1740
1005,Kaede_Casual01,1005101,0,0,0,0,0,0,False,,Cos_Maid04_Casual01_SD,Maid_1004_LD_Casual01,Maid_1004_SD_Casual01_Ingame,Maid_1004_SD_Casual01,,,,1,#BBDDBB,False,11,1948
