path,kind,node_path,component_id,game_object_name,script_guid,serialized_fields_present,fields,rect
Assets/Resources/prefabs/ui/BGCanvas.prefab,Canvas,BGCanvas,223977153420339851,BGCanvas,,,"{""m_AdditionalShaderChannelsFlag"": ""0"", ""m_OverridePixelPerfect"": ""0"", ""m_OverrideSorting"": ""0"", ""m_PixelPerfect"": ""0"", ""m_PlaneDistance"": ""5"", ""m_ReceivesEvents"": ""1"", ""m_RenderMode"": ""1"", ""m_SortingLayerID"": ""0"", ""m_SortingOrder"": ""-10"", ""m_TargetDisplay"": ""0"", ""m_UpdateRectTransformForStandalone"": ""0""}","{""anchor_max"": {""x"": 0.0, ""y"": 0.0}, ""anchor_min"": {""x"": 0.0, ""y"": 0.0}, ""anchored_position"": {""x"": 0.0, ""y"": 0.0}, ""pivot"": {""x"": 0.0, ""y"": 0.0}, ""size_delta"": {""x"": 0.0, ""y"": 0.0}}"
Assets/Resources/prefabs/ui/BGCanvas.prefab,Canvas,BGCanvas/SafeArea/Image,223634108722742392,Image,,,"{""m_AdditionalShaderChannelsFlag"": ""0"", ""m_OverridePixelPerfect"": ""0"", ""m_OverrideSorting"": ""1"", ""m_PixelPerfect"": ""0"", ""m_PlaneDistance"": ""100"", ""m_ReceivesEvents"": ""1"", ""m_RenderMode"": ""2"", ""m_SortingLayerID"": ""0"", ""m_SortingOrder"": ""-8"", ""m_TargetDisplay"": ""0"", ""m_UpdateRectTransformForStandalone"": ""0""}","{""anchor_max"": {""x"": 1.0, ""y"": 1.0}, ""anchor_min"": {""x"": 0.0, ""y"": 1.0}, ""anchored_position"": {""x"": 0.0, ""y"": 200.00024}, ""pivot"": {""x"": 0.5, ""y"": 1.0}, ""size_delta"": {""x"": 400.0, ""y"": 500.0}}"
Assets/Resources/prefabs/ui/BGCanvas.prefab,Canvas,BGCanvas/SafeArea/BG_Bar,223642988549198181,BG_Bar,,,"{""m_AdditionalShaderChannelsFlag"": ""0"", ""m_OverridePixelPerfect"": ""0"", ""m_OverrideSorting"": ""1"", ""m_PixelPerfect"": ""0"", ""m_PlaneDistance"": ""100"", ""m_ReceivesEvents"": ""1"", ""m_RenderMode"": ""2"", ""m_SortingLayerID"": ""0"", ""m_SortingOrder"": ""-10"", ""m_TargetDisplay"": ""0"", ""m_UpdateRectTransformForStandalone"": ""0""}","{""anchor_max"": {""x"": 1.0, ""y"": 0.0}, ""anchor_min"": {""x"": 0.0, ""y"": 0.0}, ""anchored_position"": {""x"": 0.0, ""y"": 1666.0}, ""pivot"": {""x"": 0.5, ""y"": 0.5}, ""size_delta"": {""x"": 0.0, ""y"": 0.0}}"
Assets/Resources/prefabs/ui/BGCanvas.prefab,Canvas,BGCanvas/SafeArea/BG_Bar/IngameBG,223371939378208658,IngameBG,,,"{""m_AdditionalShaderChannelsFlag"": ""0"", ""m_OverridePixelPerfect"": ""0"", ""m_OverrideSorting"": ""1"", ""m_PixelPerfect"": ""0"", ""m_PlaneDistance"": ""100"", ""m_ReceivesEvents"": ""1"", ""m_RenderMode"": ""2"", ""m_SortingLayerID"": ""0"", ""m_SortingOrder"": ""-9"", ""m_TargetDisplay"": ""0"", ""m_UpdateRectTransformForStandalone"": ""0""}","{""anchor_max"": {""x"": 1.0, ""y"": 0.5}, ""anchor_min"": {""x"": 0.0, ""y"": 0.5}, ""anchored_position"": {""x"": 0.0, ""y"": 0.0}, ""pivot"": {""x"": 0.5, ""y"": 0.5}, ""size_delta"": {""x"": 0.0, ""y"": 0.0}}"
Assets/Resources/prefabs/ui/BGCanvas.prefab,Canvas,BGCanvas/SafeArea/BG_Bar/BG_Top,223000955326284023,BG_Top,,,"{""m_AdditionalShaderChannelsFlag"": ""0"", ""m_OverridePixelPerfect"": ""0"", ""m_OverrideSorting"": ""1"", ""m_PixelPerfect"": ""0"", ""m_PlaneDistance"": ""100"", ""m_ReceivesEvents"": ""1"", ""m_RenderMode"": ""2"", ""m_SortingLayerID"": ""0"", ""m_SortingOrder"": ""0"", ""m_TargetDisplay"": ""0"", ""m_UpdateRectTransformForStandalone"": ""0""}","{""anchor_max"": {""x"": 1.0, ""y"": 0.0}, ""anchor_min"": {""x"": 0.0, ""y"": 0.0}, ""anchored_position"": {""x"": 0.0, ""y"": 0.0}, ""pivot"": {""x"": 0.5, ""y"": 1.0}, ""size_delta"": {""x"": 400.0, ""y"": 200.0}}"
Assets/Resources/prefabs/ui/BGCanvas.prefab,CanvasScaler,BGCanvas,114336590748365959,BGCanvas,6dfc8ec6aebac6665d9781d273993f23,False,{},"{""anchor_max"": {""x"": 0.0, ""y"": 0.0}, ""anchor_min"": {""x"": 0.0, ""y"": 0.0}, ""anchored_position"": {""x"": 0.0, ""y"": 0.0}, ""pivot"": {""x"": 0.0, ""y"": 0.0}, ""size_delta"": {""x"": 0.0, ""y"": 0.0}}"
Assets/Resources/prefabs/ui/BGCanvas.prefab,SafeAreaComponent,BGCanvas/SafeArea,114470112387431263,SafeArea,cedddb77dbd60a683455a2b226c5fd56,,{},"{""anchor_max"": {""x"": 1.0, ""y"": 1.0}, ""anchor_min"": {""x"": 0.0, ""y"": 0.0}, ""anchored_position"": {""x"": 0.0, ""y"": 0.0}, ""pivot"": {""x"": 0.5, ""y"": 0.5}, ""size_delta"": {""x"": 0.0, ""y"": 0.0}}"
Assets/Resources/prefabs/ui/BGCanvas.prefab,SafeAreaRect,BGCanvas/SafeArea,,,,,{},"{""anchor_max"": {""x"": 1.0, ""y"": 1.0}, ""anchor_min"": {""x"": 0.0, ""y"": 0.0}, ""anchored_position"": {""x"": 0.0, ""y"": 0.0}, ""pivot"": {""x"": 0.5, ""y"": 0.5}, ""size_delta"": {""x"": 0.0, ""y"": 0.0}}"
Assets/Scenes/Reload.unity,Canvas,Canvas/UILoading/Btn_ContactUs,139,Btn_ContactUs,,,"{""m_AdditionalShaderChannelsFlag"": ""25"", ""m_OverridePixelPerfect"": ""0"", ""m_OverrideSorting"": ""1"", ""m_PixelPerfect"": ""0"", ""m_PlaneDistance"": ""100"", ""m_ReceivesEvents"": ""1"", ""m_RenderMode"": ""2"", ""m_SortingLayerID"": ""0"", ""m_SortingOrder"": ""5"", ""m_TargetDisplay"": ""0"", ""m_UpdateRectTransformForStandalone"": ""0""}","{""anchor_max"": {""x"": 0.0, ""y"": 0.0}, ""anchor_min"": {""x"": 0.0, ""y"": 0.0}, ""anchored_position"": {""x"": 30.0, ""y"": 90.0}, ""pivot"": {""x"": 0.0, ""y"": 0.0}, ""size_delta"": {""x"": 240.0, ""y"": 80.0}}"
Assets/Scenes/Reload.unity,Canvas,Canvas/UILoading/Ver,140,Ver,,,"{""m_AdditionalShaderChannelsFlag"": ""25"", ""m_OverridePixelPerfect"": ""0"", ""m_OverrideSorting"": ""1"", ""m_PixelPerfect"": ""0"", ""m_PlaneDistance"": ""100"", ""m_ReceivesEvents"": ""1"", ""m_RenderMode"": ""2"", ""m_SortingLayerID"": ""0"", ""m_SortingOrder"": ""5"", ""m_TargetDisplay"": ""0"", ""m_UpdateRectTransformForStandalone"": ""0""}","{""anchor_max"": {""x"": 1.0, ""y"": 0.0}, ""anchor_min"": {""x"": 1.0, ""y"": 0.0}, ""anchored_position"": {""x"": -30.0, ""y"": 30.0}, ""pivot"": {""x"": 1.0, ""y"": 0.0}, ""size_delta"": {""x"": 500.0, ""y"": 60.0}}"
