source_type,source_name,source_path,node_path,layout_kind,anchor_min,anchor_max,anchored_position,size_delta,children_count
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}",9
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Request/SkillInfo/Main/Viewport/BG/Image_BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 240.0, ""y"": -280.0}","{""x"": 1600.0, ""y"": 1600.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/UIUseItemBlock/UIGroup/BG (3),full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": -163.5}","{""x"": 930.0, ""y"": 1443.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/UIUseItemBlock/UIGroup/BG,full_stretch,"{""x"": 0.0, ""y"": 0.0}","{""x"": 1.0, ""y"": 1.0}","{""x"": 0.0, ""y"": -163.5}","{""x"": 930.0, ""y"": 1443.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEchoArchive/AutoPosYSetting/PrefabParent/UIEcho_Kurone/Btn_Clear/Dim,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 1000.0, ""y"": 200.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEvent_SchoolUniform/AutoPosYSetting/PrefabParent/UIInGameSubMap_SchoolUniform/Btn_Clear/Dim,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 1000.0, ""y"": 200.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Request/SkillInfo/Main/Viewport/MemoryArea/Skill_1/UIListItem_TeamFormation_MemoryCardSlot/Button,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 340.0, ""y"": 450.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Request/SkillInfo/Main/Viewport/MemoryArea/Skill_2/UIListItem_TeamFormation_MemoryCardSlot/Button,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 340.0, ""y"": 450.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Request/SkillInfo/Main/Viewport/MemoryArea/Skill_3/UIListItem_TeamFormation_MemoryCardSlot/Button,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 340.0, ""y"": 450.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Request/RequestList/ScrollView/Viewport/Content/Grid_Request/Grid_Reward/Group/Grid_RewardBlock/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 150.0, ""y"": 150.0}",5
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Request/RequestList/ScrollView/Viewport/Content/Grid_Request/Grid_Reward/Group/Grid_RewardBlock BM/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 150.0, ""y"": 150.0}",5
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEvent_SchoolUniform/BottomUI/Group/Grid_RewardBlock/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 150.0, ""y"": 150.0}",4
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/Lobby,fixed_anchor,"{""x"": 1.0, ""y"": 0.5}","{""x"": 1.0, ""y"": 0.5}","{""x"": -20.0, ""y"": 0.0}","{""x"": 150.0, ""y"": 150.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Request/RequestList/ScrollView/Viewport/Content/Grid_Request/UIListItem_GridSeriouslyMerge/Img_StepBG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": 0.0, ""y"": -10.0}","{""x"": 240.0, ""y"": 60.0}",5
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_Sell/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": 0.015625, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",2
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_CoolTime/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": 0.015625, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",2
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_FabricateSkip/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": 0.015625, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",2
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_FabricateSkip_EchoArchive/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": 0.015625, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",2
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_BoxOpen/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": -0.015625, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",2
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_BoxOpenGold/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",2
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_Cash/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",2
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEvent_SchoolUniform/AutoPosYSetting/PrefabParent/UIInGameSubMap_SchoolUniform/Char/MaidPos/Maid_1004_SD_SchoolUniform01_Ingame,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",2
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_Recycle/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_Restore/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_Use/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_UseCancel/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": 0.015625, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_FabricateCancel/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": 0.015625, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_BubbleBuster/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": -0.015625, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_Ad/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": 0.015625, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_BoxOpenAds/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": -0.015625, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Btn_CoolTimeResetAds/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/Bottom/UIBlockInfo/Bg/Grid/Info_BlockArea/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.0}","{""x"": 0.5, ""y"": 0.0}","{""x"": 0.0, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEvent_SchoolUniform/AutoPosYSetting/PrefabParent/UIInGameSubMap_SchoolUniform/Char/MaidPos/Maid_1003_SD_SchoolUniform01_Ingame/Mate_1003_SchoolUniform01_SD_Ingame,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": -146.0, ""y"": 434.0}","{""x"": 100.0, ""y"": 100.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEvent_SchoolUniform/AutoPosYSetting/PrefabParent/UIInGameSubMap_SchoolUniform/Char/MaidPos/Maid_1004_SD_SchoolUniform01_Ingame/Mate_1004_SchoolUnifom01_SD_Ingame,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": -127.0, ""y"": 431.8}","{""x"": 100.0, ""y"": 100.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/SubMapUI/UIEvent_SchoolUniform/AutoPosYSetting/PrefabParent/UIInGameSubMap_SchoolUniform/Char/MaidPos/Maid_1007_SD_SchoolUniform01_Ingame/GameObject/Mate_1007_SD_SchoolUniform01_Ingame,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": -131.0, ""y"": 425.0}","{""x"": 100.0, ""y"": 100.0}",1
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/UIMapUnlockUI/UIListItem_MapUnlockInfo_BlockMerge/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/UIMapUnlockUI/UIListItem_MapUnlockInfo_BlockMerge/InfoButton,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",0
prefab,UIInGame,Assets/Resources/prefabs/ui/uiroot/UIInGame.prefab,UIInGame/UIMapUnlockUI/UIListItem_MapUnlockInfo_BlockMerge (1)/BG,fixed_anchor,"{""x"": 0.5, ""y"": 0.5}","{""x"": 0.5, ""y"": 0.5}","{""x"": 0.0, ""y"": 0.0}","{""x"": 100.0, ""y"": 100.0}",0
