path,name,category,rect_transform_count,game_object_count,startup_score,startup_keywords,sample_node_names,large_rect_count
Assets/Resources/prefabs/ui/app/UIApp_Album.prefab,UIApp_Album,app,419,419,0,,UIApp_Album|Title|Gradient|Text_Title|Btn_Back|Back|Icon|BG|Scroll View|Viewport|Content|UIListitem_Album,10
Assets/Resources/prefabs/ui/app/UIApp_Collection.prefab,UIApp_Collection,app,88,94,1,loading,UIApp_Collection|BG|BG|Scroll View|Viewport|Content|Image (1)|Image|BackButton|BG|Shadow|BG,4
Assets/Resources/prefabs/ui/app/UIApp_Customer.prefab,UIApp_Customer,app,19,19,1,loading,UIApp_Customer|BG|Title|Gradient|Text_Title|Btn_Back|Back|Icon|Btn_Close|Icon|Close (1)|BG,0
Assets/Resources/prefabs/ui/app/UIApp_Maichat.prefab,UIApp_Maichat,app,57,57,1,story,UIApp_Maichat|Scroll View|Viewport|Content|Title|Gradient|Text (TMP)|Btn_Back|Back|Icon|Btn_Close|Icon,2
Assets/Resources/prefabs/ui/app/UIApp_MaidAIChat.prefab,UIApp_MaidAIChat,app,106,107,0,,UIApp_MaidAIChat|UIMaidAIChatList|Scroll View|Viewport|Content|Text (TMP)|Title|Gradient|Text (TMP)|Btn_info|info|Btn_Back,7
Assets/Resources/prefabs/ui/app/UIApp_MaidInfo.prefab,UIApp_MaidInfo,app,341,343,1,loading,UIApp_MaidInfo|MaidList|Scroll View|Viewport|Content|Title|Gradient|MaidName|Text_LastName|Btn_Back|Back|Icon,12
Assets/Resources/prefabs/ui/app/UIApp_MemoryCardGallery.prefab,UIApp_MemoryCardGallery,app,64,64,1,loading,UIApp_MemoryCardGallery|Title|Gradient|Text_Title|Btn_Back|Back|Icon|Btn_SortOrder|Image (1)|Btn_SortOrder|Button|On,0
Assets/Resources/prefabs/ui/app/UIApp_Remodeling.prefab,UIApp_Remodeling,app,28,28,0,,UIApp_Remodeling|BG|Title|Gradient|Text_Title|Btn_Back|Back|Icon|Btn_Close|Icon|Close (1)|BG,1
Assets/Resources/prefabs/ui/app/UIApp_StoryReplay.prefab,UIApp_StoryReplay,app,71,71,1,story,UIApp_StoryReplay|BG|BG|Scroll View|Viewport|Content|Image|Image|BackButton|BG|Shadow|BG,1
Assets/Resources/prefabs/ui/app/UIApp_TeamFormation.prefab,UIApp_TeamFormation,app,479,494,0,,UIApp_TeamFormation|BG|Image|Image (1)|Info|Deco|Image|Image (2)|Image (3)|Image (1)|CurrentFormationView|CharPosList,12
Assets/Resources/prefabs/ui/banner/memory/UIBanner_Memory_01.prefab,UIBanner_Memory_01,banner,78,78,0,,UIBanner_Memory_01|BGMask|BGColor|Pattern|CardShadow|CardShadow (1)|CardPos|CardPos (1)|UIListItem_MemoryCard_Maid_Kokomi_01501(Clone)|Card|BG|Char,2
Assets/Resources/prefabs/ui/banner/memory/UIBanner_Memory_2026School.prefab,UIBanner_Memory_2026School,banner,90,90,0,,UIBanner_Memory_2026School|BGMask|BGColor|OL|CardPos|Card_3|UIListItem_MemoryCard_Maid_Aiko_07501|Card|BG_1|BG|Back|Gradation_Up,2
