"Table","Attribute","FieldType","Field","Offset","Line"
"Table_Language","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Language"")]","List<LanguageCommon>","Common","0x18","3725"
"Table_Language","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Language"")]","List<LanguageCommon>","Notice","0x20","3726"
"Table_Language","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Language"")]","List<LanguageCommon>","UI","0x28","3727"
"Table_Language","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Language"")]","List<LanguageCommon>","BlockName","0x30","3728"
"Table_Language","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Language"")]","List<LanguageCommon>","CategoryName","0x38","3729"
"Table_Language","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Language"")]","List<LanguageCommon>","GroupName","0x40","3730"
"Table_Language","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Language"")]","List<LanguageCommon>","BlockInfo","0x48","3731"
"Table_Language","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Language"")]","List<LanguageCommon>","NpcName","0x50","3732"
"Table_Language","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Language"")]","List<LanguageCommon>","NpcInfo","0x58","3733"
"Table_Language","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Language"")]","List<LanguageCommon>","StoryReplayTitle","0x60","3734"
"Table_Language","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Language"")]","List<LanguageCommon>","AlbumTitle","0x68","3735"
"Table_Language","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Language"")]","List<LanguageCommon>","KOAKUCartoon","0x70","3736"
"Table_Language","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Language"")]","List<LanguageCommon>","StoryPrefabs","0x78","3737"
"Table_Language","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Language"")]","List<LanguageCommon>","MemoryCard","0x80","3738"
"Table_Language","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Language"")]","List<LanguageCommon>","CardPack","0x88","3739"
"Table_Album","[ExcelAsset(LogOnImport = True, ExcelName = ""Table_Album"")]","List<AlbumTableData>","AlbumTableDatas","0x18","38060"
"Table_AlwaysMiniGame","[ExcelAsset(LogOnImport = True)]","List<AlwaysMiniGameInfo>","AlwaysMiniGameInfo","0x18","38177"
"Table_AlwaysMiniGame","[ExcelAsset(LogOnImport = True)]","List<AlwaysMiniGameRewardInfo>","BloodWormRewardInfos","0x20","38178"
"Table_AlwaysMiniGame","[ExcelAsset(LogOnImport = True)]","List<AlwaysMiniGameRewardInfo>","VendingMachineRewardInfos","0x28","38179"
"Table_AlwaysMiniGame","[ExcelAsset(LogOnImport = True)]","List<AlwaysMiniGameRewardInfo>","PuddingJumpRewardInfos","0x30","38180"
"Table_AlwaysMiniGame","[ExcelAsset(LogOnImport = True)]","List<AlwaysBloodWormStepData>","BloodWormStepDatas","0x38","38181"
"Table_AlwaysMiniGame","[ExcelAsset(LogOnImport = True)]","List<AlwaysVendingMachineStepData>","VendingMachineStepData","0x40","38182"
