"LineNumber","Kind","Name","TypeDefIndex","Declaration"
"364","class","MstItemEntity","6","public class MstItemEntity // TypeDefIndex: 6"
"381","enum","MstItemCategory","7","public enum MstItemCategory // TypeDefIndex: 7"
"392","class","MstItems","8","public class MstItems : ScriptableObject // TypeDefIndex: 8"
"1449","class","Reporter.","43","private sealed class Reporter.<readInfo>d__188 : IEnumerator<object>, IEnumerator, IDisposable // TypeDefIndex: 43"
"2045","class","PurchaseRowPrefab","54","public class PurchaseRowPrefab : MonoBehaviour // TypeDefIndex: 54"
"2087","class","AdsPage","55","public class AdsPage : MonoBehaviour // TypeDefIndex: 55"
"2249","class","PurchasePage.","59","private sealed class PurchasePage.<>c__DisplayClass10_0 // TypeDefIndex: 59"
"2267","class","PurchasePage.","60","private sealed class PurchasePage.<>c__DisplayClass13_0 // TypeDefIndex: 60"
"2283","class","PurchasePage","61","public class PurchasePage : MonoBehaviour // TypeDefIndex: 61"
"2347","class","SavePage","62","public class SavePage : MonoBehaviour // TypeDefIndex: 62"
"2560","class","FBWindowsADSManager.","70","private sealed class FBWindowsADSManager.<>c__DisplayClass3_0 // TypeDefIndex: 70"
"2577","class","FBWindowsADSManager.","71","private sealed class FBWindowsADSManager.<>c__DisplayClass4_0 // TypeDefIndex: 71"
"2594","class","FBWindowsADSManager.","72","private sealed class FBWindowsADSManager.<>c__DisplayClass5_0 // TypeDefIndex: 72"
"2611","class","FBWindowsADSManager.","73","private sealed class FBWindowsADSManager.<>c__DisplayClass6_0 // TypeDefIndex: 73"
"2627","class","FBWindowsADSManager","74","public class FBWindowsADSManager : MonoBehaviour // TypeDefIndex: 74"
"2785","class","FBWindowsLoginManager.","80","private sealed class FBWindowsLoginManager.<LoadPictureFromUrl>d__10 : IEnumerator<object>, IEnumerator, IDisposable // TypeDefIndex: 80"
"2902","class","FBWindowsPhysicalGamepadManager","83","public class FBWindowsPhysicalGamepadManager : MonoBehaviour // TypeDefIndex: 83"
"2918","class","FBWindowsPurchaseManager.","84","private sealed class FBWindowsPurchaseManager.<>c__DisplayClass5_0 // TypeDefIndex: 84"
"2935","class","FBWindowsPurchaseManager.","85","private sealed class FBWindowsPurchaseManager.<>c__DisplayClass9_0 // TypeDefIndex: 85"
"2956","class","FBWindowsPurchaseManager.","86","private sealed class FBWindowsPurchaseManager.<LoadPictureFromUrl>d__6 : IEnumerator<object>, IEnumerator, IDisposable // TypeDefIndex: 86"
"2997","class","FBWindowsPurchaseManager","87","public class FBWindowsPurchaseManager : MonoBehaviour // TypeDefIndex: 87"
"3092","class","FBWindowsSoftKeyboardManager","90","public class FBWindowsSoftKeyboardManager : MonoBehaviour // TypeDefIndex: 90"
"3163","class","FBWindowsVirtualGamepadManager","92","public class FBWindowsVirtualGamepadManager : MonoBehaviour // TypeDefIndex: 92"
"3182","class","GAAdMobIntegration","93","public class GAAdMobIntegration // TypeDefIndex: 93"
"3340","class","UnityWebRequestHS","104","public class UnityWebRequestHS // TypeDefIndex: 104"
"3383","class","UnityWebRequestManager","105","public class UnityWebRequestManager : Immortal<UnityWebRequestManager> // TypeDefIndex: 105"
"3435","class","LocalizeItem","108","public class LocalizeItem : MonoBehaviour // TypeDefIndex: 108"
"3585","class","LocalizeTableDataManager.","114","private sealed class LocalizeTableDataManager.<>c__DisplayClass5_0 // TypeDefIndex: 114"
"3612","class","LocalizeTableDataManager","115","public class LocalizeTableDataManager : MonoBehaviourSingleton<LocalizeTableDataManager> // TypeDefIndex: 115"
"3722","class","Table_Language","118","public class Table_Language : ExcelImporterRoot // TypeDefIndex: 118"
"3834","class","UserSaveData","121","public abstract class UserSaveData // TypeDefIndex: 121"
"3893","class","UILeaderboardPage.","124","private sealed class UILeaderboardPage.<>c__DisplayClass13_0 // TypeDefIndex: 124"
"3912","class","UILeaderboardPage","125","public class UILeaderboardPage : MonoBehaviour // TypeDefIndex: 125"
"3958","class","UILeaderboardRankInfo","126","public class UILeaderboardRankInfo : MonoBehaviour // TypeDefIndex: 126"
"4052","enum","LoadingPopupType","130","public enum LoadingPopupType // TypeDefIndex: 130"
"4108","enum","MapType","135","public enum MapType // TypeDefIndex: 135"
"4119","enum","MapCellLockType","136","public enum MapCellLockType // TypeDefIndex: 136"
"4169","enum","RewardType","138","public enum RewardType // TypeDefIndex: 138"
"4198","enum","CurrencyType","139","public enum CurrencyType // TypeDefIndex: 139"
"4223","enum","RequestType","141","public enum RequestType // TypeDefIndex: 141"
"4242","enum","RequestGroupType","142","public enum RequestGroupType // TypeDefIndex: 142"
"4265","enum","MaidCoinType","144","public enum MaidCoinType // TypeDefIndex: 144"
"4276","enum","ItemType","145","public enum ItemType // TypeDefIndex: 145"
"4307","enum","RewardBoxType","147","public enum RewardBoxType // TypeDefIndex: 147"
"4339","enum","BlockType","150","public enum BlockType // TypeDefIndex: 150"
"4388","enum","BlockTextType","152","public enum BlockTextType // TypeDefIndex: 152"
"4470","enum","RequestState","154","public enum RequestState // TypeDefIndex: 154"
"4485","enum","BagPurchaseType","155","public enum BagPurchaseType // TypeDefIndex: 155"
"4537","enum","MissionQuestType","157","public enum MissionQuestType // TypeDefIndex: 157"
"4569","enum","ShopPromotionCondition","159","public enum ShopPromotionCondition // TypeDefIndex: 159"
"4616","enum","PackagePurchaseLocation","161","public enum PackagePurchaseLocation // TypeDefIndex: 161"
"4671","enum","NPCType","164","public enum NPCType // TypeDefIndex: 164"
"4683","enum","MaidSkillType","165","public enum MaidSkillType // TypeDefIndex: 165"
"4707","enum","NpcDialogType","166","public enum NpcDialogType // TypeDefIndex: 166"
"4734","enum","NpcAnimType","167","public enum NpcAnimType // TypeDefIndex: 167"
"4764","enum","NpcSkinType","168","public enum NpcSkinType // TypeDefIndex: 168"
