"Class","Kind","LineNumber","Signature"
"GameManager","field","27646","public static readonly GameManager.<>c <>9; // 0x0"
"GameManager","field","27647","public static Action <>9__60_4; // 0x8"
"GameManager","field","27648","public static Action<bool> <>9__60_1; // 0x10"
"GameManager","field","27649","public static Action<int> <>9__62_1; // 0x18"
"GameManager","field","27650","public static Action<byte[]> <>9__69_0; // 0x20"
"GameManager","field","27651","public static Action <>9__71_0; // 0x28"
"GameManager","field","27652","public static Action <>9__71_2; // 0x30"
"GameManager","method","27657","private static void .cctor() { }"
"GameManager","method","27660","public void .ctor() { }"
"GameManager","method","27663","internal void <OnGameStartLoad>b__60_4() { }"
"GameManager","method","27666","internal void <OnGameStartLoad>b__60_1(bool gdpr) { }"
"GameManager","method","27669","internal void <InitCheck>b__62_1(int result) { }"
"GameManager","method","27672","internal void <TestLoadLevel>b__69_0(byte[] result) { }"
"GameManager","method","27675","internal void <LoadMenu>b__71_0() { }"
"GameManager","method","27678","internal void <LoadMenu>b__71_2() { }"
"InGame_BlockManager","field","8941","public static readonly InGame_BlockManager.<>c <>9; // 0x0"
"InGame_BlockManager","field","8942","public static Action <>9__88_0; // 0x8"
"InGame_BlockManager","field","8943","public static Action <>9__89_0; // 0x10"
"InGame_BlockManager","field","8944","public static Predicate<BoxBlockGroupTableData> <>9__91_1; // 0x18"
"InGame_BlockManager","field","8945","public static Comparison<InGame_ItemBlock> <>9__118_0; // 0x20"
"InGame_BlockManager","field","8946","public static Comparison<BlockTableData> <>9__128_0; // 0x28"
"InGame_BlockManager","method","8951","private static void .cctor() { }"
"InGame_BlockManager","method","8954","public void .ctor() { }"
"InGame_BlockManager","method","8957","internal void <OnNewGrowProduceBlock>b__88_0() { }"
"InGame_BlockManager","method","8960","internal void <OnNewFabricateProduce>b__89_0() { }"
"InGame_BlockManager","method","8963","internal bool <OnNewProduceRandBox>b__91_1(BoxBlockGroupTableData x) { }"
"InGame_BlockManager","method","8966","internal int <GetMatchBlockList>b__118_0(InGame_ItemBlock a, InGame_ItemBlock b) { }"
"InGame_BlockManager","method","8969","internal int <GetDropPossibleProduceBlock>b__128_0(BlockTableData a, BlockTableData b) { }"
"InGame_ItemBlock","field","7354","public static readonly InGame_ItemBlock.<>c <>9; // 0x0"
"InGame_ItemBlock","field","7355","public static Func<EAFabricateInitData, bool> <>9__191_0; // 0x8"
"InGame_ItemBlock","field","7356","public static Action <>9__208_0; // 0x10"
"InGame_ItemBlock","method","7361","private static void .cctor() { }"
"InGame_ItemBlock","method","7364","public void .ctor() { }"
"InGame_ItemBlock","method","7367","internal bool <SetFabricateBlockImage>b__191_0(EAFabricateInitData x) { }"
"InGame_ItemBlock","method","7370","internal void <OnMatchCheckMove>b__208_0() { }"
"InGame_ItemCell","field","8498","private Transform m_cellTop; // 0x20"
"InGame_ItemCell","field","8500","private Transform m_cellBottom; // 0x28"
"InGame_ItemCell","field","8502","private GameObject m_typeNoneA; // 0x30"
"InGame_ItemCell","field","8504","private GameObject m_typeNoneB; // 0x38"
"InGame_ItemCell","field","8506","private GameObject m_typeNeed; // 0x40"
"InGame_ItemCell","field","8508","private GameObject m_typeLock; // 0x48"
"InGame_ItemCell","field","8510","private List<GameObject> m_imageNeedBg; // 0x50"
"InGame_ItemCell","field","8512","private GameObject m_select; // 0x58"
"InGame_ItemCell","field","8514","private GameObject m_bgOutLineCorner; // 0x60"
"InGame_ItemCell","field","8516","private GameObject m_bgOutLine; // 0x68"
