"Class","Type","Field","Offset","Line"
"BlockBubbleDropTableData","string","GroupName","0x10","38326"
"BlockBubbleDropTableData","int","LevelMin","0x18","38327"
"BlockBubbleDropTableData","int","Ratio1","0x1C","38328"
"BlockBubbleDropTableData","int","Ratio2","0x20","38329"
"BlockBubbleDropTableData","int","Ratio3","0x24","38330"
"BlockCollectionTableData","int","BlockID","0x10","38458"
"BlockCollectionTableData","RewardType","RewardType","0x14","38459"
"BlockCollectionTableData","int","RewardID","0x18","38460"
"BlockCollectionTableData","int","RewardAmount","0x1C","38461"
"BlockCoolTimeTableData","string","GroupName","0x10","38424"
"BlockCoolTimeTableData","CurrencyType","CurrencyType","0x18","38425"
"BlockCoolTimeTableData","int","MinValue","0x1C","38426"
"BlockCoolTimeTableData","int","CoolTimeDuring","0x20","38427"
"BlockCoolTimeTableData","int","CoolTimeDuringValue","0x24","38428"
"BlockDesignedDropTableData","int","ID","0x10","38343"
"BlockDesignedDropTableData","int","BlockID","0x14","38344"
"BlockDesignedDropTableData","int","CountMin","0x18","38345"
"BlockDesignedDropTableData","int","CountMax","0x1C","38346"
"BlockDropTableData","int","ID","0x10","38309"
"BlockDropTableData","int","BlockID","0x14","38310"
"BlockDropTableData","int","Ratio","0x18","38311"
"BlockDropTableData","int","Weight","0x1C","38312"
"BlockDropTableData","float","FinalRatio","0x20","38313"
"BlockGrowProduceTableData","int","ProduceBlockID","0x10","38374"
"BlockGrowProduceTableData","int","TargetBlockID","0x14","38375"
"BlockGrowProduceTableData","int","Step","0x18","38376"
"BlockGrowProduceTableData","string","blockImageName","0x20","38377"
"BlockGrowProduceTableData","BlockSpineType","SpineType","0x28","38378"
"BlockGrowProduceTableData","bool","IsProduceActive","0x2C","38379"
"BlockMergeDropPoolTableData","int","PoolGroupID","0x10","38489"
"BlockMergeDropPoolTableData","int","DropBlockID","0x14","38490"
"BlockMergeDropPoolTableData","MapCellType","MapCellType","0x18","38491"
"BlockMergeDropRateTableData","int","BlockID","0x10","38474"
"BlockMergeDropRateTableData","int","PoolGroupID","0x14","38475"
"BlockMergeDropRateTableData","int","Rate","0x18","38476"
"BlockProduceMsgTableData","int","LevelUpStep","0x10","38410"
"BlockProduceMsgTableData","string","Message","0x18","38411"
"BlockProduceTableData","int","ID","0x10","38359"
"BlockProduceTableData","int","DropID","0x14","38360"
"BlockProduceTableData","int","DesignedDropID","0x18","38361"
"BlockSpineTableData","int","BlockID","0x10","38392"
"BlockSpineTableData","BlockSpineType","SpineType","0x14","38393"
"BlockSpineTableData","string","SpineObjectName","0x18","38394"
"BlockSpineTableData","string","AnimName","0x20","38395"
"BlockSpineTableData","string","SkinName","0x28","38396"
"BlockSpineTableData","bool","isLoop","0x30","38397"
"BlockTableData","int","ID","0x10","38251"
"BlockTableData","string","CategoryName","0x18","38252"
"BlockTableData","string","SubCategoryName","0x20","38253"
"BlockTableData","string","GroupName","0x28","38254"
"BlockTableData","BlockType","BlockType","0x30","38255"
"BlockTableData","int","Level","0x34","38256"
"BlockTableData","int","BlockTier","0x38","38257"
"BlockTableData","int","ProductionDiff","0x3C","38258"
"BlockTableData","string","BlockName","0x40","38259"
"BlockTableData","string","BlockImage","0x48","38260"
"BlockTableData","bool","IsSpineBlock","0x50","38261"
"BlockTableData","int","ParentBlockID","0x54","38262"
"BlockTableData","bool","IsAllParentBlock","0x58","38263"
