"Keyword","Hits","ClassHits"
"Ad","70735","1278"
"Item","15023","495"
"Quest","5778","454"
"Request","4961","374"
"Reward","4432","198"
"Block","4249","238"
"Task","3885","110"
"Map","3418","188"
"Maid","3192","267"
"Ads","1689","93"
"Memory","1553","127"
"Level","1498","79"
"Tutorial","1462","130"
"Order","1414","69"
"Generator","1285","31"
"Produce","1167","25"
"Purchase","865","79"
"Npc","824","36"
"Save","777","89"
"InGame","734","89"
"Mission","687","78"
"Merge","585","34"
"Shop","557","111"
"Gem","549","39"
"Board","513","46"
"Mst","499","19"
"DataManager","424","190"
"Currency","338","8"
"Table_","336","58"
"Coin","264","10"
"Customer","246","45"
"Fabricate","216","29"
"OutGame","143","36"
"IAP","143","20"
"Gacha","82","9"
"GameManager","69","43"
"Stage","68","6"
"Cafe","60",
"Recipe","55","3"
"Energy","49","5"
"Inventory","48","9"
"Spawner","9","3"
