"Class","Type","Field","Offset","Line"
"BlockTableData","int","ID","0x10","38251"
"BlockTableData","string","CategoryName","0x18","38252"
"BlockTableData","string","SubCategoryName","0x20","38253"
"BlockTableData","string","GroupName","0x28","38254"
"BlockTableData","BlockType","BlockType","0x30","38255"
"BlockTableData","int","Level","0x34","38256"
"BlockTableData","int","BlockTier","0x38","38257"
"BlockTableData","int","ProductionDiff","0x3C","38258"
"BlockTableData","string","BlockName","0x40","38259"
"BlockTableData","string","BlockImage","0x48","38260"
"BlockTableData","bool","IsSpineBlock","0x50","38261"
"BlockTableData","int","ParentBlockID","0x54","38262"
"BlockTableData","bool","IsAllParentBlock","0x58","38263"
"BlockTableData","int","ProduceEnergy","0x5C","38264"
"BlockTableData","int","CoolTime","0x60","38265"
"BlockTableData","int","MaxSubtractCoolTimePer","0x64","38266"
"BlockTableData","int","OnGoingAddedCoolTimeper","0x68","38267"
"BlockTableData","RewardType","ProduceRewardType","0x6C","38268"
"BlockTableData","int","ProduceRewardID","0x70","38269"
"BlockTableData","int","ProduceRewardValue","0x74","38270"
"BlockTableData","bool","Expendability","0x78","38271"
"BlockTableData","int","ExpendAlterBlockID","0x7C","38272"
"BlockTableData","int","OpenCoolTime","0x80","38273"
"BlockTableData","OpenType","OpenType","0x84","38274"
"BlockTableData","int","AddedDropRate","0x88","38275"
"BlockTableData","int","AddedDropBlockID","0x8C","38276"
"BlockTableData","int","BubbleBlockRate","0x90","38277"
"BlockTableData","CurrencyType","BubblePopCurrencyType","0x94","38278"
"BlockTableData","float","JewelBubblePopCoef","0x98","38279"
"BlockTableData","RewardType","ObtainRewardType","0x9C","38280"
"BlockTableData","int","ObtainRewardId","0xA0","38281"
"BlockTableData","int","ObtainRewardValue","0xA4","38282"
"BlockTableData","bool","SellAvailable","0xA8","38283"
"BlockTableData","float","SellGoldCoef","0xAC","38284"
"BlockTableData","float","GoldShopCoef","0xB0","38285"
"BlockTableData","float","JewelShopCoef","0xB4","38286"
"BlockTableData","CurrencyType","ShopBlockCurrencyType","0xB8","38287"
"BlockTableData","int","ShopBlockCurrencyValue","0xBC","38288"
"BlockTableData","bool","DisplayInCollection","0xC0","38289"
"BlockTableData","bool","IsActiveMerge","0xC1","38290"
"BlockCoolTimeTableData","string","GroupName","0x10","38424"
"BlockCoolTimeTableData","CurrencyType","CurrencyType","0x18","38425"
"BlockCoolTimeTableData","int","MinValue","0x1C","38426"
"BlockCoolTimeTableData","int","CoolTimeDuring","0x20","38427"
"BlockCoolTimeTableData","int","CoolTimeDuringValue","0x24","38428"
"BlockDropTableData","int","ID","0x10","38309"
"BlockDropTableData","int","BlockID","0x14","38310"
"BlockDropTableData","int","Ratio","0x18","38311"
"BlockDropTableData","int","Weight","0x1C","38312"
"BlockDropTableData","float","FinalRatio","0x20","38313"
"BlockBubbleDropTableData","string","GroupName","0x10","38326"
"BlockBubbleDropTableData","int","LevelMin","0x18","38327"
"BlockBubbleDropTableData","int","Ratio1","0x1C","38328"
"BlockBubbleDropTableData","int","Ratio2","0x20","38329"
"BlockBubbleDropTableData","int","Ratio3","0x24","38330"
"FabricateBlockData","int","FabricateIDX","0x10","38644"
"FabricateBlockData","int","FabricateBlockId","0x14","38645"
"FabricateBlockData","int","RecipeGroupId","0x18","38646"
"FabricateBlockData","int","MinValue","0x1C","38647"
"FabricateBlockData","int","MaxRecipeBlockCount","0x20","38648"
"FabricateBlockData","int","TurnaroundTimeDuring","0x24","38649"
"FabricateBlockData","int","TurnaroundTimeValue","0x28","38650"
"RequestRandomBlockTableData","int","GroupIdx","0x10","43399"
"RequestRandomBlockTableData","string","Block_GroupName","0x18","43400"
"RequestRandomBlockTableData","int","MinBlockLevelRange","0x20","43401"
"RequestRandomBlockTableData","int","MaxBlockLevelRange","0x24","43402"
"Table_Block","List<BlockTableData>","BlockTableData","0x18","38504"
"Table_Block","List<BlockCoolTimeTableData>","BlockCoolTimeTableData","0x20","38505"
"Table_Block","List<BlockDropTableData>","BlockDropTableData","0x28","38506"
"Table_Block","List<BlockBubbleDropTableData>","BlockBubbleDropTableData","0x30","38507"
"Table_Block","List<BlockDesignedDropTableData>","BlockDesignedDropTableData","0x38","38508"
"Table_Block","List<BlockProduceTableData>","BlockProduceTableData","0x40","38509"
"Table_Block","List<BlockProduceMsgTableData>","BlockProduceMsgTableData","0x48","38510"
"Table_Block","List<BlockGrowProduceTableData>","BlockGrowProduceTableData","0x50","38511"
"Table_Block","List<BlockSpineTableData>","BlockSpineTableDatas","0x58","38512"
"Table_Block","List<BlockMergeDropRateTableData>","BlockMergeDropRateTableData","0x60","38513"
"Table_Block","List<BlockMergeDropPoolTableData>","BlockMergeDropPoolTableData","0x68","38514"
"Table_Block","List<BubbleRewardTableData>","BubbleRewardTableData","0x70","38515"
"Table_Block","List<BlockCollectionTableData>","BlockCollectionTableDatas","0x78","38516"
"Table_Item","List<ItemData>","ItemDatas","0x18","41553"
"Table_Item","List<NeedleData>","ItemNeedleDatas","0x20","41554"
"Table_Item","List<RewardBoxData>","RewardBoxDatas","0x28","41555"
"Table_Item","List<MemoryCardTicketData>","MemoryCardTicketData","0x30","41556"
"Table_Item","List<HighKujiTicketData>","KujiTicketDatas","0x38","41557"
"Table_Item","List<UserProfileTableData>","UserProfileTableDatas","0x40","41558"
"Table_Item","List<InGameResTableData>","inGameResTableDatas","0x48","41559"
"Table_SeriouslyMerge","List<SRMergeStepTableData>","SRMergeStepTableDatas","0x18","43736"
"Table_SeriouslyMerge","List<SRMergeSkillGroupTableData>","SRMergeSkillGroupTableDatas","0x20","43737"
"Table_SeriouslyMerge","List<SRMergeSkillTableData>","SRMergeSkillTableDatas","0x28","43738"
"Table_SeriouslyMerge","List<SRMergeConfigTableData>","SRMergeConfigTableDatas","0x30","43739"
