category,path,bundle,uuid,import,source_ref_count,source_modules,doc_ref_count
(root),Prefab/HeroPrefab,,,,0,,3
(root),Prefab/HerolhPrefab,,,,0,,3
ActivityForecastPanel,Prefab/ActivityForecastPanel/ActivityForecastPre,,c1sLGCSUFGg694u4aKJgWz,assets/resources/import/c1/c1b0b182-4941-4683-af78-bb868a2605b3.json,1,ActivityForecastPanel,0
ActivityForecastPanel,Prefab/ActivityForecastPanel/ActivityItem,,98ZsKP2BhMJJ7qPY4RNUdJ,assets/resources/import/98/9866c28f-d818-4c24-9eea-3d8e11354749.json,0,,0
ActivityPanel,Prefab/ActivityPanel/ActivityGridPreviewPre,,e6bzVzpsxI8Iwqz5OjzQi4,assets/resources/import/e6/e66f3573-a6cc-48f0-8c2a-cf93a3cd08b8.json,1,ActivityGridPreviewPanel,0
ActivityPanel,Prefab/ActivityPanel/ActivityPre,,4f7zmzzJpMhrdFvmcuRsCs,assets/resources/import/4f/4fef39b3-cc9a-4c86-b745-be672e46c0ac.json,1,ActivityPanel,0
ActivityPanel,Prefab/ActivityPanel/ActivityToggle,,ddGNjVGhVCVIVeHDgmsqZX,assets/resources/import/dd/dd18d8d5-1a15-4254-855e-1c3826b2a657.json,0,,0
ActivityPanel,Prefab/ActivityPanel/ActivityToggleKaifu,,23nnc1z4hOEZikHq/JBzm0,assets/resources/import/23/239e7735-cf88-4e11-98a4-1eafc90739b4.json,0,,0
ActivityPanel,Prefab/ActivityPanel/CycleActivity/CycleActivityCallPre,,7dL2ACbJZDWoM29JjloWrQ,assets/resources/import/7d/7d2f6002-6c96-435a-8336-f498e5a16ad0.json,0,,0
ActivityPanel,Prefab/ActivityPanel/CycleActivity/CycleActivityConsumePre,,ddLUqIbQFCA7rkKinUxDeX,assets/resources/import/dd/dd2d4a88-6d01-4203-bae4-2a29d4c43797.json,0,,0
ActivityPanel,Prefab/ActivityPanel/CycleActivity/CycleActivityLandPre,,7etvjpzEhPsK3XaENLnqLb,assets/resources/import/7e/7eb6f8e9-cc48-4fb0-add7-68434b9ea2db.json,0,,0
ActivityPanel,Prefab/ActivityPanel/CycleActivity/CycleActivityPre,,e5BncM4btCr75eJuSbC7Cp,assets/resources/import/e5/e506770c-e1bb-42af-be5e-26e49b0bb0a9.json,1,CycleActivityPanel,0
