bundle,path,type,cocos_type,uuid,import,native,native_kind
resources,Prefab/BagPanel/BagSellEquipPre,prefab,cc.Prefab,00FtJtYB5Hr5kbJX5F0B05,assets/resources/import/00/0016d26d-601e-47af-991b-257e45d01d39.json,,
resources,Prefab/ForgePanel/ForgePre,prefab,cc.Prefab,00GUti3+pOeYVzqv3x4vEN,assets/resources/import/00/00194b62-dfea-4e79-8573-aafdf1e2f10d.json,,
resources,Prefab/HerolhPrefab/2050081,prefab,cc.Prefab,00O3h4yeZI8ZDOisqrwkw0,assets/resources/import/00/003b7878-c9e6-48f1-90ce-8acaabc24c34.json,,
resources,Prefab/HerolhPrefab/105004,prefab,cc.Prefab,00SCZ3mzNDopGz/Q2cElmm,assets/resources/import/00/00482677-9b33-43a2-91b3-fd0d9c1259a6.json,,
resources,Prefab/HerolhPrefab/104002,prefab,cc.Prefab,00ZYkry+JIfKi14bcEVA1f,assets/resources/import/00/0065892b-cbe2-487c-a8b5-e1b704540d5f.json,,
resources,Prefab/rank/RankRewordItemPre,prefab,cc.Prefab,00azpKzTRCg61SOjTJy07d,assets/resources/import/00/006b3a4a-cd34-4283-ad52-3a34c9cb4edd.json,,
resources,Prefab/HerolhPrefab/505011,prefab,cc.Prefab,008hBx0ABK9IJQW7oUezZb,assets/resources/import/00/00f21071-d000-4af4-8250-5bba147b365b.json,,
resources,Prefab/HerolhPrefab/505004,prefab,cc.Prefab,01NNm6JtBA44yVs6o06tuk,assets/resources/import/01/0134d9ba-26d0-40e3-8c95-b3aa34eadba4.json,,
resources,Prefab/RewordPanel/RewordItemInfoPre,prefab,cc.Prefab,01wu2UecZIqqJdMyu+ghSt,assets/resources/import/01/01c2ed94-79c6-48aa-a25d-332bbe8214ad.json,,
resources,Prefab/HeroPrefab/205007,prefab,cc.Prefab,015NJsZS1Gy5tp7zbAUghM,assets/resources/import/01/01e4d26c-652d-46cb-9b69-ef36c052084c.json,,
resources,Prefab/Battle/BattleJJCzhanshenEndPre,prefab,cc.Prefab,02MJ9xzoRL87c3RoDiUAxC,assets/resources/import/02/02309f71-ce84-4bf3-b737-4680e2500c42.json,,
resources,Prefab/HerolhPrefab/305006,prefab,cc.Prefab,02NV7W8ItNbbRNLKCez9cL,assets/resources/import/02/02355ed6-f08b-4d6d-b44d-2ca09ecfd70b.json,,
resources,Prefab/HeroPanel/HeroTabPre,prefab,cc.Prefab,02UWzLBENIAZyZyWECRN2G,assets/resources/import/02/02516ccb-0443-4801-9c99-c9610244dd86.json,,
resources,Prefab/longComing/longRoomRankItem,prefab,cc.Prefab,02aIIF3MZJVZ5/xCeUpjHn,assets/resources/import/02/02688205-dcc6-4955-9e7f-c42794a631e7.json,,
resources,Prefab/ForgePanel/ForgeWarspiritGridPre,prefab,cc.Prefab,02cv5LzTpMIaP7bzsDZ9hW,assets/resources/import/02/0272fe4b-cd3a-4c21-a3fb-6f3b0367d856.json,,
resources,Prefab/HerolhPrefab/5050071,prefab,cc.Prefab,02dbCy1h9EWaVCli71wfGh,assets/resources/import/02/0275b0b2-d61f-4459-a542-962ef5c1f1a1.json,,
resources,Prefab/MaoxianPanel/HeroResurrectionPre,prefab,cc.Prefab,02hD601EREwIsOIjtM5qev,assets/resources/import/02/02843eb4-d444-44c0-8b0e-223b4ce6a7af.json,,
resources,Prefab/DrawCard/crystallizationPrefab,prefab,cc.Prefab,02qkkw4h9MjK8mbSkuPiy9,assets/resources/import/02/02aa4930-e21f-4c8c-af26-6d292e3e2cbd.json,,
resources,Prefab/HerolhPrefab/1050061,prefab,cc.Prefab,03DFdBipBCgKCIziw9DiIE,assets/resources/import/03/030c5741-8a90-4280-a088-ce2c3d0e2204.json,,
resources,Prefab/UserInfo/AccountSwitchPre,prefab,cc.Prefab,03lf+CS3dD64NcjwEntSra,assets/resources/import/03/0395ff82-4b77-43eb-835c-8f0127b52ada.json,,
resources,Prefab/UserInfo/GameGongLue/HeroBianQiangPre,prefab,cc.Prefab,03mluQYQ1BoJEADzdQYaFc,assets/resources/import/03/039a5b90-610d-41a0-9100-0f375061a15c.json,,
resources,Prefab/ActivityPanel/YueChuActivity/YueChurewardItemPre,prefab,cc.Prefab,038z+trk1NYJ65tsk8W/mp,assets/resources/import/03/03f33fad-ae4d-4d60-9eb9-b6c93c5bf9a9.json,,
resources,Prefab/PassPrefab/passGridPre,prefab,cc.Prefab,04CYhc25JOrpd8uinDrpyl,assets/resources/import/04/0409885c-db92-4eae-977c-ba29c3ae9ca5.json,,
resources,Prefab/comPrefab/FuwenSkillTips,prefab,cc.Prefab,04VdiWJMhBwrRAXvsN7rjF,assets/resources/import/04/0455d896-24c8-41c2-b440-5efb0deeb8c5.json,,
resources,Prefab/Chat/ChatMainItemPre,prefab,cc.Prefab,04d2dhqBxKj4qbtrVdd+B6,assets/resources/import/04/04776761-a81c-4a8f-8a9b-b6b55d77e07a.json,,
resources,Prefab/rank/RankTypeItemPre,prefab,cc.Prefab,04tbVvUk9HQIjm9xFyv/2a,assets/resources/import/04/04b5b56f-524f-4740-88e6-f71172bffd9a.json,,
resources,Prefab/HerolhPrefab/504002,prefab,cc.Prefab,04tyadJW9L0KE/D9fBwAqL,assets/resources/import/04/04b7269d-256f-4bd0-a13f-0fd7c1c00a8b.json,,
resources,Prefab/ElevatePanel/ElevateItemPre,prefab,cc.Prefab,04zLDkLk9Eg4GTeugMY2iQ,assets/resources/import/04/04ccb0e4-2e4f-4483-8193-7ae80c636890.json,,
resources,Prefab/BagPanel/GridBoxPre,prefab,cc.Prefab,043DQofDRD7YBxm1XP3Cyw,assets/resources/import/04/04dc3428-7c34-43ed-8071-9b55cfdc2cb0.json,,
resources,Prefab/HeroXZPrefab/HeroStarPre,prefab,cc.Prefab,05NRo92y5IuLQ+5fewBUIx,assets/resources/import/05/05351a3d-db2e-48b8-b43e-e5f7b0054231.json,,
resources,Prefab/ActivityPanel/YueChuActivity/YueChuLiheItemPre,prefab,cc.Prefab,05Rs67iA1H1ogJkz35r8Kj,assets/resources/import/05/0546cebb-880d-47d6-8809-933df9afc2a3.json,,
resources,Prefab/ShiLuoFanePanel/shiLuoFanePre,prefab,cc.Prefab,05jEk72wxKybQ18/l6RG7X,assets/resources/import/05/058c493b-db0c-4ac9-b435-f3f97a446ed7.json,,
resources,Prefab/HeroPrefab/305006,prefab,cc.Prefab,05mXirWB5OEaS6pOHBm7k8,assets/resources/import/05/059978ab-581e-4e11-a4ba-a4e1c19bb93c.json,,
resources,Prefab/ActivityPanel/xinchunActivity/XinChunItem2Pre,prefab,cc.Prefab,06bAjD8O1H3rQoK4RjrqTx,assets/resources/import/06/066c08c3-f0ed-47de-b428-2b8463aea4f1.json,,
resources,Prefab/ShiLuoFanePanel/Builder/builder5,prefab,cc.Prefab,06cutWfTpM05jiXr0YHiW6,assets/resources/import/06/0672eb56-7d3a-4cd3-98e2-5ebd181e25ba.json,,
resources,Prefab/yjTreasure/yjTreasurePre,prefab,cc.Prefab,06lC8a/zVEB7nIKgwB7rXu,assets/resources/import/06/06942f1a-ff35-4407-b9c8-2a0c01eeb5ee.json,,
resources,Prefab/FriendPanel/AddFriendPanel,prefab,cc.Prefab,07CL1iMcpE9Lgi6FKt3AUM,assets/resources/import/07/0708bd62-31ca-44f4-b822-e852addc050c.json,,
resources,Prefab/Chat/ChatItemPre,prefab,cc.Prefab,07ZS2xsJ1H2ZeWKIYmzzUF,assets/resources/import/07/07652db1-b09d-47d9-9796-288626cf3505.json,,
resources,Prefab/ActivityPanel/kaifuactivity/ZhanLiChongCi,prefab,cc.Prefab,075pP892dG0oz+zEAcqdbs,assets/resources/import/07/07e693fc-f767-46d2-8cfe-cc401ca9d6ec.json,,
resources,Prefab/Guild/GuildLogicListItemPre,prefab,cc.Prefab,079tG0Gq1G/aYKtCluOWw6,assets/resources/import/07/07f6d1b4-1aad-46fd-a60a-b4296e396c3a.json,,
resources,Prefab/pvpActivityPanel/pvpActivityRankPanel,prefab,cc.Prefab,08C+oUifZFJqNvit3zJthf,assets/resources/import/08/080bea14-89f6-4526-a36f-8addf326d85f.json,,
resources,Prefab/HeroPrefab/1050061,prefab,cc.Prefab,08Fm7vyr5K/LwIqz4OF7rw,assets/resources/import/08/08166eef-cabe-4afc-bc08-ab3e0e17baf0.json,,
resources,Prefab/MaoxianPanel/BraveManTriedGuidePre,prefab,cc.Prefab,08xBR1Yc5NkbKwt7YYh6fM,assets/resources/import/08/08c41475-61ce-4d91-b2b0-b7b61887a7cc.json,,
resources,Prefab/ActivityPanel/NewHeroActivity/12008,prefab,cc.Prefab,089YwxP8pHybYFIMMc4q8o,assets/resources/import/08/08f58c31-3fca-47c9-b605-20c31ce2af28.json,,
resources,Prefab/Welfare/MyFriendItemPre,prefab,cc.Prefab,09LFfUQvRG84zn3naBFcUa,assets/resources/import/09/092c57d4-42f4-46f3-8ce7-de768115c51a.json,,
resources,Prefab/fangchenmi/registeredPre,prefab,cc.Prefab,09NC9cBEhJcadK4TD3C37M,assets/resources/import/09/09342f5c-0448-4971-a74a-e130f70b7ecc.json,,
resources,Prefab/HeroPrefab/3050071,prefab,cc.Prefab,09NRJZ30FLU7k3cl9uH/0h,assets/resources/import/09/09351259-df41-4b53-b937-725f6e1ffd21.json,,
resources,Prefab/HeroPrefab/305005,prefab,cc.Prefab,09t0zRIetHAoyox/h1JEMA,assets/resources/import/09/09b74cd1-21eb-4702-8ca8-c7f875244300.json,,
resources,Prefab/SkyCityPanel/SkyCityAllAttrPre,prefab,cc.Prefab,0aP5C/505MlK87oKyu2YMl,assets/resources/import/0a/0a3f90bf-e74e-4c94-af3b-a0acaed98325.json,,
resources,Prefab/HerolhPrefab/105007,prefab,cc.Prefab,0aUUnE9kpM0KLHzfPL/KYl,assets/resources/import/0a/0a5149c4-f64a-4cd0-a2c7-cdf3cbfca625.json,,
resources,Prefab/ActivityPanel/guoqingactivity/GuoqingdingzhiPre,prefab,cc.Prefab,0ah7mA431FXIVrw0Ys0Q7l,assets/resources/import/0a/0a87b980-e37d-455c-856b-c3462cd10ee5.json,,
resources,Prefab/yjTreasure/yjTreasureBuffPre,prefab,cc.Prefab,0at49AzXRHRaOyCTIk25x5,assets/resources/import/0a/0ab78f40-cd74-4745-a3b2-093224db9c79.json,,
resources,Prefab/pvpActivityPanel/pvpActivityGiftItemPre,prefab,cc.Prefab,0aunzeo/VB/oEO5vnTBp8f,assets/resources/import/0a/0aba7cde-a3f5-41fe-810e-e6f9d3069f1f.json,,
resources,Prefab/HeroPrefab/505011,prefab,cc.Prefab,0bBJhHUENAy7CqSxgucNZM,assets/resources/import/0b/0b049847-5043-40cb-b0aa-4b182e70d64c.json,,
resources,Prefab/SkyCityPanel/build/10301,prefab,cc.Prefab,0btqX3Kc1Ph50KdxVPwCHU,assets/resources/import/0b/0bb6a5f7-29cd-4f87-9d0a-77154fc021d4.json,,
resources,Prefab/StarPlanPanel/StarPlanHeroItem,prefab,cc.Prefab,0btvhixwVAFI3/5i1teU6c,assets/resources/import/0b/0bb6f862-c705-4014-8dff-e62d6d794e9c.json,,
resources,Prefab/ActivityPanel/CycleActivity/CycleLandItem,prefab,cc.Prefab,0cDZ2T4RhJzI8UfFqK/NQF,assets/resources/import/0c/0c0d9d93-e118-49cc-8f14-7c5a8afcd405.json,,
resources,Prefab/ForgePanel/ForgeRuneSelectPanel,prefab,cc.Prefab,0cNUwDbWpE9bT282ge+Czm,assets/resources/import/0c/0c354c03-6d6a-44f5-b4f6-f3681ef82ce6.json,,
resources,Prefab/longComing/longLeafletItemPre,prefab,cc.Prefab,0cUclYVQBL4pB4U7nRHCrN,assets/resources/import/0c/0c51c958-5500-4be2-9078-53b9d11c2acd.json,,
resources,Prefab/Guild/GuildBoss/GuildBossrankListItemPre,prefab,cc.Prefab,0cxWEWSoxMX6QJ6WK5Gjz6,assets/resources/import/0c/0cc56116-4a8c-4c5f-a409-e962b91a3cfa.json,,
resources,Prefab/TalkPanel/talkPrefab,prefab,cc.Prefab,0dKLtRSUNDjrumhmUWGdk4,assets/resources/import/0d/0d28bb51-4943-438e-bba6-86651619d938.json,,
resources,Prefab/HeroActivityPanel/HeroActChuanshuo2Pre,prefab,cc.Prefab,0dgo2roXJPO67cRxc/7ivn,assets/resources/import/0d/0d828dab-a172-4f3b-aedc-47173fee2be7.json,,
resources,Prefab/comPrefab/GridPre,prefab,cc.Prefab,0eZvUOuqdOGqA+x4yFyz2q,assets/resources/import/0e/0e66f50e-baa7-4e1a-a03e-c78c85cb3daa.json,,
resources,Prefab/mapprefabs/1016,prefab,cc.Prefab,0edsNGlA1H6KvXb7YfwuiQ,assets/resources/import/0e/0e76c346-940d-47e8-abd7-6fb61fc2e890.json,,
resources,Prefab/SkyCityPanel/SkyCityBossPre,prefab,cc.Prefab,0e0yEyRtNN06lubWg1u7hM,assets/resources/import/0e/0ed32132-46d3-4dd3-a96e-6d6835bbb84c.json,,
resources,Prefab/HerolhPrefab/204003,prefab,cc.Prefab,0e6qVOiRZEDqclF3fVsQtg,assets/resources/import/0e/0eeaa54e-8916-440e-a725-1777d5b10b60.json,,
resources,Prefab/MozhuPanel/mzGhHurtRewardItem,prefab,cc.Prefab,0fGU8rxmtIhZJ/VIHd0ffT,assets/resources/import/0f/0f194f2b-c66b-4885-927f-5481ddd1f7d3.json,,
resources,Prefab/MozhuPanel/mzHurtRankPre,prefab,cc.Prefab,0feakIcllPSbtRi8n+QyJY,assets/resources/import/0f/0f79a908-7259-4f49-bb51-8bc9fe432258.json,,
resources,Prefab/yjTreasure/yjGridItemPre,prefab,cc.Prefab,0ffbLbUWZDbZf0pZ1UtkRo,assets/resources/import/0f/0f7db2db-5166-436d-97f4-a59d54b64468.json,,
resources,Prefab/ShiLuoFanePanel/Builder/builder4,prefab,cc.Prefab,0fsvambu1NyIJfRZ94J7FI,assets/resources/import/0f/0fb2f6a6-6eed-4dc8-825f-459f7827b148.json,,
resources,Prefab/mainpanel/daohangPre,prefab,cc.Prefab,0fyYOxzStBFao3W3HA4a1f,assets/resources/import/0f/0fc983b1-cd2b-4115-aa37-5b71c0e1ad5f.json,,
resources,Prefab/WarReport/WarReportPersonalPanel,prefab,cc.Prefab,10MK6lxA5HPqeAXHx6Bwc2,assets/resources/import/10/1030aea5-c40e-473e-a780-5c7c7a070736.json,,
resources,Prefab/ActivityPanel/DrawCardActivity/DrawCardActivityPre,prefab,cc.Prefab,10puFzZhFIurcjVIkiXQB2,assets/resources/import/10/10a6e173-6611-48ba-b723-5489225d0076.json,,
resources,Prefab/SkyCityPanel/SkyCityFriendPre,prefab,cc.Prefab,101PKFixlPBqaYJyE51Jls,assets/resources/import/10/10d4f285-8b19-4f06-a698-272139d4996c.json,,
resources,Prefab/Battle/BattleWinType7Pre,prefab,cc.Prefab,107GCvR3pGD7Dax3CfXgKc,assets/resources/import/10/10ec60af-477a-460f-b0da-c7709f5e029c.json,,
resources,Prefab/HeroPrefab/505003,prefab,cc.Prefab,11Tvo4EglHXJNeZ3R3p6Nv,assets/resources/import/11/114efa38-1209-475c-935e-677477a7a36f.json,,
resources,Prefab/mapprefabs/1001,prefab,cc.Prefab,11nk8heSdI7qvF9GSFgDzU,assets/resources/import/11/119e4f21-7927-48ee-abc5-f46485803cd4.json,,
