path,size,ext,kind,encrypted,decrypted,extension_mismatch,expected_ext,head_hex
adjust.js,8428,.js,js,False,False,False,.js,76 61 72 20 41 64 6a 75 73 74 20 3d 20 7b 0a 20
adjust_config.js,8316,.js,text,False,False,False,,66 75 6e 63 74 69 6f 6e 20 41 64 6a 75 73 74 43
adjust_event.js,896,.js,text,False,False,False,,66 75 6e 63 74 69 6f 6e 20 41 64 6a 75 73 74 45
adjust_third_party_sharing.js,601,.js,text,False,False,False,,66 75 6e 63 74 69 6f 6e 20 41 64 6a 75 73 74 54
audience_network.dex,5017908,.dex,binary,False,False,False,,64 65 78 0a 30 33 35 00 dd 24 72 af f4 b4 be 43
builddatas.json,450,.json,json,False,False,False,.json,7b 0a 20 20 20 20 22 6e 61 6d 65 22 3a 20 22 72
dic,4016,,binary,False,False,False,,1b 2c 2f 22 68 62 65 69 63 64 69 63 64 69 63 64
main.js,5575,.js,text,True,True,False,,21 66 75 6e 63 74 69 6f 6e 28 29 7b 69 66 28 22
mbridge_download_dialog_view.xml,25224,.xml,text,False,False,False,,3c 3f 78 6d 6c 20 76 65 72 73 69 6f 6e 3d 22 31
md5_util.js,6907,.js,text,False,False,False,,66 75 6e 63 74 69 6f 6e 20 73 74 72 5f 74 6f 5f
project.json,297,.json,json,False,False,False,.json,7b 0a 20 20 20 20 22 70 72 6f 6a 65 63 74 5f 74
rv_binddatas.xml,2072,.xml,text,False,False,False,,3c 3f 78 6d 6c 20 76 65 72 73 69 6f 6e 3d 22 31
ad-viewer\omid-session-client-v1.js,68100,.js,text,False,False,False,,3b 28 66 75 6e 63 74 69 6f 6e 28 6f 6d 69 64 47
ad-viewer\omsdk-v1.js,43924,.js,text,False,False,False,,3b 28 66 75 6e 63 74 69 6f 6e 28 6f 6d 69 64 47
dexopt\baseline.prof,1581,.prof,binary,False,False,False,,70 72 6f 00 30 31 30 00 04 68 d3 00 00 1c 06 00
dexopt\baseline.profm,193,.profm,binary,False,False,False,,70 72 6d 00 30 30 32 00 04 00 75 01 00 00 af 00
internal\config.json,1375,.json,json,True,True,False,.json,7b 22 70 61 74 68 73 22 3a 7b 22 30 22 3a 5b 22
internal\index.js,571,.js,js,True,True,False,.js,28 66 75 6e 63 74 69 6f 6e 20 72 28 65 2c 20 6e
jsb-adapter\jsb-builtin.js,338140,.js,js,True,True,False,.js,28 66 75 6e 63 74 69 6f 6e 28 29 7b 66 75 6e 63
jsb-adapter\jsb-engine.js,228391,.js,js,True,True,False,.js,28 66 75 6e 63 74 69 6f 6e 28 29 7b 66 75 6e 63
main\config.json,1078,.json,json,True,True,False,.json,7b 22 70 61 74 68 73 22 3a 7b 7d 2c 22 74 79 70
main\index.js,7256563,.js,js,True,True,False,.js,77 69 6e 64 6f 77 2e 5f 5f 72 65 71 75 69 72 65
resources\config.json,1230792,.json,json,True,True,False,.json,7b 22 70 61 74 68 73 22 3a 7b 22 30 22 3a 5b 22
resources\index.js,2818,.js,js,True,True,False,.js,77 69 6e 64 6f 77 2e 5f 5f 72 65 71 75 69 72 65
src\cocos2d-jsb.js,1183669,.js,js,True,True,False,.js,28 66 75 6e 63 74 69 6f 6e 28 74 2c 20 65 2c 20
src\settings.js,383,.js,js,True,True,False,.js,77 69 6e 64 6f 77 2e 5f 43 43 53 65 74 74 69 6e
resources\native\00\0001efd6-6ae9-4583-bde4-1c4c31e9d24b.png,111029,.png,png,True,True,False,.png,89 50 4e 47 0d 0a 1a 0a 00 00 00 0d 49 48 44 52
