id,bundleName,fileName,fileHash,fileCRC,fileSize,encrypted,tags,dependBundleIDs,unityCRC,bundleLookupHeader
0,assets_game_rawassets_prefabs_3d_hero_005q_attack_shifa.bundle,assets_game_rawassets_prefabs_3d_hero_005q_attack_shifa.bundle,b0d793c819b79e77fb3d123a762410d9,782561ac,29140,False,,1310720|7|5015|6010|6146|6616|6625|6626|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873|1935736896|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1899311152|1953784159|829121377|1851876447|779051364|1684960610|-1119656596|2105100|1714774579|1697931570|845232230|959853111|1647718964|875717684|892941875|825700963|859176968|842215735|2027238708|0|65536|117445632|-1761607680|2046820371|33554455|-671088616|-520093671|-503316455|-452984807|-436207591|-335544295|-318767079|-150994919|-134217703|1459617817|1543503898|1610612762|-2113929190|-1325400038|-1207959526|-654311398|1023410202|1936941312|1601401957|1701667175|2002874975|1702064993|1885303668|1634100594|861893474|1701338980|811560818|1601254704|1635021921|1597074275|779381096|1684960610|-1927977620|2155466|825833528|909128503|912548146|1650602035|892756322|892350769|1715026230|959919160|926089224|842293557|1995727672|0|65536|117445632|-1761607680|2046820371|33554455|-671088616|-520093671|-503316455|-452984807|-436207591|-335544295|-318767079|-150994919|-134217703|1459617817|1543503898|1610612762|-2113929190|-1325400038|-1207959526|-654311398|1090519066|1936941312|1601401957|1701667175|2002874975|1702064993|1885303668|1634100594|861893474|1701338980|811560818|1601254704|1635021921|1597074275|1601464680|778790497|1684960610|-1514314388|2150139|1633760865|842477921|842477618|909259830|892613172|828782384|1681403957|909390692|842006536|842294885|1998206006|0|65536|117445632|-1761607680|2046820371|33554455|-671088616|-520093671|-503316455|-452984807|-436207591|-335544295|-318767079|-150994919|-134217703|1459617817|1543503898|1610612762|-2113929190|-1325400038|-1207959526|-654311398|1056964634|1936941312|1601401957|1701667175|2002874975|1702064993|1885303668|1634100594|861893474|1701338980|811560818|1601254704|1635021921|1597074275|1718184051|1969368673|1701602414|473123167|1701117984|1700881507|926377522|892691041|1664300601|926298169|875639397|962814561|538165|946221108|926496311|29304|0|335544321|1792|1283840|1538560|1573376|1693696|1696000|1696256|1697024|1697280|1698816|1699072|1701632|1701888|1726208|1727488|1728512|1737216|1749248|1751040|1759488|1627403776|1952805747|1634164595|1918854509|1935767393|1937007987|1701998687|1935827302|1600402271|1869768040|892350559|1969381233|1647208038|1818521205|-874710427|872423660|1681219889|1667511906|912404532|1633825126|1698129510|828651573|909195570|137902129|862139648|862217829|7487842|0|256,1936663337,f8190000571a00005c1a0000601a0000821a0000b11a0000b81a0000d91a0000
1,assets_game_rawassets_prefabs_3d_hero_005q_skill_1.bundle,assets_game_rawassets_prefabs_3d_hero_005q_skill_1.bundle,28496f97d2b64e2e952752e08e670a21,9a7a37e3,55365,False,,1507328|7|5015|6010|6146|6614|6616|6618|6625|6626|6627|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873|1935736889|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1899311152|1768649567|845114476|1853186606|-1973064604|552713146|959537920|1714905909|1633838130|825701426|926232632|842086450|892482103|909391416|922748980|962683703|1060266547|186|16777216|1507328|7|5015|6010|6146|6614|6616|6618|6625|6626|6627|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873|1935736889|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1899311152|1768649567|861891692|1853186606|1701145700|552761596|1717645312|1698051382|808793656|942880311|879113272|1684235568|962801716|1717712740|922749028|842032737|1898983990|145|16777216|1441792|7|5015|6010|6146|6616|6618|6625|6626|6627|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873|1935736888|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1899376688|1953784159|778789729|1684960610|874734956|2120037|912482915|962933554|942683186|959460403|912339506|1647862071|842150961|808924208|808845320|909193269|2120115512|0|65536|117447168|-1761607680|2046820371|33554455|-671088616|-637534183|-520093671|-503316455|-486539239|-452984807|-436207591|-385875943|-369098727|-335544295|-318767079|-301989863|-285212647|-150994919|-134217703|1459617817|1543503898|1610612762|-2113929190|-1325400038|-1207959526|-654311398|1073741850|1936941312|1601401957|1701667175|2002874975|1702064993|1885303668|1634100594|861893474|1701338980|811560818|1601254960|1635021921|1597074275|1684955492|1647210337|1818521205|925071205|1644175568|926442853|1714696756|808804964|858796899|959657782|825844579|1681011765|137716529|875586048|808858162|8063797|0|256|458772|328663040|393871360|402784256|433586176|434176000|434241536|434438144|434503680|434896896|434962432|435617792|435683328|441909248|442236928|442499072|444727296|447807488|448266240|450428928|3997696|1702064993|1734308724|1600482657|1635213682|1952805747|1919967091|1650550373|1681088371|1919248479|808476527|1633644854|1667331188|1751069035|1647211625|1818521205|1131868261|956309740|926365235|926377013,3994760202,f8190000571a00005c1a0000601a0000821a0000b11a0000b81a0000d91a0000
2,assets_game_rawassets_prefabs_3d_hero_006q_attack1_shifa.bundle,assets_game_rawassets_prefabs_3d_hero_006q_attack1_shifa.bundle,a1237ff092d0c96c090572569ec5f5a0,8e024665,29273,False,,1703936|7|5015|6010|6146|6616|6622|6623|6625|6626|6629|6630|6633|6634|6636|6637|6638|6639|6647|6648|6743|6748|6752|6786|6833|6840|6873|1935736889|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1899376688|1768649567|828337260|1853186606|-1704629148|547604600|878784512|862270520|1684092257|859071281|1681011248|825570660|808673635|859126066|1644169318|825385270|355940660|187|16777216|1900544|7|5015|6010|6146|6614|6616|6618|6622|6623|6625|6626|6627|6629|6630|6633|6634|6636|6637|6638|6639|6647|6648|6743|6748|6752|6786|6833|6840|6873|1935736893|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1899376688|1768649567|828337260|1953065055|1853186606|-2140836764|544873770|859189248|909259065|842032438|1681405747|926507620|812004152|1647851568|1700881505|855640119|892940389|2000041273|130|16777216|1507328|7|5015|6010|6146|6614|6616|6618|6625|6626|6627|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873|1935736895|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1899376688|1768649567|828337260|1768452959|1647206758|1818521205|925518181|1677729804|1684431929|943011640|892351027|909402425|959527268|1681154866|929118259|140652641|1647588864|912548406|10916406|0|256|458779|328663040|393871360|402784256|433455104|433586176|433979392|434044928|434176000|434241536|434438144|434503680|434700288|434765824|434896896|434962432|435027968|435093504|435617792|435683328|441909248|442236928|442499072|444727296|447807488|448266240|450428928|3670016|1702064993|1734308724|1600482657|1635213682|1952805747|1919967091|1650550373|1681088371|1919248479|808476527|1633644855|1667331188|1969368683|1701602414|1062720214|828637216|929326131|1664116275|828716592|962814775|828531253|828518704|858797923|537393|875914339|842413925|50962|0|385875969|1792|1283840|1538560|1573376|1693184|1693696|1694208|1696000|1696256|1696512|1697024|1697280|1698816|1699072|1701632|1701888|1726208|1727488|1728512|1737216|1749248|1751040|1759488|1627406336|1952805747|1634164595|1918854509|1935767393,903537496,f8190000571a00005c1a0000601a0000821a0000b11a0000b81a0000d91a0000
3,assets_game_rawassets_prefabs_3d_hero_007q_attack1_hit.bundle,assets_game_rawassets_prefabs_3d_hero_007q_attack1_hit.bundle,2ec479427b99f6827a981aa3abd66c52,a4119688,30809,False,,2162688|7|4158|4637|5015|5273|5342|5391|5902|5997|6010|6146|6616|6624|6625|6626|6629|6630|6633|6634|6636|6637|6638|6639|6647|6648|6743|6748|6749|6752|6786|6833|6840|6873|1935736895|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1899442224|1953784159|829121377|1768452959|1647206758|1818521205|130605413|872423566|828585574|1630680376|1714567223|1717645876|946234165|1684222773|1681351220|137507124|1697722880|1717790308|8524856|0|256|272498715|303890432|345571328|350093312|353304576|386793472|393019392|433455104|433717248|433979392|434044928|434110464|434176000|434241536|434307072|434438144|434700288|434765824|434962432|435027968|435093504|435683328|442236928|442302464|444727296|447807488|450428928|3735552|1702064993|1734308724|1600482657|1635213682|1952805747|1919967091|1650550373|1681088371|1919248479|808476527|1935634743|1819044203|1647194463|1818521205|109015909|1694507010|1631020340|926038071|895563058|912405561|1650877491|1717908070|925905712|137454901|942945280|1714827876|16939319|0|256|458791|272498688|303890432|328663040|345571328|350093312|353304576|386793472|393019392|393871360|402784256|433455104|433586176|433717248|433979392|434044928|434110464|434176000|434241536|434307072|434372608|434438144|434503680|434700288|434765824|434896896|434962432|435027968|435093504|435617792|435683328|441909248|442236928|442302464|442499072|444727296|447807488|448266240|450428928|3735552|1702064993|1734308724|1600482657|1635213682|1952805747|1919967091|1650550373|1681088371|1919248479|808476527|1935634743|1819044203|1647194719|1818521205|-627525019|905978010|1697931874|1630680931|876032614|859070769|1717789753|1684092470|1701012066|140654434|909391872|1681417016|20728931|0|256|458789|272498688|303890432|328663040|345571328|350093312|353304576|386793472|393019392|393871360|402784256|433455104|433586176|433717248|434110464|434176000|434241536|434307072|434372608|434438144|434503680|434700288|434765824|434896896|434962432|435027968|435093504|435617792|435683328|441909248|442236928|442302464|442499072|444727296|447807488|448266240|450428928|3670016|1702064993|1734308724|1600482657|1635213682|1952805747|1919967091|1650550373|1681088371|1919248479|808476527|1633644856|1667331188|1969368683|1701602414|1364841556|808779808|1714566497|862205749|825832753|909523042|943075896|912668976|825255474|537698|859256422|842359606|44335,2430436812,f8190000571a00005c1a0000601a0000821a0000b11a0000b81a0000d91a0000
4,assets_game_rawassets_prefabs_3d_hero_008q_attack1_dandao.bundle,assets_game_rawassets_prefabs_3d_hero_008q_attack1_dandao.bundle,5d0df7c13d57b4371f083e1c5c5df856,ee177bce,39991,False,,1441792|7|5015|6010|6146|6616|6618|6625|6626|6627|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873|1935736893|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1899507760|1953784159|829121377|1953065055|1853186606|-1620743068|550120408|1697789952|945960806|1630875696|929118308|808597299|1630560564|1684420407|828662374|1694500965|895837286|-1724305308|155|16777216|1441792|7|5015|6010|6146|6616|6618|6625|6626|6627|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873|1935736897|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1899507760|1953784159|829121377|1953065055|1801871711|1853186606|-1838846876|538989363|858809088|828727654|909599332|808924976|842490209|929183538|1647916343|909337700|838862950|1680946485|2084059443|155|16777216|1441792|7|5015|6010|6146|6616|6618|6625|6626|6627|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873|1935736895|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1899507760|1953784159|829121377|1768452959|1647206758|1818521205|-28671899|855646291|812016434|929378609|1650746469|895759713|808595766|808792375|1681076537|137574450|1698183424|895903028|10598244|0|256|458777|328663040|393871360|402784256|433455104|433586176|433717248|433979392|434044928|434176000|434241536|434307072|434438144|434503680|434896896|434962432|435617792|435683328|441909248|442236928|442499072|444727296|447807488|448266240|450428928|3735552|1702064993|1734308724|1600482657|1635213682|1952805747|1919967091|1650550373|1681088371|1919248479|808476527|1935634744|1819044203|1647194463|1818521205|-601703067|855646230|1681012789|1684223585|1714501682|858809140|1700869220|942682212|1697801524|137388855|959604224|929259875|17322547|0|256|458779|328663040|393871360|402784256|433455104|433586176|433717248|434176000|434241536|434307072|434438144|434503680|434700288|434765824|434896896|434962432|435027968|435093504|435617792|435683328|441909248|442236928|442499072|444727296|447807488|448266240|450428928|3735552|1702064993|1734308724|1600482657|1635213682|1952805747|1919967091|1650550373|1681088371|1919248479|808476527|1935634744|1819044203,2486784701,f8190000571a00005c1a0000601a0000821a0000b11a0000b81a0000d91a0000
5,assets_game_rawassets_prefabs_3d_hero_009q_attack.bundle,assets_game_rawassets_prefabs_3d_hero_009q_attack.bundle,980597bd4a4ef41c7b59ed425f97533f,1ff40b8a,35060,False,,1507328|7|5015|6010|6146|6614|6616|6618|6625|6626|6627|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873|1935736896|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1899573296|1953784159|829121377|1851876447|779051364|1684960610|-813669012|2151292|842478904|912470839|812005682|1684419385|959932005|1714447666|858928230|1697788771|825360392|929325625|1876112738|0|65536|117445632|-1761607680|2046820371|33554455|-671088616|-520093671|-503316455|-452984807|-436207591|-335544295|-318767079|-150994919|-134217703|1459617817|1543503898|1610612762|-2113929190|-1325400038|-1207959526|-654311398|1023410202|1936941312|1601401957|1701667175|2002874975|1702064993|1885303668|1634100594|861893474|1701338980|811560818|1601255728|1635021921|1597074275|779381096|1684960610|-288529044|2103529|842098276|878917937|959472434|828651319|828454241|808727091|1701197872|892746037|892731400|892612710|1972189539|0|65536|117445632|-1761607680|2046820371|33554455|-671088616|-520093671|-503316455|-452984807|-436207591|-335544295|-318767079|-150994919|-134217703|1459617817|1543503898|1610612762|-2113929190|-1325400038|-1207959526|-654311398|1090519066|1936941312|1601401957|1701667175|2002874975|1702064993|1885303668|1634100594|861893474|1701338980|811560818|1601255728|1635021921|1597074275|1601464680|778790497|1684960610|-1647680148|2119553|1681339745|1717777254|1633761590|1714906213|808859490|1631137847|1717843813|1647456816|858849288|875968568|1971402593|0|65536|117445632|-1761607680|2046820371|33554455|-671088616|-520093671|-503316455|-452984807|-436207591|-335544295|-318767079|-150994919|-134217703|1459617817|1543503898|1610612762|-2113929190|-1325400038|-1207959526|-654311398|1056964634|1936941312|1601401957|1701667175|2002874975|1702064993|1885303668|1634100594|861893474|1701338980|811560818|1601255728|1635021921|1597074275|1718184051|1969368673|1701602414|-65771317|825819168|1630758246|1664168244|1697998437|1650745701|959525478|1650536504|1667524148|537905|828453940|1684222309|32225|0|385875969|1792|1283840|1538560|1573376|1693184|1693696|1694208|1696000|1696256|1696512|1697024|1697280|1698816|1699072|1701632|1701888|1726208|1727488|1728512|1737216|1749248|1751040|1759488|1627404544|1952805747|1634164595|1918854509|1935767393|1937007987|1701998687|1935827302|1600402271|1869768040|959459423|1802723185|1600941161|1969368625|1701602414|612750550|842530848|1701131056|1717986402|809055027|876164450|942814776|845308514,2408711809,f8190000571a00005c1a0000601a0000821a0000b11a0000b81a0000d91a0000
6,assets_game_rawassets_prefabs_3d_hero_009q_skill_2.bundle,assets_game_rawassets_prefabs_3d_hero_009q_skill_2.bundle,e6201fe3808a95a8ee226c2a65251889,2442c920,38561,False,,1507328|7|5015|6010|6146|6614|6616|6618|6625|6626|6627|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873|1935736888|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1898983728|1953784159|778789729|1684960610|1333486956|2115097|1684091957|845231969|909128547|845559905|1647535161|1664246626|926508134|811938914|1698037768|1630823009|-1807664844|0|65536|117446400|-1761607680|2046820371|33554455|-704643048|-671088615|-637534183|-520093671|-503316455|-486539239|-452984807|-436207591|-335544295|-318767079|-150994919|-134217703|1459617817|1543503898|1610612762|-2113929190|-1325400038|-1207959526|-654311398|1073741850|1936941312|1601401957|1701667175|2002874975|1702064993|1885303668|1634100594|861893474|1701338980|811560818|1601253425|1635021921|1597074275|1684955492|1647210337|1818521205|558479973|805314736|875639353|892743986|878928993|912613937|842412129|1681405028|845297510|137978169|808739328|858993764|8330802|0|256|458772|328663040|393871360|402784256|433586176|434176000|434241536|434438144|434503680|434896896|434962432|435617792|435683328|441909248|442236928|442499072|444727296|447807488|448266240|450428928|3997696|1702064993|1734308724|1600482657|1635213682|1952805747|1919967091|1650550373|1681088371|1919248479|825253743|1633644848|1667331188|1751069035|1647211625|1818521205|629928805|822091941|1717973300|845243750|962998836|1714960482|909259058|1714761782|1647339058|140849712|1684365824|1714893625|8295011|0|256|458772|328663040|393871360|402784256|433586176|434176000|434241536|434438144|434503680|434896896|434962432|435617792|435683328|441909248|442236928|442499072|444727296|447807488|448266240|450428928|4259840|1702064993|1734308724|1600482657|1635213682|1952805747|1919967091|1650550373|1681088371|1919248479|825253743|1633644848|1667331188|1751069035|1633645673|1647209318|1818521205|-101047963|872423553|942760248|1634089059|825845043|1701000247|1681416761|1630613555|1697919024|137836134|858993664|1630878008|8192055|0|256|458772|328663040|393871360|402784256|433586176|434176000|434241536|434438144|434503680|434896896|434962432|435617792|435683328|441909248|442236928|442499072|444727296|447807488|448266240|450428928|4128768|1702064993|1734308724|1600482657|1635213682|1952805747|1919967091|1650550373|1681088371|1919248479|825253743|1633644848|1667331188|1935618411|1634101608|1853186606|-328897436|548938688|946091264|945894241|1684223076|945893429|808924724|909390902|909337443,3306920276,f8190000571a00005c1a0000601a0000821a0000b11a0000b81a0000d91a0000
7,assets_game_rawassets_prefabs_3d_hero_010q_skill_1.bundle,assets_game_rawassets_prefabs_3d_hero_010q_skill_1.bundle,30359c168d40f79d3fefa73dc72c75e7,a641d4b8,48005,False,,2359296|7|4158|4637|5015|5273|5342|5391|5902|5997|6010|6146|6614|6616|6618|6624|6625|6626|6627|6629|6630|6633|6634|6636|6637|6638|6639|6647|6648|6743|6748|6749|6752|6786|6833|6840|6873|1935736889|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1898983728|1768649567|845114476|1853186606|207973476|539126488|1647653632|912339554|858797366|1633771876|962736483|1630942259|1650746935|909207094|1677723698|1630613555|-1187760583|146|16777216|1507328|7|5015|6010|6146|6614|6616|6618|6625|6626|6627|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873|1935736891|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1898983728|1768649567|845114476|1647194463|1818521205|-734417307|922755084|1647915060|808597303|1700935270|842360373|1681340518|1701013042|1667588921|137966438|892887552|828466488|9798709|0|256|458775|328663040|393871360|402784256|433455104|433586176|433717248|434176000|434241536|434307072|434438144|434503680|434896896|434962432|435617792|435683328|441909248|442236928|442499072|444727296|447807488|448266240|450428928|3997696|1702064993|1734308724|1600482657|1635213682|1952805747|1919967091|1650550373|1681088371|1919248479|825253743|1935634736|1819044203|1751069279|1647211625|1818521205|1944463717|1644175614|1667313974|1647665972|842032697|811688505|1634100580|1684091958|1684300599|140720181|1650864640|859070818|8882018|0|256|458788|272498688|303890432|328663040|345571328|350093312|353304576|386793472|393019392|393871360|402784256|433455104|433586176|433717248|434110464|434176000|434241536|434307072|434438144|434503680|434700288|434765824|434896896|434962432|435027968|435093504|435617792|435683328|441909248|442236928|442302464|442499072|444727296|447807488|448266240|450428928|4128768|1702064993|1734308724|1600482657|1635213682|1952805747|1919967091|1650550373|1681088371|1919248479|825253743|1935634736|1819044203|1751069279|828339305|1853186606|-563778460|550205447|946169344|1650615137|858994993|895640929|1717920867|945971508|862138930|959603556|855640166|895836977|959983971|138|16777216|2359296|7|4158|4637|5015|5273|5342|5391|5902|5997|6010|6146|6614|6616|6618,583316579,f8190000571a00005c1a0000601a0000821a0000b11a0000b81a0000d91a0000
8,assets_game_rawassets_prefabs_3d_hero_010q_skill_3.bundle,assets_game_rawassets_prefabs_3d_hero_010q_skill_3.bundle,7b303f67b20566ffb16de4067b0ac7db,e361cbb4,32895,False,,2228224|7|4158|4637|5015|5273|5342|5391|5902|5997|6010|6146|6614|6616|6624|6625|6626|6629|6630|6633|6634|6636|6637|6638|6639|6647|6648|6743|6748|6749|6752|6786|6833|6840|6873|1935736888|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1899049264|1953784159|778789729|1684960610|-1391237780|2143909|926298723|859123769|926233138|1647325282|1681470817|946092129|1714709862|945905971|909639688|942682722|2125346103|0|65536|117449216|1040187392|486539280|-1761607662|-1728053229|-570425324|251658260|234881045|1828716567|2046820375|33554455|-704643048|-671088615|-536870887|-520093671|-503316455|-452984807|-436207591|-385875943|-369098727|-335544295|-318767079|-301989863|-285212647|-150994919|-134217703|1459617817|1543503898|1560281114|1610612762|-2113929190|-1325400038|-1207959526|-654311398|1073741850|1936941312|1601401957|1701667175|2002874975|1702064993|1885303668|1634100594|861893474|1701338980|811560818|1601253681|1635021921|1597074275|1684955492|1647210337|1818521205|-684712347|939532321|943206755|962670642|1681208881|912537956|912340016|1664692276|1664430137|140862258|895826176|1647392049|7802214|0|256|458772|328663040|393871360|402784256|433586176|434176000|434241536|434438144|434503680|434896896|434962432|435617792|435683328|441909248|442236928|442499072|444727296|447807488|448266240|450428928|3997696|1702064993|1734308724|1600482657|1635213682|1952805747|1919967091|1650550373|1681088371|1919248479|825253743|1633644849|1667331188|1751069035|1647211625|1818521205|218494309|1627398378|1647534693|943285812|1667314488|828597815|1631007792|1647457584|1630876722|137573937|1714500352|808924001|7997541|0|256|458776|328663040|393871360|402784256|433586176|434176000|434241536|434438144|434503680|434700288|434765824|434896896|434962432|435027968|435093504|435617792|435683328|441909248|442236928|442499072|444727296|447807488|448266240|450428928|4259840|1702064993|1734308724|1600482657|1635213682|1952805747|1919967091|1650550373|1681088371|1919248479|825253743|1633644849|1667331188|1751069035|1633645673|1647209318|1818521205|1425863013|889200749|859136353|875783476|929445683|1650811960|845559864|858863717|1697985843|140718135|1717788928|811688545|8028977|0|256|458776|328663040|393871360|402784256|433586176|434176000|434241536|434438144|434503680|434700288|434765824|434896896|434962432|435027968|435093504|435617792|435683328|441909248|442236928,1431858498,f8190000571a00005c1a0000601a0000821a0000b11a0000b81a0000d91a0000
9,assets_game_rawassets_prefabs_3d_hero_011q_attack1_shifa.bundle,assets_game_rawassets_prefabs_3d_hero_011q_attack1_shifa.bundle,2997741ecf0d88aa0c932210172f9e15,7afc63d1,30196,False,,1572864|7|5015|6010|6146|6616|6625|6626|6629|6630|6633|6634|6636|6637|6638|6639|6647|6648|6743|6748|6752|6786|6833|6840|6873|1935736889|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1899049264|1768649567|828337260|1853186606|40201316|537070143|1667589632|1697722725|942892344|945961264|1698128481|1714434404|1698182246|942749236|1660946529|892351073|1479697712|184|16777216|1769472|7|5015|6010|6146|6614|6616|6618|6625|6626|6627|6629|6630|6633|6634|6636|6637|6638|6639|6647|6648|6743|6748|6752|6786|6833|6840|6873|1935736895|1937007987|1835099999|1634885477|1936941431|1601401957|1717924464|1601397345|1751082035|1601139301|1899049264|1768649567|828337260|1635021663|1647211634|1818521205|-2073724059|922755209|858862133|1701001569|1630943029|929194551|825320804|943009893|845363554|137585509|929444352|845558329|10563376|0|256|458782|328663040|393871360|402784256|433455104|433586176|433717248|433979392|434044928|434176000|434241536|434307072|434372608|434438144|434503680|434700288|434765824|434896896|434962432|435027968|435093504|435617792|435683328|441909248|442236928|442499072|444727296|447807488|448266240|450428928|3735552|1702064993|1734308724|1600482657|1635213682|1952805747|1919967091|1650550373|1681088371|1919248479|825253743|1935634737|1819044203|1647194719|1818521205|-9286811|1677729890|1630626145|862020657|892953702|943284535|845558068|1631139635|1717973556|140600373|1634022144|1714906424|11930723|0|256|458781|328663040|393871360|402784256|433455104|433586176|433717248|433979392|434044928|434176000|434241536|434307072|434438144|434503680|434700288|434765824|434896896|434962432|435027968|435093504|435617792|435683328|441909248|442236928|442499072|444727296|447807488|448266240|450428928|4194304|1702064993|1734308724|1600482657|1635213682|1952805747|1919967091|1650550373|1681088371|1919248479|825253743|1935634737|1819044203|1683960415|1633971809|1969368687|1701602414|-1725267528|909639712|1633760612|845571428|859125552|875966520|859058737|875968056|959526706|537651|1717975396|842412336|29828|0|335544321|1792|1283840|1538560|1573376|1693696|1696000|1696256|1697024|1697280|1698816|1699072|1701632|1701888|1726208|1727488|1728512|1737216|1749248|1751040|1759488|1627405568|1952805747,3184911857,f8190000571a00005c1a0000601a0000821a0000b11a0000b81a0000d91a0000
