"source","type","name","path_id","output","kind"
"resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle","TextAsset","change_language","1268140051941021718","reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\change_language.bytes","dry-run"
"resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle","TextAsset","chapter","6372784940136890961","reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\chapter.bytes","dry-run"
"resources\assets\yoo\Default\d4f0f4146eea1dcc1a3bc2c221446b91.bundle","TextAsset","ChapterTask","2773014917739168367","reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\RedDotTree\ChapterTask.json","dry-run"
"resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle","TextAsset","cht","-8180768291720204572","reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\cht.bytes","dry-run"
"resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle","TextAsset","cn","2733469781029689535","reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\cn.bytes","dry-run"
"resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle","TextAsset","conquer_chapter","-5931050324062411346","reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\conquer_chapter.bytes","dry-run"
"resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle","TextAsset","date","2104590393235170186","reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\date.bytes","dry-run"
"resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle","TextAsset","favor_goods","-9219918639105621383","reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\favor_goods.bytes","dry-run"
"resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle","TextAsset","favor_reward","6436595426446974104","reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\favor_reward.bytes","dry-run"
"resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle","TextAsset","favorability_level","780327840149109537","reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\favorability_level.bytes","dry-run"
"resources\assets\yoo\Default\d4f0f4146eea1dcc1a3bc2c221446b91.bundle","TextAsset","Gal","-453718395470683853","reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\RedDotTree\Gal.json","dry-run"
"resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle","TextAsset","gal_character","8000806516508534853","reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\gal_character.bytes","dry-run"
