source,type,name,path_id,output,kind
resources\assets\yoo\Default\0bcc4da62515a79e1155dcc2ffadc493.bundle,TextAsset,monster_003q_shadow.skel,-48611572880542615,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\RawAssets\Spine\MonsterQ\monster_003q\monster_003q_shadow\monster_003q_shadow.skel.bytes,dry-run
resources\assets\yoo\Default\0bcc4da62515a79e1155dcc2ffadc493.bundle,TextAsset,monster_003q_shadow.atlas,2170522889401135880,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\RawAssets\Spine\MonsterQ\monster_003q\monster_003q_shadow\monster_003q_shadow.atlas.txt,dry-run
resources\assets\yoo\Default\0c552c7c0c1eb480149466e789630acb.bundle,TextAsset,monster_001q.atlas,-115384583865303527,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\RawAssets\Spine\MonsterQ\monster_001q\monster_001q.atlas.txt,dry-run
resources\assets\yoo\Default\0c552c7c0c1eb480149466e789630acb.bundle,TextAsset,monster_001q.skel,3931314584114428781,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\RawAssets\Spine\MonsterQ\monster_001q\monster_001q.skel.bytes,dry-run
resources\assets\yoo\Default\0e17667d9fe32b4d7e5089b9e88ccc94.bundle,TextAsset,monster_002q_shadow.skel,-5936336895642344268,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\RawAssets\Spine\MonsterQ\monster_002q\monster_002q_shadow\monster_002q_shadow.skel.bytes,dry-run
resources\assets\yoo\Default\0e17667d9fe32b4d7e5089b9e88ccc94.bundle,TextAsset,monster_002q_shadow.atlas,645856454408812495,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\RawAssets\Spine\MonsterQ\monster_002q\monster_002q_shadow\monster_002q_shadow.atlas.txt,dry-run
resources\assets\yoo\Default\10820497425fdd49aeecc19c67541eb8.bundle,TextAsset,hero_026q.skel,-7336779722575741199,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\RawAssets\Spine\HeroQ\hero_026q\hero_026q.skel.bytes,dry-run
resources\assets\yoo\Default\10820497425fdd49aeecc19c67541eb8.bundle,TextAsset,hero_026q.atlas,6346610794727151395,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\RawAssets\Spine\HeroQ\hero_026q\hero_026q.atlas.txt,dry-run
resources\assets\yoo\Default\10a996a3e776fd5aae56db475e049e42.bundle,TextAsset,monster_021q.atlas,2675959366205967428,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\RawAssets\Spine\MonsterQ\monster_021q\monster_021q.atlas.txt,dry-run
resources\assets\yoo\Default\10a996a3e776fd5aae56db475e049e42.bundle,TextAsset,monster_021q.skel,8041199919279857277,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\RawAssets\Spine\MonsterQ\monster_021q\monster_021q.skel.bytes,dry-run
resources\assets\yoo\Default\21e53c68ff1e1abc02e95ccb18bc09fe.bundle,TextAsset,hero_021q.atlas,-534717908490320736,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\RawAssets\Spine\HeroQ\hero_021q\hero_021q.atlas.txt,dry-run
resources\assets\yoo\Default\21e53c68ff1e1abc02e95ccb18bc09fe.bundle,TextAsset,hero_021q.skel,115638652446657382,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\RawAssets\Spine\HeroQ\hero_021q\hero_021q.skel.bytes,dry-run
resources\assets\yoo\Default\2e3df696605d5fa957ef65281beb54aa.bundle,TextAsset,jiantou_01.skel,3811019906929617619,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\RawAssets\Spine\Other\jiantou_01\jiantou_01.skel.bytes,dry-run
resources\assets\yoo\Default\2e3df696605d5fa957ef65281beb54aa.bundle,TextAsset,jiantou_01.atlas,7814949895114971004,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\RawAssets\Spine\Other\jiantou_01\jiantou_01.atlas.txt,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,favor_goods,-9219918639105621383,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\favor_goods.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,rogue_manual,-9187335986469667156,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\rogue_manual.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,recommend_gift,-9122451209234693303,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\recommend_gift.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,power_dash_rank,-9003615711110418502,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\power_dash_rank.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,chat_face,-8987549421999386950,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\chat_face.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,bury_point_gift,-8971012048484657610,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\bury_point_gift.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,button_unlock,-8967508806325984545,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\button_unlock.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,pass_exp_type,-8710492452865791769,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\pass_exp_type.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,mecha_transform,-8704558676373267767,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\mecha_transform.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,server_arena_level,-8692549718929599544,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\server_arena_level.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,legionexpedition_level_damage,-8544885798912691670,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\legionexpedition_level_damage.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,hero_attribute_up,-8522504908545672222,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\hero_attribute_up.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,world_jc,-8506756186493958232,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\world_jc.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,investment,-8492838628693231475,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\investment.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,accumulativeconsumeconfig_1,-8491041025310919878,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\accumulativeconsumeconfig_1.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,expedition_investment,-8487536925902716266,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\expedition_investment.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,gal_hero_skin,-8222736693718181409,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\gal_hero_skin.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,skin,-8222701410084591708,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\skin.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,seven_quest,-8188163196158646988,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\seven_quest.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,cht,-8180768291720204572,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\cht.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,quiz_team,-8143247106920614454,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\quiz_team.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,slug_attribute,-8130366373456453448,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\slug_attribute.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,rule_lang,-8018870500408616906,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\rule_lang.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,adwatch,-7965637671583415728,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\adwatch.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,exclusive_weapon,-7939831076395783127,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\exclusive_weapon.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,first_kill_team,-7914914636735971058,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\first_kill_team.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,LegionGVG_fort,-7898389715073404422,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\LegionGVG_fort.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,hero_login,-7886132503231076878,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\hero_login.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,shelter_room,-7837996055898424839,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\shelter_room.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,q_action,-7836477000854767928,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\q_action.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,achievement_stage,-7834803338468494572,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\achievement_stage.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,login_investment_level,-7737709125478291674,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\login_investment_level.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,optional_growup_hero,-7714823242275062620,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\optional_growup_hero.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,pop_ups,-7708692128084708603,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\pop_ups.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,frequently_asked_question,-7655461248165504115,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\frequently_asked_question.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,draw_sound,-7594850474198868166,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\draw_sound.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,rogue_eventline,-7575654914377616224,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\rogue_eventline.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,accontinuousconfig_1,-7454878696563349721,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\accontinuousconfig_1.bytes,dry-run
resources\assets\yoo\Default\324fcda729f678d13d6dea7bf868e1bc.bundle,TextAsset,servers,-7426146049632230978,reverse-output\assets\unitypy-textasset-dryrun\by_container\Assets\Game\Static\servers.bytes,dry-run
