id,address,assetPath,bundleID,bundleName,hashFileName,fileSize,physicalPath,physicalExists,physicalSizeMatches,dependBundleIDs
1342,Assets/Game/RawAssets/Prefabs/Effect3d/Fx_HeroRecruit1.prefab,,1297,assets_game_rawassets_prefabs_effect3d_fx_herorecruit1.bundle,7dc07826f216a8714aae0f723860c3ce.bundle,33360,files\yoo\Default\BundleFiles\7d\7dc07826f216a8714aae0f723860c3ce\__data,True,True,
1888,Assets/Game/RawAssets/Prefabs/UI/Activity/PrayerReCharge/PrayerReChargePanel.prefab,,1840,assets_game_rawassets_prefabs_ui_activity_prayerrecharge_prayerrechargepanel.bundle,8a13aa50dbdd7795f7aa288263ff74b4.bundle,36760,files\yoo\Default\BundleFiles\8a\8a13aa50dbdd7795f7aa288263ff74b4\__data,True,True,
1889,Assets/Game/RawAssets/Prefabs/UI/Activity/PrayerReCharge/PrayerReChargeTypeGrid.prefab,,1841,assets_game_rawassets_prefabs_ui_activity_prayerrecharge_prayerrechargetypegrid.bundle,68dee49e94c907517b5abb67f362c72f.bundle,6267,files\yoo\Default\BundleFiles\68\68dee49e94c907517b5abb67f362c72f\__data,True,True,
1931,Assets/Game/RawAssets/Prefabs/UI/Activity/WeaponLottery/WeaponLotteryDrawPanel.prefab,,1883,assets_game_rawassets_prefabs_ui_activity_weaponlottery_weaponlotterydrawpanel.bundle,a28481268aaa01e15396f929d02351c4.bundle,13611,files\yoo\Default\BundleFiles\a2\a28481268aaa01e15396f929d02351c4\__data,True,True,
2442,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/HeroRecruitView.prefab,,2393,assets_game_rawassets_prefabs_ui_lotterydraw_herorecruitview.bundle,7f985e1dae908dae92d5f38cbc8a5b82.bundle,76049,files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,True,True,
2443,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/LotteryDrawEpicWishView.prefab,,2394,assets_game_rawassets_prefabs_ui_lotterydraw_lotterydrawepicwishview.bundle,fc776f1deb8b836fffcd103b8db089b7.bundle,10940,files\yoo\Default\BundleFiles\fc\fc776f1deb8b836fffcd103b8db089b7\__data,True,True,
2444,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/LotteryDrawFinishView.prefab,,2395,assets_game_rawassets_prefabs_ui_lotterydraw_lotterydrawfinishview.bundle,86c05702d8a8a6410d5a48ddc7449de4.bundle,114728,files\yoo\Default\UnpackBundleFiles\86\86c05702d8a8a6410d5a48ddc7449de4\__data,True,True,
2445,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/LotteryDrawIntegralGrid.prefab,,2396,assets_game_rawassets_prefabs_ui_lotterydraw_lotterydrawintegralgrid.bundle,cd1b4832e9db94d082bcb53356e933f6.bundle,6828,files\yoo\Default\BundleFiles\cd\cd1b4832e9db94d082bcb53356e933f6\__data,True,True,
2446,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/LotteryDrawIntegralRewardPreGrid.prefab,,2397,assets_game_rawassets_prefabs_ui_lotterydraw_lotterydrawintegralrewardpregrid.bundle,f68e02613f26ee34baa6eaa2d2edd6f4.bundle,5282,files\yoo\Default\BundleFiles\f6\f68e02613f26ee34baa6eaa2d2edd6f4\__data,True,True,
2447,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/LotteryDrawIntegralRewardPreView.prefab,,2398,assets_game_rawassets_prefabs_ui_lotterydraw_lotterydrawintegralrewardpreview.bundle,19556cfa112aa04075452b5c57b10fd2.bundle,8219,files\yoo\Default\BundleFiles\19\19556cfa112aa04075452b5c57b10fd2\__data,True,True,
2448,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/LotteryDrawIntegralView.prefab,,2399,assets_game_rawassets_prefabs_ui_lotterydraw_lotterydrawintegralview.bundle,218c2807c954374cd876bf40e20f3077.bundle,11661,files\yoo\Default\BundleFiles\21\218c2807c954374cd876bf40e20f3077\__data,True,True,
2449,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/LotteryDrawMainView.prefab,,2400,assets_game_rawassets_prefabs_ui_lotterydraw_lotterydrawmainview.bundle,1918525995d5a5ed05fce5506c55ca0d.bundle,60657,resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,True,True,
2450,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/LotteryDrawNewStageView.prefab,,2401,assets_game_rawassets_prefabs_ui_lotterydraw_lotterydrawnewstageview.bundle,eb29a3f2afe63586af98537addc6cb12.bundle,40925,resources\assets\yoo\Default\eb29a3f2afe63586af98537addc6cb12.bundle,True,True,
2451,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/LotteryDrawPanel.prefab,,2402,assets_game_rawassets_prefabs_ui_lotterydraw_lotterydrawpanel.bundle,531addbb386175036da2f491cb4d1742.bundle,38641,,False,False,
2452,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/LotteryDrawRateGrid.prefab,,2403,assets_game_rawassets_prefabs_ui_lotterydraw_lotterydrawrategrid.bundle,8c64543ccc6484330adbe82921b761f9.bundle,49950,,False,False,
2453,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/LotteryDrawRateView.prefab,,2404,assets_game_rawassets_prefabs_ui_lotterydraw_lotterydrawrateview.bundle,6299625cabe69c8e110c217b354806a0.bundle,9707,files\yoo\Default\BundleFiles\62\6299625cabe69c8e110c217b354806a0\__data,True,True,
2454,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/LotteryDrawStageView.prefab,,2405,assets_game_rawassets_prefabs_ui_lotterydraw_lotterydrawstageview.bundle,b86a0d80160c66da3399ffacdd1e6441.bundle,39900,files\yoo\Default\BundleFiles\b8\b86a0d80160c66da3399ffacdd1e6441\__data,True,True,
2455,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/LotteryDrawWishGrid.prefab,,2406,assets_game_rawassets_prefabs_ui_lotterydraw_lotterydrawwishgrid.bundle,e069a294b2aa5c07f6e38a7282b577d7.bundle,8051,files\yoo\Default\BundleFiles\e0\e069a294b2aa5c07f6e38a7282b577d7\__data,True,True,
2456,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/LotteryDrawWishTabGrid.prefab,,2407,assets_game_rawassets_prefabs_ui_lotterydraw_lotterydrawwishtabgrid.bundle,6bea0c3759aff78a210eae789be3b051.bundle,6185,files\yoo\Default\BundleFiles\6b\6bea0c3759aff78a210eae789be3b051\__data,True,True,
2457,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/LotteryDrawWishView.prefab,,2408,assets_game_rawassets_prefabs_ui_lotterydraw_lotterydrawwishview.bundle,a236b592fe1bd8baf4cdcc9704f76ba6.bundle,11949,files\yoo\Default\BundleFiles\a2\a236b592fe1bd8baf4cdcc9704f76ba6\__data,True,True,
2458,Assets/Game/RawAssets/Prefabs/UI/LotteryDraw/LotteryRewardShowGrid.prefab,,2409,assets_game_rawassets_prefabs_ui_lotterydraw_lotteryrewardshowgrid.bundle,7504164fe87e15229368b51e8b99c9a3.bundle,6217,,False,False,
