id,address,assetPath,bundleID,bundleName,hashFileName,fileSize,physicalPath,physicalExists,physicalSizeMatches,dependBundleIDs
178,Assets/Game/RawAssets/Prefabs/3d/hero_005q_attack_shifa.prefab,,133,assets_game_rawassets_prefabs_3d_hero_005q_attack_shifa.bundle,b0d793c819b79e77fb3d123a762410d9.bundle,29140,files\yoo\Default\BundleFiles\b0\b0d793c819b79e77fb3d123a762410d9\__data,True,True,
179,Assets/Game/RawAssets/Prefabs/3d/hero_005q_attack1_dandao.prefab,,134,assets_game_rawassets_prefabs_3d_hero_005q_attack1_dandao.bundle,3b5f2a4ef8a27269426b4d243695c271.bundle,30933,files\yoo\Default\BundleFiles\3b\3b5f2a4ef8a27269426b4d243695c271\__data,True,True,
180,Assets/Game/RawAssets/Prefabs/3d/hero_005q_attack1_hit.prefab,,135,assets_game_rawassets_prefabs_3d_hero_005q_attack1_hit.bundle,889173062ad630bbba651105699f8479.bundle,30452,files\yoo\Default\BundleFiles\88\889173062ad630bbba651105699f8479\__data,True,True,
181,Assets/Game/RawAssets/Prefabs/3d/hero_005q_attack1_hit_afk.prefab,,136,assets_game_rawassets_prefabs_3d_hero_005q_attack1_hit_afk.bundle,a6aaa17220726426424507f1508dd346.bundle,30490,files\yoo\Default\BundleFiles\a6\a6aaa17220726426424507f1508dd346\__data,True,True,
182,Assets/Game/RawAssets/Prefabs/3d/hero_005q_attack1_shifa.prefab,,137,assets_game_rawassets_prefabs_3d_hero_005q_attack1_shifa.bundle,eecdae2f77ab55963c9067e214abc956.bundle,29304,files\yoo\Default\BundleFiles\ee\eecdae2f77ab55963c9067e214abc956\__data,True,True,
183,Assets/Game/RawAssets/Prefabs/3d/hero_005q_buff.prefab,,138,assets_game_rawassets_prefabs_3d_hero_005q_buff.bundle,41a5db6dc40b6f1baff7e58d12916188.bundle,29249,files\yoo\Default\BundleFiles\41\41a5db6dc40b6f1baff7e58d12916188\__data,True,True,
184,Assets/Game/RawAssets/Prefabs/3d/hero_005q_skill_1.prefab,,139,assets_game_rawassets_prefabs_3d_hero_005q_skill_1.bundle,28496f97d2b64e2e952752e08e670a21.bundle,55365,files\yoo\Default\BundleFiles\28\28496f97d2b64e2e952752e08e670a21\__data,True,True,
185,Assets/Game/RawAssets/Prefabs/3d/hero_005q_skill_2.prefab,,140,assets_game_rawassets_prefabs_3d_hero_005q_skill_2.bundle,c195c7f2dba247180572812722586464.bundle,47679,files\yoo\Default\BundleFiles\c1\c195c7f2dba247180572812722586464\__data,True,True,
186,Assets/Game/RawAssets/Prefabs/3d/hero_005q_skill_3.prefab,,141,assets_game_rawassets_prefabs_3d_hero_005q_skill_3.bundle,0af656e8650763884f40ecd40c9d7bfd.bundle,37233,files\yoo\Default\BundleFiles\0a\0af656e8650763884f40ecd40c9d7bfd\__data,True,True,
187,Assets/Game/RawAssets/Prefabs/3d/hero_006q_attack.prefab,,142,assets_game_rawassets_prefabs_3d_hero_006q_attack.bundle,cbc623e92408340922a67a8b14220470.bundle,32350,files\yoo\Default\BundleFiles\cb\cbc623e92408340922a67a8b14220470\__data,True,True,
188,Assets/Game/RawAssets/Prefabs/3d/hero_006q_attack1_dandao.prefab,,143,assets_game_rawassets_prefabs_3d_hero_006q_attack1_dandao.bundle,bee87424fdb50c3036739cc91542d1c5.bundle,31499,files\yoo\Default\BundleFiles\be\bee87424fdb50c3036739cc91542d1c5\__data,True,True,
189,Assets/Game/RawAssets/Prefabs/3d/hero_006q_attack1_hit.prefab,,144,assets_game_rawassets_prefabs_3d_hero_006q_attack1_hit.bundle,936775d77a57d51c8067156bd00fd93c.bundle,31275,files\yoo\Default\BundleFiles\93\936775d77a57d51c8067156bd00fd93c\__data,True,True,
190,Assets/Game/RawAssets/Prefabs/3d/hero_006q_attack1_shifa.prefab,,145,assets_game_rawassets_prefabs_3d_hero_006q_attack1_shifa.bundle,a1237ff092d0c96c090572569ec5f5a0.bundle,29273,files\yoo\Default\BundleFiles\a1\a1237ff092d0c96c090572569ec5f5a0\__data,True,True,
191,Assets/Game/RawAssets/Prefabs/3d/hero_006q_skill_1.prefab,,146,assets_game_rawassets_prefabs_3d_hero_006q_skill_1.bundle,0a484e3a5ad1c43022dd551ca302953f.bundle,47893,files\yoo\Default\BundleFiles\0a\0a484e3a5ad1c43022dd551ca302953f\__data,True,True,
192,Assets/Game/RawAssets/Prefabs/3d/hero_006q_skill_1_hit.prefab,,147,assets_game_rawassets_prefabs_3d_hero_006q_skill_1_hit.bundle,06391266e02378ddb9783f0088badae7.bundle,33399,files\yoo\Default\BundleFiles\06\06391266e02378ddb9783f0088badae7\__data,True,True,
193,Assets/Game/RawAssets/Prefabs/3d/hero_006q_skill_1_shifa.prefab,,148,assets_game_rawassets_prefabs_3d_hero_006q_skill_1_shifa.bundle,d9dfd875832059a46d9192c4d38a7a0b.bundle,42642,files\yoo\Default\BundleFiles\d9\d9dfd875832059a46d9192c4d38a7a0b\__data,True,True,
194,Assets/Game/RawAssets/Prefabs/3d/hero_007q_attack.prefab,,149,assets_game_rawassets_prefabs_3d_hero_007q_attack.bundle,d13dd73f0c06e17cc95bb101b1c70313.bundle,50962,files\yoo\Default\BundleFiles\d1\d13dd73f0c06e17cc95bb101b1c70313\__data,True,True,
195,Assets/Game/RawAssets/Prefabs/3d/hero_007q_attack1_dandao.prefab,,150,assets_game_rawassets_prefabs_3d_hero_007q_attack1_dandao.bundle,3ace60534971b78eba4f4dfc667169f8.bundle,29675,files\yoo\Default\BundleFiles\3a\3ace60534971b78eba4f4dfc667169f8\__data,True,True,
196,Assets/Game/RawAssets/Prefabs/3d/hero_007q_attack1_hit.prefab,,151,assets_game_rawassets_prefabs_3d_hero_007q_attack1_hit.bundle,2ec479427b99f6827a981aa3abd66c52.bundle,30809,files\yoo\Default\BundleFiles\2e\2ec479427b99f6827a981aa3abd66c52\__data,True,True,
197,Assets/Game/RawAssets/Prefabs/3d/hero_007q_attack1_shifa.prefab,,152,assets_game_rawassets_prefabs_3d_hero_007q_attack1_shifa.bundle,4f6c1852a782f42af5cf853cd4b7d412.bundle,33300,files\yoo\Default\BundleFiles\4f\4f6c1852a782f42af5cf853cd4b7d412\__data,True,True,
198,Assets/Game/RawAssets/Prefabs/3d/hero_007q_skill_1.prefab,,153,assets_game_rawassets_prefabs_3d_hero_007q_skill_1.bundle,e4e7a782725a594b63dfbf2ef03075e1.bundle,66169,files\yoo\Default\BundleFiles\e4\e4e7a782725a594b63dfbf2ef03075e1\__data,True,True,
199,Assets/Game/RawAssets/Prefabs/3d/hero_007q_skill_2.prefab,,154,assets_game_rawassets_prefabs_3d_hero_007q_skill_2.bundle,6bb4ec72af2741a439dcf66adbbceb7b.bundle,80972,files\yoo\Default\BundleFiles\6b\6bb4ec72af2741a439dcf66adbbceb7b\__data,True,True,
200,Assets/Game/RawAssets/Prefabs/3d/hero_008q_attack.prefab,,155,assets_game_rawassets_prefabs_3d_hero_008q_attack.bundle,50a52f57d31591b866826809f62f01b4.bundle,44335,files\yoo\Default\BundleFiles\50\50a52f57d31591b866826809f62f01b4\__data,True,True,
201,Assets/Game/RawAssets/Prefabs/3d/hero_008q_attack1_dandao.prefab,,156,assets_game_rawassets_prefabs_3d_hero_008q_attack1_dandao.bundle,5d0df7c13d57b4371f083e1c5c5df856.bundle,39991,files\yoo\Default\BundleFiles\5d\5d0df7c13d57b4371f083e1c5c5df856\__data,True,True,
202,Assets/Game/RawAssets/Prefabs/3d/hero_008q_attack1_hit.prefab,,157,assets_game_rawassets_prefabs_3d_hero_008q_attack1_hit.bundle,82ef7b8005ad8a737204a0a77fdfbd1e.bundle,39833,files\yoo\Default\BundleFiles\82\82ef7b8005ad8a737204a0a77fdfbd1e\__data,True,True,
203,Assets/Game/RawAssets/Prefabs/3d/hero_008q_attack1_hit_afk.prefab,,158,assets_game_rawassets_prefabs_3d_hero_008q_attack1_hit_afk.bundle,c03fae1db760770aa7227b7759bdd36f.bundle,39804,files\yoo\Default\BundleFiles\c0\c03fae1db760770aa7227b7759bdd36f\__data,True,True,
204,Assets/Game/RawAssets/Prefabs/3d/hero_008q_attack1_shifa.prefab,,159,assets_game_rawassets_prefabs_3d_hero_008q_attack1_shifa.bundle,32cf011e7eddba5d561207150913d283.bundle,41399,files\yoo\Default\BundleFiles\32\32cf011e7eddba5d561207150913d283\__data,True,True,
205,Assets/Game/RawAssets/Prefabs/3d/hero_008q_skill_1.prefab,,160,assets_game_rawassets_prefabs_3d_hero_008q_skill_1.bundle,3582da6cd281f4c03d4aed0084e2e7c0.bundle,67666,files\yoo\Default\BundleFiles\35\3582da6cd281f4c03d4aed0084e2e7c0\__data,True,True,
206,Assets/Game/RawAssets/Prefabs/3d/hero_008q_skill_2.prefab,,161,assets_game_rawassets_prefabs_3d_hero_008q_skill_2.bundle,164812da34eb2bd7c6588c947d342dd5.bundle,62667,files\yoo\Default\BundleFiles\16\164812da34eb2bd7c6588c947d342dd5\__data,True,True,
207,Assets/Game/RawAssets/Prefabs/3d/hero_009q_attack.prefab,,162,assets_game_rawassets_prefabs_3d_hero_009q_attack.bundle,980597bd4a4ef41c7b59ed425f97533f.bundle,35060,files\yoo\Default\BundleFiles\98\980597bd4a4ef41c7b59ed425f97533f\__data,True,True,
208,Assets/Game/RawAssets/Prefabs/3d/hero_009q_attack1_dandao.prefab,,163,assets_game_rawassets_prefabs_3d_hero_009q_attack1_dandao.bundle,857273c629f093fdef792e0ff423c32e.bundle,28627,files\yoo\Default\BundleFiles\85\857273c629f093fdef792e0ff423c32e\__data,True,True,
209,Assets/Game/RawAssets/Prefabs/3d/hero_009q_attack1_hit.prefab,,164,assets_game_rawassets_prefabs_3d_hero_009q_attack1_hit.bundle,df1219c42c0977d1a5a1324008fe5965.bundle,30093,files\yoo\Default\BundleFiles\df\df1219c42c0977d1a5a1324008fe5965\__data,True,True,
