id,bundleName,fileName,hashFileName,fileHash,fileCRC,fileSize,physicalPath,physicalSize,physicalExists,physicalSizeMatches,dependBundleIDs
122,assets_game_rawassets_prefabs_3d_hero_021q_attack.bundle,assets_game_rawassets_prefabs_3d_hero_021q_attack.bundle,afcd3e03f927234d5a3936558b967d6d.bundle,afcd3e03f927234d5a3936558b967d6d,c8ff7fc1,31209,resources\assets\yoo\Default\afcd3e03f927234d5a3936558b967d6d.bundle,31209,True,True,7|5015|6010|6146|6614|6616|6618|6625|6626|6627|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873
123,assets_game_rawassets_prefabs_3d_hero_021q_attack1_dandao.bundle,assets_game_rawassets_prefabs_3d_hero_021q_attack1_dandao.bundle,0838feda2593634c31b9c5822310182d.bundle,0838feda2593634c31b9c5822310182d,34f1ce5a,32029,resources\assets\yoo\Default\0838feda2593634c31b9c5822310182d.bundle,32029,True,True,7|5015|6010|6146|6616|6625|6626|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873
124,assets_game_rawassets_prefabs_3d_hero_021q_attack1_hit.bundle,assets_game_rawassets_prefabs_3d_hero_021q_attack1_hit.bundle,e4c383a0330240607f0419cd998c8d45.bundle,e4c383a0330240607f0419cd998c8d45,b9ca45d6,30992,resources\assets\yoo\Default\e4c383a0330240607f0419cd998c8d45.bundle,30992,True,True,7|5015|6010|6146|6616|6625|6626|6629|6630|6633|6634|6636|6637|6638|6639|6647|6648|6743|6748|6752|6786|6833|6840|6873
125,assets_game_rawassets_prefabs_3d_hero_021q_attack1_hit_afk.bundle,assets_game_rawassets_prefabs_3d_hero_021q_attack1_hit_afk.bundle,30b4fb6d48048e4264ad5647a7f3e60c.bundle,30b4fb6d48048e4264ad5647a7f3e60c,b6181d97,30920,resources\assets\yoo\Default\30b4fb6d48048e4264ad5647a7f3e60c.bundle,30920,True,True,7|5015|6010|6146|6616|6625|6626|6629|6630|6633|6634|6636|6637|6638|6639|6647|6648|6743|6748|6752|6786|6833|6840|6873
126,assets_game_rawassets_prefabs_3d_hero_021q_attack1_shifa.bundle,assets_game_rawassets_prefabs_3d_hero_021q_attack1_shifa.bundle,9f73735282763135c6a10da2f93b8f6e.bundle,9f73735282763135c6a10da2f93b8f6e,418dcb84,29660,resources\assets\yoo\Default\9f73735282763135c6a10da2f93b8f6e.bundle,29660,True,True,7|5015|6010|6146|6616|6625|6626|6629|6630|6633|6634|6636|6637|6638|6639|6647|6648|6743|6748|6752|6786|6833|6840|6873
127,assets_game_rawassets_prefabs_3d_hero_021q_skill_1.bundle,assets_game_rawassets_prefabs_3d_hero_021q_skill_1.bundle,1f3c7dda0b3020dd9cb025f4882b856e.bundle,1f3c7dda0b3020dd9cb025f4882b856e,3f3c6343,54854,resources\assets\yoo\Default\1f3c7dda0b3020dd9cb025f4882b856e.bundle,54854,True,True,7|5015|6010|6146|6614|6616|6618|6625|6626|6627|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873
128,assets_game_rawassets_prefabs_3d_hero_021q_skill_2.bundle,assets_game_rawassets_prefabs_3d_hero_021q_skill_2.bundle,6364c4a32665547c37644cab154a0055.bundle,6364c4a32665547c37644cab154a0055,99f922ea,42555,resources\assets\yoo\Default\6364c4a32665547c37644cab154a0055.bundle,42555,True,True,7|5015|6010|6146|6614|6616|6618|6625|6626|6627|6629|6630|6633|6634|6636|6637|6638|6639|6647|6648|6743|6748|6752|6786|6833|6840|6873
155,assets_game_rawassets_prefabs_3d_hero_026q_attack.bundle,assets_game_rawassets_prefabs_3d_hero_026q_attack.bundle,546dbfbeac69219bcb278793478ca74d.bundle,546dbfbeac69219bcb278793478ca74d,a3be0574,31276,resources\assets\yoo\Default\546dbfbeac69219bcb278793478ca74d.bundle,31276,True,True,7|5015|6010|6146|6614|6616|6618|6625|6626|6627|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873
156,assets_game_rawassets_prefabs_3d_hero_026q_attack1_dandao.bundle,assets_game_rawassets_prefabs_3d_hero_026q_attack1_dandao.bundle,420f0e1e9bb0cab1acc68781746363de.bundle,420f0e1e9bb0cab1acc68781746363de,c692661f,29850,resources\assets\yoo\Default\420f0e1e9bb0cab1acc68781746363de.bundle,29850,True,True,7|5015|6010|6146|6616|6625|6626|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873
157,assets_game_rawassets_prefabs_3d_hero_026q_attack1_hit.bundle,assets_game_rawassets_prefabs_3d_hero_026q_attack1_hit.bundle,ac9994c21d804a8e96185530b92a3f51.bundle,ac9994c21d804a8e96185530b92a3f51,8ebec487,29584,resources\assets\yoo\Default\ac9994c21d804a8e96185530b92a3f51.bundle,29584,True,True,7|5015|6010|6146|6616|6618|6625|6626|6627|6629|6630|6636|6637|6647|6648|6743|6748|6752|6786|6833|6840|6873
