table,id,type,drawType,nameKey,nameText,titlePic,pic,showHeroIds,showHeroNames,wishHeroIds,onceCost,tenCost,pityCounters,rewardRaw
drawconfig,1201,1009,,draw_n1009,普通喚靈,lottery_btn_01,lottery_btn_01,240076|240081|240083|240085|240086|240092|240095|240055|240065|240069|240082|240037|240062|240089|240090|240068|240091|240031|240034|240035|240048|240052|240087|240088|240042|240047|240053|240067|240074|240084|240038|240039|240041|240046|240054|240057|240060|240032|240045|240050|240070|240079|240044|240080|240040|240043|240030|240073|240072|240058|240066,貂蟬|索爾|米迦勒|伊邪那美|賽特|女媧|修普諾斯|天狐妲己|莉莉絲|女帝|阿布羅狄忒|阿修羅|大喬|蔥聾|狄俄涅|哪吒|瓦爾基裡|申公豹|迦樓羅|伊斯塔爾|鄧嬋玉|普羅米修斯|阿努比斯|亞瑟|妖師鯤鵬|須佐之男|小喬|妖姬|立花訚千代|孫尚香|玉兔|梅林|阿奴凱特|相柳|黃月英|輝夜|努特|玉藻前|蔡文姬|海姆達爾|紫苑|陰陽師|諸葛月姬|甄宓|希爾芙|奇美拉|妲己|鳳凰火|河童|伊卡洛斯|步練師,240069|240082|240037|240062|240089|240090|240068|240091|240031|240034|240035|240048|240052|240087|240088|240042|240047|240053|240067|240074|240084|240038|240039|240041|240046|240054|240057|240060|240032|240045|240050|240070|240079|240065,230102;1,230102;10,cnt2=50;cnt3=2000;cnt4=9;cntF=30;cntF2=14,380005|380003|380004|380099|380003|0
drawconfig,1100,1001,,draw_n1001,高級喚靈,lottery_btn_02,lottery_btn_02,230333|240065|240069|240082|240037|240062|240089|240090|240068|240091|240031|240034|240035|240048|240052|240087|240088|240042|240047|240053|240067|240074|240084|240038|240039|240041|240046|240054|240057|240060|240032|240045|240050|240070|240079|240044|240080|240040|240043|240030|240073|240072|240058|240066,230333|莉莉絲|女帝|阿布羅狄忒|阿修羅|大喬|蔥聾|狄俄涅|哪吒|瓦爾基裡|申公豹|迦樓羅|伊斯塔爾|鄧嬋玉|普羅米修斯|阿努比斯|亞瑟|妖師鯤鵬|須佐之男|小喬|妖姬|立花訚千代|孫尚香|玉兔|梅林|阿奴凱特|相柳|黃月英|輝夜|努特|玉藻前|蔡文姬|海姆達爾|紫苑|陰陽師|諸葛月姬|甄宓|希爾芙|奇美拉|妲己|鳳凰火|河童|伊卡洛斯|步練師,240097|240101|240094|240099|240096|240098|240093|240100,230103;1,230103;10,cnt2=50;cnt3=60;cnt4=9;cntF=16;cntF2=15,380013|380011|380012|380099|380011|0
drawconfig,1300,1002,,draw_n1002,進階喚靈,lottery_btn_09,lottery_btn_09,240097|240101|240094|240099|240096|240098|240093|240100|240065|240069|240082|240037|240062|240089|240090|240068|240091|240031|240034|240035|240052|240087|240088|240042|240047|240053|240067|240074|240084|240038|240039|240041|240046|240054|240057|240060|240032|240045|240050|240070|240048|240079|240044|240080|240040|240043|240030|240073|240072|240058|240066,雅典娜|玄武|白虎|荷魯斯|青龍|赫拉|朱雀|撒拉弗|莉莉絲|女帝|阿布羅狄忒|阿修羅|大喬|蔥聾|狄俄涅|哪吒|瓦爾基裡|申公豹|迦樓羅|伊斯塔爾|普羅米修斯|阿努比斯|亞瑟|妖師鯤鵬|須佐之男|小喬|妖姬|立花訚千代|孫尚香|玉兔|梅林|阿奴凱特|相柳|黃月英|輝夜|努特|玉藻前|蔡文姬|海姆達爾|紫苑|鄧嬋玉|陰陽師|諸葛月姬|甄宓|希爾芙|奇美拉|妲己|鳳凰火|河童|伊卡洛斯|步練師,,230106;1,230106;10,cnt2=50;cnt3=60;cnt4=9;cntF=39;cntF2=19,380043|380041|380042|380099|380044|0
drawconfig,1101,1101,,draw_n1101,源神祈願,lottery_btn_10,lottery_btn_02,230333,230333,,230120;1,230120;10,cnt2=50;cnt3=20;cnt4=99999999;cntF=39;cntF2=19,380093|380091|380092|380092|380091|0
drawconfig,1102,1102,,draw_n1102,聖源祈願,lottery_btn_10,lottery_btn_02,230333,230333,,230121;1,230121;10,cnt2=50;cnt3=40;cnt4=9;cntF=39;cntF2=19,380163|380161|380162|380164|380161|0
drawconfig,1203,1201,,draw_n1201,遺器祈願,lottery_btn_11,lottery_btn_02,410000|410001|410004|410006|410007|410008|410009|410010,410000|410001|410004|410006|410007|410008|410009|410010,,230122;1,230122;10,cnt2=50;cnt3=2000;cnt4=99999999;cntF=18;cntF2=15,380173|380171|380172|380173|380171|0
drawconfig,1202,1202,,draw_n1202,自選遺器,lottery_btn_11,lottery_btn_02,410000|410001|410004|410006|410007|410008|410009|410010,410000|410001|410004|410006|410007|410008|410009|410010,410005|410006|410007|410008|410009,230123;1,230123;5,cnt2=50;cnt3=30;cnt4=99999999;cntF=39;cntF2=19,380213|380211|380212|380213|380211|0
drawconfig,1401,1401,,draw_n1401,稀有迴響,lottery_btn_12,lottery_btn_01,,,,230130;1,230130;10,cnt2=20;cnt3=60;cnt4=99999999;cntF=15;cntF2=10,380253|380251|380252|380253|380251|0
drawconfig,1402,1402,,draw_n1402,史詩迴響,lottery_btn_12,lottery_btn_01,,,,230131;1,230131;10,cnt2=30;cnt3=80;cnt4=99999999;cntF=18;cntF2=15,380243|380241|380242|380243|380241|0
drawconfig,1403,1403,,draw_n1403,傳說迴響,lottery_btn_12,lottery_btn_01,,,,230132;1,230132;10,cnt2=40;cnt3=600;cnt4=99999999;cntF=39;cntF2=19,380233|380231|380232|380233|380231|0
drawconfig,1404,1404,,draw_n1404,神話迴響,lottery_btn_12,lottery_btn_01,,,,230133;1,230133;10,cnt2=50;cnt3=999999;cnt4=99999999;cntF=39;cntF2=19,380223|380221|380222|380223|380221|0
ac_limit_draw,241055,0,,draw_n241055,天狐妲己,,,240055,天狐妲己,,230118;1,230118;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380018|380301|380302|380018|
ac_limit_draw,241076,0,,draw_n241076,貂蟬,,,240076,貂蟬,,230118;1,230118;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380017|380301|380302|380017|
ac_limit_draw,241081,0,,draw_n241081,奧莉瑞安,,,240081,索爾,,230118;1,230118;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380015|380301|380302|380015|
ac_limit_draw,241083,0,,draw_n241083,米迦勒,,,240083,米迦勒,,230118;1,230118;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380016|380301|380302|380016|
ac_limit_draw,241085,0,,draw_n241085,伊邪那美,,,240085,伊邪那美,,230118;1,230118;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380014|380301|380302|380014|
ac_limit_draw,241086,0,,draw_n241086,賽特,,,240086,賽特,,230118;1,230118;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380019|380301|380302|380019|
ac_limit_draw,241092,0,,draw_n241092,女媧,,,240092,女媧,,230118;1,230118;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380020|380301|380302|380020|
ac_limit_draw,241095,0,,draw_n241095,修普諾斯,,,240095,修普諾斯,,230118;1,230118;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380027|380301|380302|380027|
ac_limit_draw,241093,0,,draw_n241093,朱雀,,,240093,朱雀,,230103;1,230103;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380022|380301|380302|380022|
ac_limit_draw,241094,0,,draw_n241094,白虎,,,240094,白虎,,230103;1,230103;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380026|380301|380302|380026|
ac_limit_draw,241096,0,,draw_n241096,青龍,,,240096,青龍,,230103;1,230103;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380028|380301|380302|380028|
ac_limit_draw,241097,0,,draw_n241097,雅典娜,,,240097,雅典娜,,230103;1,230103;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380029|380301|380302|380029|
ac_limit_draw,241098,0,,draw_n241098,赫拉,,,240098,赫拉,,230103;1,230103;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380030|380301|380302|380030|
ac_limit_draw,241099,0,,draw_n241099,荷魯斯,,,240099,荷魯斯,,230103;1,230103;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380032|380301|380302|380032|
ac_limit_draw,241100,0,,draw_n241100,撒拉弗,,,240100,撒拉弗,,230103;1,230103;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380035|380301|380302|380035|
ac_limit_draw,241101,0,,draw_n241101,玄武,,,240101,玄武,,230103;1,230103;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380036|380301|380302|380036|
ac_limit_draw,241102,0,,draw_n241102,王昭君,,,240102,王昭君,,230118;1,230118;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380037|380301|380302|380037|
ac_limit_draw,241103,0,,draw_n241103,東皇太一,,,240103,東皇太一,,230118;1,230118;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380038|380301|380302|380038|
ac_limit_draw,241061,0,,draw_n241061,,,,240061,塔納托斯,,230118;1,230118;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380039|380301|380302|380039|
ac_limit_draw,500001,0,,draw_n500001,萬象喚靈,,,240093,朱雀,240093|240094|240096|240101,230103;1,230103;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380303|380301|380302|380303|
ac_limit_draw,500002,0,,draw_n500001,萬象喚靈,,,240094,白虎,240098|240099|240097|240100,230103;1,230103;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380304|380301|380302|380304|
ac_limit_draw,500003,0,,draw_n500001,萬象喚靈,,,240098,赫拉,240093|240094|240096|240101|240098|240099|240097|240100,230103;1,230103;10,cnt2=50;cnt3=60;cnt4=0;cntF=99999999;cntF2=50,380302|380305|380301|380302|380305|
ac_limit_draw,100001,0,,draw_n500002,,,,240094,白虎,540101|540201|540301|540401|540501|540601|540701|540801|540901|541001|541101|541201|541301|541401|541501|541601|541701|541801|541901,230109;1,230109;10,cnt2=50;cnt3=40;cnt4=0;cntF=99999999;cntF2=50,380081|380082|380083|380083|380082|
