source,type,name,path_id,output,kind
files\yoo\Default\BundleFiles\0e\0e5210f0383683827d134d7c0bdb10d7\__data,Material,hero_001_silhouette_Material,-4512418515602932542,reverse-output\gacha-static\sample-export\0e5210f0383683827d134d7c0bdb10d7\by_container\Assets\Game\RawAssets\Spine\Hero\hero_001\hero_001_silhouette_Material.bin,raw
files\yoo\Default\BundleFiles\0e\0e5210f0383683827d134d7c0bdb10d7\__data,MonoBehaviour,hero_001_silhouette_Atlas,-4036978895939028253,reverse-output\gacha-static\sample-export\0e5210f0383683827d134d7c0bdb10d7\by_container\Assets\Game\RawAssets\Spine\Hero\hero_001\hero_001_silhouette_Atlas.bin,raw
files\yoo\Default\BundleFiles\0e\0e5210f0383683827d134d7c0bdb10d7\__data,Texture2D,hero_001,-2841365772960331238,reverse-output\gacha-static\sample-export\0e5210f0383683827d134d7c0bdb10d7\by_container\Assets\Game\RawAssets\Spine\Hero\hero_001\hero_001.png,png
files\yoo\Default\BundleFiles\0e\0e5210f0383683827d134d7c0bdb10d7\__data,MonoBehaviour,hero_001_Atlas,-2300686343128821214,reverse-output\gacha-static\sample-export\0e5210f0383683827d134d7c0bdb10d7\by_container\Assets\Game\RawAssets\Spine\Hero\hero_001\hero_001_Atlas.bin,raw
files\yoo\Default\BundleFiles\0e\0e5210f0383683827d134d7c0bdb10d7\__data,MonoBehaviour,hero_001_silhouette_SkeletonData,-1190251833332341154,reverse-output\gacha-static\sample-export\0e5210f0383683827d134d7c0bdb10d7\by_container\Assets\Game\RawAssets\Spine\Hero\hero_001\hero_001_silhouette_SkeletonData.bin,raw
files\yoo\Default\BundleFiles\0e\0e5210f0383683827d134d7c0bdb10d7\__data,Material,hero_001_Material,-1124606290516271246,reverse-output\gacha-static\sample-export\0e5210f0383683827d134d7c0bdb10d7\by_container\Assets\Game\RawAssets\Spine\Hero\hero_001\hero_001_Material.bin,raw
files\yoo\Default\BundleFiles\0e\0e5210f0383683827d134d7c0bdb10d7\__data,TextAsset,hero_001.atlas,-568356358755832131,reverse-output\gacha-static\sample-export\0e5210f0383683827d134d7c0bdb10d7\by_container\Assets\Game\RawAssets\Spine\Hero\hero_001\hero_001.atlas.bytes,bytes
files\yoo\Default\BundleFiles\0e\0e5210f0383683827d134d7c0bdb10d7\__data,MonoBehaviour,hero_001_SkeletonData,1433498284474163303,reverse-output\gacha-static\sample-export\0e5210f0383683827d134d7c0bdb10d7\by_container\Assets\Game\RawAssets\Spine\Hero\hero_001\hero_001_SkeletonData.bin,raw
files\yoo\Default\BundleFiles\0e\0e5210f0383683827d134d7c0bdb10d7\__data,Material,hero_001_Material-Additive,5324491981672567861,reverse-output\gacha-static\sample-export\0e5210f0383683827d134d7c0bdb10d7\by_container\Assets\Game\RawAssets\Spine\Hero\hero_001\hero_001_Material-Additive.bin,raw
files\yoo\Default\BundleFiles\0e\0e5210f0383683827d134d7c0bdb10d7\__data,TextAsset,hero_001_silhouette.atlas,5932571820882250614,reverse-output\gacha-static\sample-export\0e5210f0383683827d134d7c0bdb10d7\by_container\Assets\Game\RawAssets\Spine\Hero\hero_001\hero_001_silhouette.atlas.bytes,bytes
files\yoo\Default\BundleFiles\0e\0e5210f0383683827d134d7c0bdb10d7\__data,TextAsset,hero_001_silhouette.skel,7307273407992517260,reverse-output\gacha-static\sample-export\0e5210f0383683827d134d7c0bdb10d7\by_container\Assets\Game\RawAssets\Spine\Hero\hero_001\hero_001_silhouette.skel.bytes,bytes
files\yoo\Default\BundleFiles\0e\0e5210f0383683827d134d7c0bdb10d7\__data,TextAsset,hero_001.skel,7330272592985401247,reverse-output\gacha-static\sample-export\0e5210f0383683827d134d7c0bdb10d7\by_container\Assets\Game\RawAssets\Spine\Hero\hero_001\hero_001.skel.bytes,bytes
files\yoo\Default\BundleFiles\0e\0e5210f0383683827d134d7c0bdb10d7\__data,Texture2D,hero_001_silhouette,8732484757022735301,reverse-output\gacha-static\sample-export\0e5210f0383683827d134d7c0bdb10d7\by_container\Assets\Game\RawAssets\Spine\Hero\hero_001\hero_001_silhouette.png,png
