source,type,name,path_id,output,kind
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,TextAsset,hero_017_bg.skel,-9219308640230232063,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_bg.skel.bytes,bytes
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,MonoBehaviour,hero_017_silhouette_Atlas,-8757123649422332374,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_silhouette_Atlas.bin,raw
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,Sprite,qi,-7766687696304204900,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\qi.png,png
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,MonoBehaviour,hero_017_SkeletonData,-7725265751314670267,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_SkeletonData.bin,raw
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,TextAsset,hero_017_silhouette.skel,-6904940735887310575,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_silhouette.skel.bytes,bytes
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,MonoBehaviour,hero_017_silhouette_SkeletonData,-6059671232218503248,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_silhouette_SkeletonData.bin,raw
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,Texture2D,qi,-5604523498211634276,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\qi_1.png,png
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,Texture2D,hero_017_bg,-4582072979298751713,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_bg.png,png
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,TextAsset,hero_017_bg.atlas,-4404828899573466475,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_bg.atlas.bytes,bytes
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,Material,hero_017_hero_017,-2593901780956583299,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_hero_017.bin,raw
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,TextAsset,hero_017_silhouette.atlas,-2365996911010048393,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_silhouette.atlas.bytes,bytes
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,TextAsset,hero_017.atlas,-2120901241499741687,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017.atlas.bytes,bytes
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,MonoBehaviour,hero_017_bg_SkeletonData,932956389719450074,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_bg_SkeletonData.bin,raw
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,TextAsset,hero_017.skel,2031092414678170356,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017.skel.bytes,bytes
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,Material,hero_017_silhouette_Material,2234195695569475009,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_silhouette_Material.bin,raw
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,Material,hero_017_hero_017_2,3148619036717176296,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_hero_017_2.bin,raw
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,MonoBehaviour,hero_017_Atlas,3395048898005250323,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_Atlas.bin,raw
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,Texture2D,hero_017_2,4155926589395906401,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_2.png,png
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,Material,hero_017_Material,4220061324163630757,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_Material.bin,raw
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,Material,hero_017_bg_Material,4772561020559808590,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_bg_Material.bin,raw
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,Texture2D,hero_017_silhouette,6225709646956457970,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_silhouette.png,png
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,Texture2D,hero_017,7399467971394381108,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017.png,png
files\yoo\Default\BundleFiles\d0\d0feba660f4456452e29d9252b2fbd69\__data,MonoBehaviour,hero_017_bg_Atlas,7958257675002338646,reverse-output\gacha-static\sample-export\d0feba660f4456452e29d9252b2fbd69\by_container\Assets\Game\RawAssets\Spine\Hero\hero_017\hero_017_bg_Atlas.bin,raw
