source,type,name,path_id,output,kind
files\yoo\Default\BundleFiles\e1\e142aefe30d7727b58a79e487c52e19b\__data,Texture2D,hero_005_bg,-9218704133331945423,reverse-output\gacha-static\sample-export\e142aefe30d7727b58a79e487c52e19b\by_container\Assets\Game\RawAssets\Spine\Hero\hero_005\hero_005_bg.png,png
files\yoo\Default\BundleFiles\e1\e142aefe30d7727b58a79e487c52e19b\__data,Material,hero_005_Material,-8956596316435210032,reverse-output\gacha-static\sample-export\e142aefe30d7727b58a79e487c52e19b\by_container\Assets\Game\RawAssets\Spine\Hero\hero_005\hero_005_Material.bin,raw
files\yoo\Default\BundleFiles\e1\e142aefe30d7727b58a79e487c52e19b\__data,Material,hero_005_Material-Additive,-8419719581610796593,reverse-output\gacha-static\sample-export\e142aefe30d7727b58a79e487c52e19b\by_container\Assets\Game\RawAssets\Spine\Hero\hero_005\hero_005_Material-Additive.bin,raw
files\yoo\Default\BundleFiles\e1\e142aefe30d7727b58a79e487c52e19b\__data,MonoBehaviour,hero_005_SkeletonData,-6234082988048258233,reverse-output\gacha-static\sample-export\e142aefe30d7727b58a79e487c52e19b\by_container\Assets\Game\RawAssets\Spine\Hero\hero_005\hero_005_SkeletonData.bin,raw
files\yoo\Default\BundleFiles\e1\e142aefe30d7727b58a79e487c52e19b\__data,TextAsset,hero_005_bg.skel,-6176582687569221057,reverse-output\gacha-static\sample-export\e142aefe30d7727b58a79e487c52e19b\by_container\Assets\Game\RawAssets\Spine\Hero\hero_005\hero_005_bg.skel.bytes,bytes
files\yoo\Default\BundleFiles\e1\e142aefe30d7727b58a79e487c52e19b\__data,MonoBehaviour,hero_005_fg_Atlas,-5325993364816011871,reverse-output\gacha-static\sample-export\e142aefe30d7727b58a79e487c52e19b\by_container\Assets\Game\RawAssets\Spine\Hero\hero_005\hero_005_fg_Atlas.bin,raw
files\yoo\Default\BundleFiles\e1\e142aefe30d7727b58a79e487c52e19b\__data,MonoBehaviour,hero_005_bg_Atlas,-4788522690242941439,reverse-output\gacha-static\sample-export\e142aefe30d7727b58a79e487c52e19b\by_container\Assets\Game\RawAssets\Spine\Hero\hero_005\hero_005_bg_Atlas.bin,raw
files\yoo\Default\BundleFiles\e1\e142aefe30d7727b58a79e487c52e19b\__data,TextAsset,hero_005.skel,-4369682645693082793,reverse-output\gacha-static\sample-export\e142aefe30d7727b58a79e487c52e19b\by_container\Assets\Game\RawAssets\Spine\Hero\hero_005\hero_005.skel.bytes,bytes
files\yoo\Default\BundleFiles\e1\e142aefe30d7727b58a79e487c52e19b\__data,TextAsset,hero_005_fg.skel,-2531786013562495980,reverse-output\gacha-static\sample-export\e142aefe30d7727b58a79e487c52e19b\by_container\Assets\Game\RawAssets\Spine\Hero\hero_005\hero_005_fg.skel.bytes,bytes
files\yoo\Default\BundleFiles\e1\e142aefe30d7727b58a79e487c52e19b\__data,MonoBehaviour,hero_005_silhouette_Atlas,-2023069890940868917,reverse-output\gacha-static\sample-export\e142aefe30d7727b58a79e487c52e19b\by_container\Assets\Game\RawAssets\Spine\Hero\hero_005\hero_005_silhouette_Atlas.bin,raw
