source,type,name,path_id,output,kind
files\yoo\Default\BundleFiles\f1\f110b832f2beea558234c8a70a3b82d2\__data,Material,hero_016_fg_Material,-8965115129180777267,reverse-output\gacha-static\sample-export\f110b832f2beea558234c8a70a3b82d2\by_container\Assets\Game\RawAssets\Spine\Hero\hero_016\hero_016_fg_Material.bin,raw
files\yoo\Default\BundleFiles\f1\f110b832f2beea558234c8a70a3b82d2\__data,MonoBehaviour,hero_016_SkeletonData,-8369136832851132652,reverse-output\gacha-static\sample-export\f110b832f2beea558234c8a70a3b82d2\by_container\Assets\Game\RawAssets\Spine\Hero\hero_016\hero_016_SkeletonData.bin,raw
files\yoo\Default\BundleFiles\f1\f110b832f2beea558234c8a70a3b82d2\__data,MonoBehaviour,hero_016_fg_SkeletonData,-7762592235079477521,reverse-output\gacha-static\sample-export\f110b832f2beea558234c8a70a3b82d2\by_container\Assets\Game\RawAssets\Spine\Hero\hero_016\hero_016_fg_SkeletonData.bin,raw
files\yoo\Default\BundleFiles\f1\f110b832f2beea558234c8a70a3b82d2\__data,Material,hero_016_bg_Material,-5635588400794300139,reverse-output\gacha-static\sample-export\f110b832f2beea558234c8a70a3b82d2\by_container\Assets\Game\RawAssets\Spine\Hero\hero_016\hero_016_bg_Material.bin,raw
files\yoo\Default\BundleFiles\f1\f110b832f2beea558234c8a70a3b82d2\__data,MonoBehaviour,hero_016_silhouette_SkeletonData,-5222158816775554352,reverse-output\gacha-static\sample-export\f110b832f2beea558234c8a70a3b82d2\by_container\Assets\Game\RawAssets\Spine\Hero\hero_016\hero_016_silhouette_SkeletonData.bin,raw
files\yoo\Default\BundleFiles\f1\f110b832f2beea558234c8a70a3b82d2\__data,Material,hero_016_silhouette_Material,-4619020089680328461,reverse-output\gacha-static\sample-export\f110b832f2beea558234c8a70a3b82d2\by_container\Assets\Game\RawAssets\Spine\Hero\hero_016\hero_016_silhouette_Material.bin,raw
files\yoo\Default\BundleFiles\f1\f110b832f2beea558234c8a70a3b82d2\__data,Texture2D,hero_016_silhouette,-1858455454801269669,reverse-output\gacha-static\sample-export\f110b832f2beea558234c8a70a3b82d2\by_container\Assets\Game\RawAssets\Spine\Hero\hero_016\hero_016_silhouette.png,png
files\yoo\Default\BundleFiles\f1\f110b832f2beea558234c8a70a3b82d2\__data,TextAsset,hero_016.skel,-1580102727555472286,reverse-output\gacha-static\sample-export\f110b832f2beea558234c8a70a3b82d2\by_container\Assets\Game\RawAssets\Spine\Hero\hero_016\hero_016.skel.bytes,bytes
files\yoo\Default\BundleFiles\f1\f110b832f2beea558234c8a70a3b82d2\__data,TextAsset,hero_016.atlas,930042595526746161,reverse-output\gacha-static\sample-export\f110b832f2beea558234c8a70a3b82d2\by_container\Assets\Game\RawAssets\Spine\Hero\hero_016\hero_016.atlas.bytes,bytes
files\yoo\Default\BundleFiles\f1\f110b832f2beea558234c8a70a3b82d2\__data,Material,hero_016_Material,1501007304941851987,reverse-output\gacha-static\sample-export\f110b832f2beea558234c8a70a3b82d2\by_container\Assets\Game\RawAssets\Spine\Hero\hero_016\hero_016_Material.bin,raw
