_index,id,cycle,param,growupHero,growupGift,showGrowupGift,order,quest,gameShop,icon,titlePic,bgPic,growupBgPic,condition,des,pageShow
0,5001,501,500001,240093|240094|240096|240101,2008|2009|2011|2016,2008,1001,,69,activities45,,activity_a11_bg_01,activity_a11_bg_01|activity_a11_bg_01|activity_a11_bg_01|activity_a11_bg_01,30026,limit_drawconfig_d5001,pic_15;draw_empty|pic_18;empty|pic_11;empty|pic_12;empty
1,5002,502,500002,240098|240099|240097|240100,2013|2014|2012|2015,2012,1001,,69,activities45_2,,activity_a11_bg_01,activity_a11_bg_01|activity_a11_bg_01|activity_a11_bg_01|activity_a11_bg_01,30026,limit_drawconfig_d5001,pic_55;empty|pic_56;empty|pic_11;draw_empty|pic_12;draw_empty
2,5003,503,500003,240093|240094|240096|240101|240098|240099|240097|240100,2008|2009|2011|2016|2013|2014|2012|2015,2013,1001,,69,activities45_3,,activity_a11_bg_01,activity_a11_bg_01|activity_a11_bg_01|activity_a11_bg_01|activity_a11_bg_01,30026,limit_drawconfig_d5001,pic_57;draw_empty|pic_58;draw_empty|pic_11;draw_empty|pic_12;draw_empty
3,2020,220,241076;241085,,2004|2001,,2020,,65,activities44,,activity_a11_bg_02,,30027,limit_drawconfig_d2001,pic_30;draw_empty|pic_14;draw_empty|pic_31;draw_empty|pic_17;draw_empty|pic_11;draw_empty|pic_12;draw_empty
4,2021,221,241081;241083,,2002|2003,,2020,,65,activities44_5,,activity_a11_bg_02,,30027,limit_drawconfig_d2001,pic_13;draw_empty|pic_32;draw_empty|pic_16;draw_empty|pic_33;draw_empty|pic_11;draw_empty|pic_12;draw_empty
5,2022,222,241055;241092,,2005|2007,,2020,,65,activities44_3,,activity_a11_bg_02,,30027,limit_drawconfig_d2001,pic_36;draw_empty|pic_34;draw_empty|pic_37;draw_empty|pic_35;draw_empty|pic_11;draw_empty|pic_12;draw_empty
6,2023,223,241095;241086,,2010|2006,,2020,,65,activities44_4,,activity_a11_bg_02,,30027,limit_drawconfig_d2001,pic_39;draw_empty|pic_38;draw_empty|pic_41;draw_empty|pic_40;draw_empty|pic_11;draw_empty|pic_12;draw_empty
7,1001,1,100001,540101|540201|540301|540401|540501|540601|540701|540801|540901|541001|541101|541201|541301|541401|541501|541601|541701|541801|541901,3001|3002|3003|3004|3005|3006|3007|3008|3009|3010|3011|3012|3013|3014|3015|3016|3017|3018|3019,,5001,,60,activities46,,hero_bg_01,hero_bg_01|hero_bg_01|hero_bg_01|hero_bg_01,60038,weapon_draw_des01,pic_25;draw_empty|pic_26;draw_empty|pic_11;draw_empty|pic_12;draw_empty
8,3001,301,241095,,2010,,0,,0,activities74,,activity_a11_bg_01,,,,
9,3002,302,241086,,2006,,0,,0,activities74,,activity_a11_bg_01,,,,
10,4001,400,241061,,2019,,4001,,84,,FullMoonCelebration,celebration_c1_bg_03,,,limit_drawconfig_d4001,pic_45;draw_empty|pic_46;draw_empty|pic_11;draw_empty|pic_12;draw_empty
11,4002,401,241103,,2018,,4002,,85,,FullMoonCelebration,celebration_c1_bg_05,,,limit_drawconfig_d4001,pic_47;draw_empty|pic_48;draw_empty|pic_11;draw_empty|pic_12;draw_empty
12,4003,402,241061;241103,,2019|2018,,4003,,89,,LimitedTimeTeturn,celebration_c1_bg_03,,,limit_drawconfig_d4001,pic_51;draw_empty|pic_52;draw_empty|pic_46;draw_empty|pic_48;draw_empty|pic_11;draw_empty|pic_12;draw_empty
13,4004,403,241102,,2017,,4004,,88,,NationalCelebration,celebration_c2_bg_03,,,limit_drawconfig_d4001,pic_49;draw_empty|pic_50;draw_empty|pic_11;draw_empty|pic_12;draw_empty
14,99999,1,240085;240076|ac_draw_240085,,1001|1004,,1001,,0,,draw_5001,activity_a11_bg_01,,30026,limit_drawconfig_d1001,pic_09;draw_500101|pic_10;draw_500102|pic_11;draw_500103|pic_12;draw_500104
