_index,id,name,_default,hero,skin,heroSounds,harmonious,spine,spineFg,spineBg,showSize,spineDf,fgDf,bgDf,showName,posX,posY,careType,block,popSize,popX,popY,model,size,recruitImg,modelIcon,halfIcon,half2Icon,dateIcon,roundIcon,ovalIcon,half3Icon
0,24003000,yhero_037,1,240030,24003000,240030,0,hero_037,0,0,0.6,wait,wait,wait,wait1,20,-380,0,0,1,-51,-544,hero_037q,1,zhero_037,mhero_037,bhero_037,phero_037,thero_037,yhero_037,fhero_037,shero_037
1,24003001,yhero_037_s01,0,240030,24003001,240030,1,hero_037_s01,0,0,0.6,wait,wait,wait,,20,-380,0,0,1,-51,-544,hero_037q,1,zhero_037_s01,mhero_037_s01,bhero_037_s01,phero_037_s01,thero_037_s01,yhero_037_s01,fhero_037_s01,shero_037_s01
2,24003100,yhero_044,1,240031,24003100,240031,0,hero_044,1,1,0.54,wait,wait,wait,wait1,20,-380,0,0,1,-158,-681,hero_044q,1,zhero_044,mhero_044,bhero_044,phero_044,thero_044,yhero_044,fhero_044,shero_044
3,24003200,yhero_004,1,240032,24003200,240032,1,hero_004,0,0,0.6,wait,wait,wait,wait1,20,-350,0,0,1,-51,-544,hero_004q,1,zhero_004,mhero_004,bhero_004,phero_004,thero_004,yhero_004,fhero_004,shero_004
4,24003400,yhero_047,1,240034,24003400,240034,1,hero_047,1,1,0.54,wait,wait,wait,wait1,20,-310,0,0,1,-65,-650,hero_047q,1,zhero_047,mhero_047,bhero_047,phero_047,thero_047,yhero_047,fhero_047,shero_047
5,24003500,yhero_055,1,240035,24003500,240035,1,hero_055,0,0,0.6,wait,wait,wait,wait1,20,-360,0,0,1,-51,-544,hero_055q,1,zhero_055,mhero_055,bhero_055,phero_055,thero_055,yhero_055,fhero_055,shero_055
6,24003700,yhero_022,1,240037,24003700,240037,1,hero_022,1,1,0.6,wait,wait,wait,wait1,20,-380,0,0,1,-86,-687,hero_022q,1,zhero_022,mhero_022,bhero_022,phero_022,thero_022,yhero_022,fhero_022,shero_022
7,24003800,yhero_038,1,240038,24003800,240038,1,hero_038,0,0,0.5,wait,wait,wait,wait1,60,-360,0,0,1,-51,-713,hero_038q,1,zhero_038,mhero_038,bhero_038,phero_038,thero_038,yhero_038,fhero_038,shero_038
8,24003900,yhero_066,1,240039,24003900,240039,0,hero_066,1,1,0.5,wait,wait,wait,wait1,20,-340,0,0,1,-51,-544,hero_066q,1,zhero_066,mhero_066,bhero_066,phero_066,thero_066,yhero_066,fhero_066,shero_066
9,24004000,yhero_026,1,240040,24004000,240040,0,hero_026,0,0,0.6,wait,wait,wait,wait1,20,-380,0,0,1,-51,-544,hero_026q,1,zhero_026,mhero_026,bhero_026,phero_026,thero_026,yhero_026,fhero_026,shero_026
