_index,id,type,para,reward
0,10001,1,10,230131;1
1,10002,1,20,230131;1
2,10003,1,30,230132;1
3,10004,1,40,230131;1
4,10005,1,50,230131;1
5,10006,1,60,230132;1
6,10007,1,70,230131;1
7,10008,1,80,230132;1
8,10009,1,90,230131;1
9,10010,1,100,230133;1
10,10011,1,110,230131;1
11,10012,1,120,230131;1
12,10013,1,130,230132;1
13,10014,1,140,230131;1
14,10015,1,150,230131;1
15,10016,1,160,230132;1
16,10017,1,170,230131;1
17,10018,1,180,230132;1
18,10019,1,190,230131;1
19,10020,1,200,230133;1
20,10021,1,210,230131;1
21,10022,1,220,230131;1
22,10023,1,230,230132;1
23,10024,1,240,230131;1
24,10025,1,250,230131;1
25,10026,1,260,230132;1
26,10027,1,270,230131;1
27,10028,1,280,230132;1
28,10029,1,290,230131;1
29,10030,1,300,230133;1
30,10031,1,310,230131;1
31,10032,1,320,230131;1
32,10033,1,330,230132;1
33,10034,1,340,230131;1
34,10035,1,350,230131;1
35,10036,1,360,230132;1
36,10037,1,370,230131;1
37,10038,1,380,230132;1
38,10039,1,390,230131;1
39,10040,1,400,230133;1
40,10041,1,410,230131;1
41,10042,1,420,230131;1
42,10043,1,430,230132;1
43,10044,1,440,230131;1
44,10045,1,450,230131;1
45,10046,1,460,230132;1
46,10047,1,470,230131;1
47,10048,1,480,230132;1
48,10049,1,490,230131;1
49,10050,1,500,230133;1
50,10051,1,510,230131;1
51,10052,1,520,230131;1
52,10053,1,530,230132;1
53,10054,1,540,230131;1
54,10055,1,550,230131;1
55,10056,1,560,230132;1
56,10057,1,570,230131;1
57,10058,1,580,230132;1
58,10059,1,590,230131;1
59,10060,1,600,230133;1
60,10061,1,610,230131;1
61,10062,1,620,230131;1
62,10063,1,630,230132;1
63,10064,1,640,230131;1
64,10065,1,650,230131;1
65,10066,1,660,230132;1
66,10067,1,670,230131;1
67,10068,1,680,230132;1
68,10069,1,690,230131;1
69,10070,1,700,230133;1
70,10071,1,710,230131;1
71,10072,1,720,230131;1
72,10073,1,730,230132;1
73,10074,1,740,230131;1
74,10075,1,750,230131;1
75,10076,1,760,230132;1
76,10077,1,770,230131;1
77,10078,1,780,230132;1
78,10079,1,790,230131;1
79,10080,1,800,230133;1
80,10081,1,810,230131;1
81,10082,1,820,230131;1
82,10083,1,830,230132;1
83,10084,1,840,230131;1
84,10085,1,850,230131;1
85,10086,1,860,230132;1
86,10087,1,870,230131;1
87,10088,1,880,230132;1
88,10089,1,890,230131;1
89,10090,1,900,230133;1
90,10091,1,910,230131;1
91,10092,1,920,230131;1
92,10093,1,930,230132;1
93,10094,1,940,230131;1
94,10095,1,950,230131;1
95,10096,1,960,230132;1
96,10097,1,970,230131;1
97,10098,1,980,230132;1
98,10099,1,990,230131;1
99,10100,1,1000,230133;1
100,10101,1,1010,230131;1
101,10102,1,1020,230131;1
102,10103,1,1030,230132;1
103,10104,1,1040,230131;1
104,10105,1,1050,230131;1
105,10106,1,1060,230132;1
106,10107,1,1070,230131;1
107,10108,1,1080,230132;1
108,10109,1,1090,230131;1
109,10110,1,1100,230133;1
110,10111,1,1110,230131;1
111,10112,1,1120,230131;1
112,10113,1,1130,230132;1
113,10114,1,1140,230131;1
114,10115,1,1150,230131;1
115,10116,1,1160,230132;1
116,10117,1,1170,230131;1
117,10118,1,1180,230132;1
118,10119,1,1190,230131;1
119,10120,1,1200,230133;1
120,10121,1,1210,230131;1
121,10122,1,1220,230131;1
122,10123,1,1230,230132;1
123,10124,1,1240,230131;1
124,10125,1,1250,230131;1
125,10126,1,1260,230132;1
126,10127,1,1270,230131;1
127,10128,1,1280,230132;1
128,10129,1,1290,230131;1
129,10130,1,1300,230133;1
130,10131,1,1310,230131;1
131,10132,1,1320,230131;1
132,10133,1,1330,230132;1
133,10134,1,1340,230131;1
134,10135,1,1350,230131;1
135,10136,1,1360,230132;1
136,10137,1,1370,230131;1
137,10138,1,1380,230132;1
138,10139,1,1390,230131;1
139,10140,1,1400,230133;1
140,10141,1,1410,230131;1
141,10142,1,1420,230131;1
142,10143,1,1430,230132;1
143,10144,1,1440,230131;1
144,10145,1,1450,230131;1
145,10146,1,1460,230132;1
146,10147,1,1470,230131;1
147,10148,1,1480,230132;1
148,10149,1,1490,230131;1
149,10150,1,1500,230133;1
150,10151,1,1510,230131;1
151,10152,1,1520,230131;1
152,10153,1,1530,230132;1
153,10154,1,1540,230131;1
154,10155,1,1550,230131;1
155,10156,1,1560,230132;1
156,10157,1,1570,230131;1
157,10158,1,1580,230132;1
158,10159,1,1590,230131;1
159,10160,1,1600,230133;1
160,10161,1,1610,230131;1
161,10162,1,1620,230131;1
162,10163,1,1630,230132;1
163,10164,1,1640,230131;1
164,10165,1,1650,230131;1
165,10166,1,1660,230132;1
166,10167,1,1670,230131;1
167,10168,1,1680,230132;1
168,10169,1,1690,230131;1
169,10170,1,1700,230133;1
170,10171,1,1710,230131;1
171,10172,1,1720,230131;1
172,10173,1,1730,230132;1
173,10174,1,1740,230131;1
174,10175,1,1750,230131;1
175,10176,1,1760,230132;1
176,10177,1,1770,230131;1
177,10178,1,1780,230132;1
178,10179,1,1790,230131;1
179,10180,1,1800,230133;1
180,10181,1,1810,230131;1
181,10182,1,1820,230131;1
182,10183,1,1830,230132;1
183,10184,1,1840,230131;1
184,10185,1,1850,230131;1
185,10186,1,1860,230132;1
186,10187,1,1870,230131;1
187,10188,1,1880,230132;1
188,10189,1,1890,230131;1
189,10190,1,1900,230133;1
190,10191,1,1910,230131;1
191,10192,1,1920,230131;1
192,10193,1,1930,230132;1
193,10194,1,1940,230131;1
194,10195,1,1950,230131;1
195,10196,1,1960,230132;1
196,10197,1,1970,230131;1
197,10198,1,1980,230132;1
198,10199,1,1990,230131;1
199,10200,1,2000,230133;1
200,10201,1,2010,230131;1
201,10202,1,2020,230131;1
202,10203,1,2030,230132;1
203,10204,1,2040,230131;1
204,10205,1,2050,230131;1
205,10206,1,2060,230132;1
206,10207,1,2070,230131;1
207,10208,1,2080,230132;1
208,10209,1,2090,230131;1
209,10210,1,2100,230133;1
210,10211,1,2110,230131;1
211,10212,1,2120,230131;1
212,10213,1,2130,230132;1
213,10214,1,2140,230131;1
214,10215,1,2150,230131;1
215,10216,1,2160,230132;1
216,10217,1,2170,230131;1
217,10218,1,2180,230132;1
218,10219,1,2190,230131;1
219,10220,1,2200,230133;1
220,10221,1,2210,230131;1
221,10222,1,2220,230131;1
222,10223,1,2230,230132;1
223,10224,1,2240,230131;1
224,10225,1,2250,230131;1
225,10226,1,2260,230132;1
226,10227,1,2270,230131;1
227,10228,1,2280,230132;1
228,10229,1,2290,230131;1
229,10230,1,2300,230133;1
230,10231,1,2310,230131;1
231,10232,1,2320,230131;1
232,10233,1,2330,230132;1
233,10234,1,2340,230131;1
234,10235,1,2350,230131;1
235,10236,1,2360,230132;1
236,10237,1,2370,230131;1
237,10238,1,2380,230132;1
238,10239,1,2390,230131;1
239,10240,1,2400,230133;1
240,10241,1,2410,230131;1
241,10242,1,2420,230131;1
242,10243,1,2430,230132;1
243,10244,1,2440,230131;1
244,10245,1,2450,230131;1
245,10246,1,2460,230132;1
246,10247,1,2470,230131;1
247,10248,1,2480,230132;1
248,10249,1,2490,230131;1
249,10250,1,2500,230133;1
250,10251,1,2510,230131;1
251,10252,1,2520,230131;1
252,10253,1,2530,230132;1
253,10254,1,2540,230131;1
254,10255,1,2550,230131;1
255,10256,1,2560,230132;1
256,10257,1,2570,230131;1
257,10258,1,2580,230132;1
258,10259,1,2590,230131;1
259,10260,1,2600,230133;1
260,10261,1,2610,230131;1
261,10262,1,2620,230131;1
262,10263,1,2630,230132;1
263,10264,1,2640,230131;1
264,10265,1,2650,230131;1
265,10266,1,2660,230132;1
266,10267,1,2670,230131;1
267,10268,1,2680,230132;1
268,10269,1,2690,230131;1
269,10270,1,2700,230133;1
270,10271,1,2710,230131;1
271,10272,1,2720,230131;1
272,10273,1,2730,230132;1
273,10274,1,2740,230131;1
274,10275,1,2750,230131;1
275,10276,1,2760,230132;1
276,10277,1,2770,230131;1
277,10278,1,2780,230132;1
278,10279,1,2790,230131;1
279,10280,1,2800,230133;1
280,10281,1,2810,230131;1
281,10282,1,2820,230131;1
282,10283,1,2830,230132;1
283,10284,1,2840,230131;1
284,10285,1,2850,230131;1
285,10286,1,2860,230132;1
286,10287,1,2870,230131;1
287,10288,1,2880,230132;1
288,10289,1,2890,230131;1
289,10290,1,2900,230133;1
290,10291,1,2910,230131;1
291,10292,1,2920,230131;1
292,10293,1,2930,230132;1
293,10294,1,2940,230131;1
294,10295,1,2950,230131;1
295,10296,1,2960,230132;1
296,10297,1,2970,230131;1
297,10298,1,2980,230132;1
298,10299,1,2990,230131;1
299,10300,1,3000,230133;1
300,10301,1,3010,230131;1
301,10302,1,3020,230131;1
302,10303,1,3030,230132;1
303,10304,1,3040,230131;1
304,10305,1,3050,230131;1
305,10306,1,3060,230132;1
306,10307,1,3070,230131;1
307,10308,1,3080,230132;1
308,10309,1,3090,230131;1
309,10310,1,3100,230133;1
310,10311,1,3110,230131;1
311,10312,1,3120,230131;1
312,10313,1,3130,230132;1
313,10314,1,3140,230131;1
314,10315,1,3150,230131;1
315,10316,1,3160,230132;1
316,10317,1,3170,230131;1
317,10318,1,3180,230132;1
318,10319,1,3190,230131;1
319,10320,1,3200,230133;1
320,10321,1,3210,230131;1
321,10322,1,3220,230131;1
322,10323,1,3230,230132;1
323,10324,1,3240,230131;1
324,10325,1,3250,230131;1
325,10326,1,3260,230132;1
