_index,id,cycleTime,rewardShow,showId,type,drawType,name,titlePic,dayLimit,oncecond,continuouscond,generalItem,gold,tendrawCost,goldtype,continuousrewardtimes,free,cdtime,integral,integralDraw,reward2,reward3,reward1,cnt4,reward4,cntF,rewardF2,cntF2,noCnt2,cnt2,cnt3,wishListHero,showHero,wishListNum,rateUp,wishListOpen,wishListStage,sort,buttonUnlock,isShow,decide,stageReward,condition,skipAnimeType,skipAnimeLevel,describe,pic,levelLimit,openServerDay,vipUnlock,coin,exchange,cntUp,probabilityUp,reward
0,1201,1,380202,380202,1009,,draw_n1009,lottery_btn_01,9999,230102;1,230102;10,,300,2700,0,10,1,5,10,1002;1003;1004;1005,380003,380004,380005,9,380099,30,380003,14,6,50,2000,240069;240082;240037;240062;240089;240090;240068;240091;240031;240034;240035;240048;240052;240087;240088;240042;240047;240053;240067;240074;240084;240038;240039;240041;240046;240054;240057;240060;240032;240045;240050;240070;240079|240065,240076;240081;240083;240085;240086;240092;240095;240055;240065;240069;240082;240037;240062;240089;240090;240068;240091;240031;240034;240035;240048;240052;240087;240088;240042;240047;240053;240067;240074;240084;240038;240039;240041;240046;240054;240057;240060;240032;240045;240050;240070;240079;240044;240080;240040;240043;240030;240073;240072;240058;240066,2,50,300,300|700,20,0,1,1,,60071,22,3,draw_des1001,lottery_btn_01,0,0,0,1,0,0,0,0
1,1100,1,380203,380203,1001,,draw_n1001,lottery_btn_02,9999,230103;1,230103;10,,500,0,2,10,0,5,0,0,380011,380012,380013,9,380099,16,380011,15,8,50,60,240097;240101;240094;240099;240096;240098;240093;240100,230333;240065;240069;240082;240037;240062;240089;240090;240068;240091;240031;240034;240035;240048;240052;240087;240088;240042;240047;240053;240067;240074;240084;240038;240039;240041;240046;240054;240057;240060;240032;240045;240050;240070;240079;240044;240080;240040;240043;240030;240073;240072;240058;240066,1,100,0,0,22,60079,1,1,,60079,22,4,draw_des1001,lottery_btn_02,0,21,0,1,"1,210011,1,10,10|2,200205,5,5,10|3,200250,1,10,5|4,210205,1,5,999",0,0,0
2,1300,1,380204,380204,1002,,draw_n1002,lottery_btn_09,9999,230106;1,230106;10,,400,0,2,10,0,5,0,0,380041,380042,380043,9,380099,39,380044,19,8,50,60,,240097;240101;240094;240099;240096;240098;240093;240100;240065;240069;240082;240037;240062;240089;240090;240068;240091;240031;240034;240035;240052;240087;240088;240042;240047;240053;240067;240074;240084;240038;240039;240041;240046;240054;240057;240060;240032;240045;240050;240070;240048;240079;240044;240080;240040;240043;240030;240073;240072;240058;240066,0,0,0,0,21,60111,1,1,,60071,22,4,draw_des1001,lottery_btn_09,0,2,0,1,0,0,0,0
3,1101,1,380090,380090,1101,,draw_n1101,lottery_btn_10,9999,230120;1,230120;10,,100,0,2,10,0,5,0,0,380091,380092,380093,99999999,380092,39,380091,19,8,50,20,,230333,0,0,0,0,23,0,1,1,,61007,35,3,draw_des1004,lottery_btn_02,0,0,0,1,0,0,0,0
4,1102,1,380160,380160,1102,,draw_n1102,lottery_btn_10,9999,230121;1,230121;10,,400,0,2,10,0,5,0,0,380161,380162,380163,9,380164,39,380161,19,8,50,40,,230333,0,0,0,0,23,0,1,1,,61007,35,3,draw_des1004,lottery_btn_02,0,0,0,1,0,0,0,0
5,1203,1,380170,380170,1201,,draw_n1201,lottery_btn_11,9999,230122;1,230122;10,,100,0,2,10,0,5,10,1101,380171,380172,380173,99999999,380173,18,380171,15,8,50,2000,,410000;410001;410004;410006;410007;410008;410009;410010,0,0,0,0,24,0,1,1,,61008,21,3,draw_des1007,lottery_btn_02,0,0,0,1,0,0,0,0
6,1202,1,380210,380210,1202,,draw_n1202,lottery_btn_11,9999,230123;1,230123;5,,400,0,2,5,0,5,0,0,380211,380212,380213,99999999,380213,39,380211,19,8,50,30,410005;410006;410007;410008;410009,410000;410001;410004;410006;410007;410008;410009;410010,1,50,0,0,24,0,1,1,,61008,21,3,draw_des1007,lottery_btn_02,0,0,0,1,0,0,0,0
7,1401,1,380250,380250,1401,,draw_n1401,lottery_btn_12,9999,230130;1,230130;10,,0,0,2,10,0,5,1,0,380251,380252,380253,99999999,380253,15,380251,10,5,20,60,,,0,,,,25,0,1,1,,61010,36,3,draw_des1401,lottery_btn_01,0,0,0,1,0,0,0,0
8,1402,1,380240,380240,1402,,draw_n1402,lottery_btn_12,9999,230131;1,230131;10,,0,0,2,10,0,5,2,0,380241,380242,380243,99999999,380243,18,380241,15,5,30,80,,,0,,,,25,0,1,1,,61010,36,3,draw_des1402,lottery_btn_01,0,0,0,1,0,0,0,0
9,1403,1,380230,380230,1403,,draw_n1403,lottery_btn_12,9999,230132;1,230132;10,,0,0,2,10,0,5,3,0,380231,380232,380233,99999999,380233,39,380231,19,5,40,600,,,0,,,,25,0,1,1,,61010,36,3,draw_des1403,lottery_btn_01,0,0,0,1,0,0,0,0
10,1404,1,380220,380220,1404,,draw_n1404,lottery_btn_12,9999,230133;1,230133;10,,0,0,2,10,0,5,5,0,380221,380222,380223,99999999,380223,39,380221,19,8,50,999999,,,0,,,,25,0,1,1,,61010,36,3,draw_des1404,lottery_btn_01,0,0,0,1,0,0,0,0
