_index,id,_default,hero,skin,harmonious,spine,showSize,posX,posY,halfIcon,dateIcon,roundIcon,touch1,touch2,touch3,touch4,touch5,touch6,touch7,touch8,giftAction1,giftAction2
0,24003000,1,240030,24003000,0,hero_037r_s01,0.96,0,30,phero_037r_s01,thero_037r_s01,yhero_037r_s01,24003000;24003001;24003002,24003003;24003004;24003005,24003006;24003007;24003008,24003009;24003010;24003011,24003012;24003013;24003014,24003015,24003016;24003017;24003018,24003019,24003020,24003021
1,24003001,0,240030,24003001,0,hero_037r,0.96,0,30,phero_037r,thero_037r,yhero_037r,24003000;24003001;24003002,24003003;24003004;24003005,24003006;24003007;24003008,24003009;24003010;24003011,24003012;24003013;24003014,24003015,24003016;24003017;24003018,24003019,24003020,24003021
2,24004300,1,240043,24004300,1,hero_021r_s01,0.96,0,70,phero_021r_s01,thero_021r_s01,yhero_021r_s01,24004300;24004301;24004302,24004303;24004304;24004305,24004306;24004307;24004308,24004309;24004310;24004311,24004312;24004313;24004314,24004315,24004316;24004317;24004318,24004319,24004320,24004321
3,24004301,0,240043,24004301,0,hero_021r,0.96,0,70,phero_021r,thero_021r,yhero_021r,24004300;24004301;24004302,24004303;24004304;24004305,24004306;24004307;24004308,24004309;24004310;24004311,24004312;24004313;24004314,24004315,24004316;24004317;24004318,24004319,24004320,24004321
4,24006500,1,240065,24006500,1,hero_003r_s01,0.96,0,-200,phero_003r_s01,thero_003r_s01,yhero_003r_s01,24006500;24006501;24006502,24006503;24006504;24006505,24006506;24006507;24006508,24006509;24006510;24006511,24006512;24006513;24006514,24006515,24006516;24006517;24006518,24006519,24006520,24006521
5,24006501,0,240065,24006501,0,hero_003r,0.96,0,-200,phero_003r,thero_003r,yhero_003r,24006500;24006501;24006502,24006503;24006504;24006505,24006506;24006507;24006508,24006509;24006510;24006511,24006512;24006513;24006514,24006515,24006516;24006517;24006518,24006519,24006520,24006521
6,24009300,1,240093,24009300,1,hero_052r_s01,0.96,0,-170,phero_052r_s01,thero_052r_s01,yhero_052r_s01,24009300;24009301;24009302,24009303;24009304;24009305,24009306;24009307;24009308,24009309;24009310;24009311,24009312;24009313;24009314,24009315,24009316;24009317;24009318,24009319,24009320,24009321
7,24009301,0,240093,24009301,0,hero_052r,0.96,0,-170,phero_052r,thero_052r,yhero_052r,24009300;24009301;24009302,24009303;24009304;24009305,24009306;24009307;24009308,24009309;24009310;24009311,24009312;24009313;24009314,24009315,24009316;24009317;24009318,24009319,24009320,24009321
8,24009400,1,240094,24009400,1,hero_051r_s01,0.96,0,0,phero_051r_s01,thero_051r_s01,yhero_051r_s01,24009400;24009401;24009402,24009403;24009404;24009405,24009406;24009407;24009408,24009409;24009410;24009411,24009412;24009413;24009414,24009415,24009416;24009417;24009418,24009419,24009420,24009421
9,24009401,0,240094,24009401,0,hero_051r,0.96,0,0,phero_051r,thero_051r,yhero_051r,24009400;24009401;24009402,24009403;24009404;24009405,24009406;24009407;24009408,24009409;24009410;24009411,24009412;24009413;24009414,24009415,24009416;24009417;24009418,24009419,24009420,24009421
10,24009600,1,240096,24009600,0,hero_050r_s01,0.96,0,-100,phero_050r_s01,thero_050r_s01,yhero_050r_s01,24009600;24009601;24009602,24009603;24009604;24009605,24009606;24009607;24009608,24009609;24009610;24009611,24009612;24009613;24009614,24009615,24009616;24009617;24009618,24009619,24009620,24009621
11,24009601,0,240096,24009601,0,hero_050r,0.96,0,-100,phero_050r,thero_050r,yhero_050r,24009600;24009601;24009602,24009603;24009604;24009605,24009606;24009607;24009608,24009609;24009610;24009611,24009612;24009613;24009614,24009615,24009616;24009617;24009618,24009619,24009620,24009621
12,24010100,1,240101,24010100,1,hero_053r_s01,0.96,0,-50,phero_053r_s01,thero_053r_s01,yhero_053r_s01,24010100;24010101;24010102,24010103;24010104;24010105,24010106;24010107;24010108,24010109;24010110;24010111,24010112;24010113;24010114,24010115,24010116;24010117;24010118,24010119,24010120,24010121
13,24010101,0,240101,24010101,0,hero_053r,0.96,0,-50,phero_053r,thero_053r,yhero_053r,24010100;24010101;24010102,24010103;24010104;24010105,24010106;24010107;24010108,24010109;24010110;24010111,24010112;24010113;24010114,24010115,24010116;24010117;24010118,24010119,24010120,24010121
14,1000,0,0,0,0,NPC_002,0.96,0,30,,,,,,,,,,,,,
15,1001,0,0,0,0,NPC_001,0.96,0,30,,,,,,,,,,,,,
