_index,id,_default,hero,cost,effect,order,specialShow,showItem,name,des,icon
0,24003000,1,240030,,,10,,,gal_skin_name_1,gal_skin_des_1|gal_skin_des_2,phero_037r_s01
1,24003001,0,240030,2901001,110000560;2000|110000550;150,20,1,2901001,gal_skin_name_2,gal_skin_des_3|gal_skin_des_4,phero_037r
2,24004300,1,240043,,,10,,,gal_skin_name_1,gal_skin_des_1|gal_skin_des_2,phero_021r_s01
3,24004301,0,240043,2901002,110000560;2000|110000550;150,20,1,2901002,gal_skin_name_2,gal_skin_des_3|gal_skin_des_4,phero_021r
4,24006500,1,240065,,,10,,,gal_skin_name_1,gal_skin_des_1|gal_skin_des_2,phero_003r_s01
5,24006501,0,240065,2901003,110000560;2000|110000550;150,20,1,2901003,gal_skin_name_2,gal_skin_des_3|gal_skin_des_4,phero_003r
6,24009300,1,240093,,,10,,,gal_skin_name_1,gal_skin_des_1|gal_skin_des_2,phero_052r_s01
7,24009301,0,240093,2901004,110000560;2000|110000550;150,20,1,2901004,gal_skin_name_2,gal_skin_des_3|gal_skin_des_4,phero_052r
8,24009400,1,240094,,,10,,,gal_skin_name_1,gal_skin_des_1|gal_skin_des_2,phero_051r_s01
9,24009401,0,240094,2901005,110000560;2000|110000550;150,20,1,2901005,gal_skin_name_2,gal_skin_des_3|gal_skin_des_4,phero_051r
10,24009600,1,240096,,,10,,,gal_skin_name_1,gal_skin_des_1|gal_skin_des_2,phero_050r_s01
11,24009601,0,240096,2901006,110000560;2000|110000550;150,20,1,2901006,gal_skin_name_2,gal_skin_des_3|gal_skin_des_4,phero_050r
12,24010100,1,240101,,,10,,,gal_skin_name_1,gal_skin_des_1|gal_skin_des_2,phero_053r_s01
13,24010101,0,240101,2901007,110000560;2000|110000550;150,20,1,2901007,gal_skin_name_2,gal_skin_des_3|gal_skin_des_4,phero_053r
