_index,id,occupation,heroType,rare,rare2,rare3,isShow,isAdvanced,advanced,advancedGoods,advancedSkin,mimicry,evolution,exclusiveGift,recruitItem,goodExp,extraCost,goodLimit,max,maxSkill,development,skillLimit,normalAttack,skill1,skill2,skill3,skill4,changeLimit,skin,slugRecommend,recruitVideo,attackAuto,flyObj,hitEff,powerStar,powerIcon,npcPic,favorLimit,favorGoods,name,jName,tName,label,recruit,number,myth,poewr,career,personality,hobby,birthday,description,story1,story2,story3,height,birth,age,birthplace,hate,sex,coreAttribute,fightStyle
0,240030,1,3,2,0,0,1,0,0,,0,0,0,210020,1240030,30|5|5|5|5|5|5|10|10|10|10|10|10|0|0|0|0|0|0|0|0|0|0|0|0,212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;10000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0,14,58613;180;4212;65614;3052;104,240030003;240030202;240030102,110000560;600;0|110000550;15;0|110000560;300;0,3,24003000,240030001,240030201,240030101,0,14,24003000,2700020;2700026;2700041;2700042;2700043,,attack1,hero_037q_attack1_dandao,hero_037q_attack1_hit_afk,1003,flag_1003,24003000,10000,700001;700006;700016;700021,hero_title240030,hero_title240030,hero2400301,hero_label_2400301;hero_label_2400302,hero_zm_240030,hero_bh_240030,hero_sh_240030,hero_sl_240030,hero_zy_240030,hero_rg_240030,hero_xh_240030,hero_sr_240030,hero_js_240030,hero_s1_240030,hero_s2_240030,hero_s3_240030,hero2400304,hero2400305,hero2400306,hero2400307,hero2400308,hero_nv,106,0
1,240031,1,4,3,0,0,1,0,0,,0,0,1,210021,1240031,60|10|10|10|10|10|10|20|20|20|20|20|20|30|30|30|30|30|30|40|40|40|40|40|40|60|60|60|60|60|60|80|80|80|80|80|80,"212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;2000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;4000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;10000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10",44,1575459;380;56216;1232103;6927;304,240031004;240031303;240031103;240031204,110000560;1200;0|110000550;25;0|110000560;480;0|110000550;55;0|110000560;840;0|110000550;85;0|110000560;1200;0,4,24003100,240031001,240031301,240031101,240031201,44,24003100,2700020;2700026;2700041;2700042;2700043,,attack,hero_044q_attack1_dandao,hero_044q_attack,1003,flag_1003,24003100,10000,700005;700012;700018;700023,hero_title240031,hero_title240031,hero2400311,hero_label_2400311;hero_label_2400312,hero_zm_240031,hero_bh_240031,hero_sh_240031,hero_sl_240031,hero_zy_240031,hero_rg_240031,hero_xh_240031,hero_sr_240031,hero_js_240031,hero_s1_240031,hero_s2_240031,hero_s3_240031,hero2400314,hero2400315,hero2400316,hero2400317,hero2400318,hero_nan,110,1
2,240032,2,3,3,0,0,1,0,0,,0,0,1,210022,1240032,60|10|10|10|10|10|10|20|20|20|20|20|20|30|30|30|30|30|30|40|40|40|40|40|40|60|60|60|60|60|60|80|80|80|80|80|80,"212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;2000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;4000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;10000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10",44,1932161;380;127100;936240;5407;107,240032004;240032303;240032103;240032204,110000550;100;0|110000560;300;0|110000550;40;0|110000560;660;0|110000550;70;0|110000560;1020;0|110000550;100;0,4,24003200,240032001,240032301,240032101,240032201,44,24003200,2700013;2700015;2700031;2700034;2700037,,attack1,hero_004q_attack1_dandao,hero_004q_attack1_hit_afk,1003,flag_1002,24003200,10000,700001;700015;700018;700029,hero_title240032,hero_title240032,hero2400321,hero_label_2400321;hero_label_2400322,hero_zm_240032,hero_bh_240032,hero_sh_240032,hero_sl_240032,hero_zy_240032,hero_rg_240032,hero_xh_240032,hero_sr_240032,hero_js_240032,hero_s1_240032,hero_s2_240032,hero_s3_240032,hero2400324,hero2400325,hero2400326,hero2400327,hero2400328,hero_nv,109,0
3,240034,2,4,3,0,0,1,0,0,,0,0,1,210024,1240034,60|10|10|10|10|10|10|20|20|20|20|20|20|30|30|30|30|30|30|40|40|40|40|40|40|60|60|60|60|60|60|80|80|80|80|80|80,"212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;2000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;4000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;10000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10",44,1921281;380;129456;908538;5411;309,240034004;240034303;240034103;240034204,110000550;100;0|110000560;300;0|110000550;40;0|110000560;660;0|110000550;70;0|110000560;1020;0|110000550;100;0,4,24003400,240034001,240034301,240034101,240034201,44,24003400,2700013;2700031;2700037;2700040,,attack1,hero_047q_attack1_dandao,hero_047q_attack1_hit_afk,1003,flag_1011,24003400,10000,700002;700009;700010;700028,hero_title240034,hero_title240034,hero2400341,hero_label_2400341;hero_label_2400342,hero_zm_240034,hero_bh_240034,hero_sh_240034,hero_sl_240034,hero_zy_240034,hero_rg_240034,hero_xh_240034,hero_sr_240034,hero_js_240034,hero_s1_240034,hero_s2_240034,hero_s3_240034,hero2400344,hero2400345,hero2400346,hero2400347,hero2400348,hero_nv,103,0
4,240035,2,4,3,0,0,1,0,0,,0,0,1,210031,1240035,60|10|10|10|10|10|10|20|20|20|20|20|20|30|30|30|30|30|30|40|40|40|40|40|40|60|60|60|60|60|60|80|80|80|80|80|80,"212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;2000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;4000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;10000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10",44,1952620;380;129691;936631;5412;104,240035003;240035303;240035104;240035204,110000550;100;0|110000560;300;0|110000550;40;0|110000560;660;0|110000550;70;0|110000560;1020;0|110000550;100;0,4,24003500,240035001,240035301,240035101,240035201,44,24003500,2700013;2700031;2700037,,attack1,hero_055q_attack1_dandao,hero_055q_attack1_hit_afk,1003,flag_1011,24003500,10000,700005;700007;700016;700021,hero_title240035,hero_title240035,hero2400351,hero_label_2400351;hero_label_2400352,hero_zm_240035,hero_bh_240035,hero_sh_240035,hero_sl_240035,hero_zy_240035,hero_rg_240035,hero_xh_240035,hero_sr_240035,hero_js_240035,hero_s1_240035,hero_s2_240035,hero_s3_240035,hero2400354,hero2400355,hero2400356,hero2400357,hero2400358,hero_nv,107,0
5,240037,3,2,3,1,1,1,0,0,,0,0,1,210032,1240037,60|10|10|10|10|10|10|20|20|20|20|20|20|30|30|30|30|30|30|40|40|40|40|40|40|60|60|60|60|60|60|80|80|80|80|80|80,"212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;2000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;4000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;10000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10",44,2652910;380;158748;1103766;6163;104,240037003;240037303;240037104;240037204,110000550;100;0|110000560;300;0|110000550;40;0|110000560;660;0|110000550;70;0|110000560;1020;0|110000550;100;0,4,24003700,240037001,240037301,240037101,240037201,44,24003700,2700013;2700025;2700030;2700035,,attack,hero_022q_attack1_dandao,hero_022q_attack,1003,flag_1011,24003700,10000,700004;700009;700019;700030,hero_title240037,hero_title240037,hero2400371,hero_label_2400371;hero_label_2400372,hero_zm_240037,hero_bh_240037,hero_sh_240037,hero_sl_240037,hero_zy_240037,hero_rg_240037,hero_xh_240037,hero_sr_240037,hero_js_240037,hero_s1_240037,hero_s2_240037,hero_s3_240037,hero2400374,hero2400375,hero2400376,hero2400377,hero2400378,hero_nv,104,1
6,240038,3,1,3,0,0,1,0,0,,0,0,1,210026,1240038,60|10|10|10|10|10|10|20|20|20|20|20|20|30|30|30|30|30|30|40|40|40|40|40|40|60|60|60|60|60|60|80|80|80|80|80|80,"212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;2000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;4000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;10000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10",44,1930068;380;123222;954416;5510;101,240038004;240038303;240038103;240038204,110000550;100;0|110000560;300;0|110000550;40;0|110000560;660;0|110000550;70;0|110000560;1020;0|110000550;100;0,4,24003800,240038001,240038301,240038101,240038201,44,24003800,2700012;2700013;2700030;2700034;2700035,,attack,hero_038q_attack1_dandao,hero_038q_attack,1003,flag_1003,24003800,10000,700003;700020;700010;700021,hero_title240038,hero_title240038,hero2400381,hero_label_2400381;hero_label_2400382,hero_zm_240038,hero_bh_240038,hero_sh_240038,hero_sl_240038,hero_zy_240038,hero_rg_240038,hero_xh_240038,hero_sr_240038,hero_js_240038,hero_s1_240038,hero_s2_240038,hero_s3_240038,hero2400384,hero2400385,hero2400386,hero2400387,hero2400388,hero_nv,110,1
7,240039,4,1,3,0,0,1,0,0,,0,0,1,210027,1240039,60|10|10|10|10|10|10|20|20|20|20|20|20|30|30|30|30|30|30|40|40|40|40|40|40|60|60|60|60|60|60|80|80|80|80|80|80,"212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;2000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;4000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;10000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10",44,1879779;380;93746;1369977;5828;201,240039004;240039303;240039104;240039203,110000560;1200;0|110000550;25;0|110000560;480;0|110000550;55;0|110000560;840;0|110000550;85;0|110000560;1200;0,4,24003900,240039001,240039301,240039101,240039201,44,24003900,2700014;2700026;2700028;2700038,,attack1,hero_066q_attack1_dandao,hero_066q_attack1_hit_afk,1003,flag_1011,24003900,10000,700003;700011;700018;700022,hero_title240039,hero_title240039,hero2400391,hero_label_2400391;hero_label_2400392,hero_zm_240039,hero_bh_240039,hero_sh_240039,hero_sl_240039,hero_zy_240039,hero_rg_240039,hero_xh_240039,hero_sr_240039,hero_js_240039,hero_s1_240039,hero_s2_240039,hero_s3_240039,hero2400394,hero2400395,hero2400396,hero2400397,hero2400398,hero_nv,112,0
8,240040,2,2,2,0,0,1,0,0,,0,0,0,210028,1240040,30|5|5|5|5|5|5|10|10|10|10|10|10|0|0|0|0|0|0|0|0|0|0|0|0,212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;10000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0,14,68760;180;8422;50794;2261;103,240040003;240040202;240040102,110000550;50;0|110000560;180;0|110000550;25;0,3,24004000,240040001,240040201,240040101,0,14,24004000,2700013;2700031;2700037,,attack,hero_026q_attack1_dandao,hero_026q_attack,1003,flag_1011,24004000,10000,700004;700017;700007;700024,hero_title240040,hero_title240040,hero2400401,hero_label_2400401;hero_label_2400402,hero_zm_240040,hero_bh_240040,hero_sh_240040,hero_sl_240040,hero_zy_240040,hero_rg_240040,hero_xh_240040,hero_sr_240040,hero_js_240040,hero_s1_240040,hero_s2_240040,hero_s3_240040,hero2400404,hero2400405,hero2400406,hero2400407,hero2400408,hero_nv,104,1
9,240041,4,1,3,0,0,1,0,0,,0,0,1,210029,1240041,60|10|10|10|10|10|10|20|20|20|20|20|20|30|30|30|30|30|30|40|40|40|40|40|40|60|60|60|60|60|60|80|80|80|80|80|80,"212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;0|212001;2000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;4000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;10000|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10|212001;0|212001;0|212001;0|212001;0|212001;0|212001;15000,200031;10",44,1893868;380;90886;1410976;6012;104,240041004;240041303;240041103;240041204,110000560;1200;0|110000550;25;0|110000560;480;0|110000550;55;0|110000560;840;0|110000550;85;0|110000560;1200;0,4,10000,240041001,240041301,240041101,240041201,44,24004100,2700014;2700026;2700028;2700038,,attack1,hero_049q_attack1_dandao,hero_049q_attack1_hit_afk,1003,flag_1008,24004100,10000,700003;700017;700018;700029,hero_title240041,hero_title240041,hero2400411,hero_label_2400411;hero_label_2400412,hero_zm_240041,hero_bh_240041,hero_sh_240041,hero_sl_240041,hero_zy_240041,hero_rg_240041,hero_xh_240041,hero_sr_240041,hero_js_240041,hero_s1_240041,hero_s2_240041,hero_s3_240041,hero2400504,hero2400505,hero2400506,hero2400507,hero2400508,hero_nv,112,0
