_index,id,_default,order,hero,cost,effect,specialShow,showItem,unlockSkin,skinName,skinDes,skinIcon,skinSize,careType,block,shop,price,shopSkin,x1,y1,x2,y2,x3,y3,x4,y4
0,24003000,1,10,240030,0,,0,,,hero_skin_df,skin_d_df,phero_037,1,0,,0,0,,-15,-130,30,-130,-20,-150,-20,-100
1,24003001,0,20,240030,2900001;1,110000560;2000|110000550;150,0,,1001,hero_24003001,skin_d_24003001,phero_037_s01,1,0,,0,0,,-120,-80,120,-80,-100,-120,-110,-40
2,24003100,1,10,240031,0,,0,,,hero_skin_df,skin_d_df,phero_044,1,0,,0,0,,-25,-80,30,-80,0,-120,0,-70
3,24003200,1,10,240032,0,,0,,,hero_skin_df,skin_d_df,phero_004,1,0,,0,0,,-30,-95,30,-95,-20,-120,-20,-70
4,24003400,1,10,240034,0,,0,,,hero_skin_df,skin_d_df,phero_047,1,0,,0,0,,-25,-45,25,-60,-30,-60,-30,0
5,24003500,1,10,240035,0,,0,,,hero_skin_df,skin_d_df,phero_055,1,0,,0,0,,-25,-110,25,-110,-30,-120,-30,-50
6,24003700,1,10,240037,0,,0,,,hero_skin_df,skin_d_df,phero_022,1,0,,0,0,,-60,-155,60,-155,-50,-120,-50,-120
7,24003800,1,10,240038,0,,0,,,hero_skin_df,skin_d_df,phero_038,1,0,,0,0,,-100,-80,100,-80,-100,-90,-100,-50
8,24003900,1,10,240039,0,,0,,,hero_skin_df,skin_d_df,phero_066,1,0,,0,0,,-30,-95,30,-95,-20,-80,-20,-30
9,24004000,1,10,240040,0,,0,,,hero_skin_df,skin_d_df,phero_026,1,0,,0,0,,-25,-120,25,-120,-20,-120,-20,-70
10,24004100,1,10,240041,0,,0,,,hero_skin_df,skin_d_df,phero_049,1,0,,0,0,,-25,-160,25,-160,-20,-160,-20,-110
11,24004200,1,10,240042,0,,0,,,hero_skin_df,skin_d_df,phero_039,1,0,,0,0,,-30,-130,30,-130,-20,-120,-20,-70
12,24004300,1,10,240043,0,,0,,,hero_skin_df,skin_d_df,phero_021,1,0,,0,0,,-30,-130,30,-130,-20,-130,-20,-80
13,24004301,0,20,240043,2900030;1,110000560;2000|110000550;150,0,,1002,hero_24004301,skin_d_24004301,phero_021_s01,1,0,,0,0,,-80,-160,80,-160,-90,-140,-90,-120
14,24004400,1,10,240044,0,,0,,,hero_skin_df,skin_d_df,phero_033,1,0,,0,0,,-20,-150,20,-150,-20,-140,-20,-90
15,24004500,1,10,240045,0,,0,,,hero_skin_df,skin_d_df,phero_005,1,0,,0,0,,-25,-130,25,-130,-40,-120,-30,-80
16,24004600,1,10,240046,0,,0,,,hero_skin_df,skin_d_df,phero_007,1,0,,0,0,,-50,-130,50,-130,-50,-120,-50,-80
17,24004601,0,20,240046,2900044;1,110000560;2000|110000550;150,1,2900044,,hero_24004601,skin_d_24004601,phero_007_s01,1,0,,0,0,,0,-130,0,-130,0,-120,0,-90
18,24004602,0,20,240046,2900045;1,110000560;2500|110000550;200,1,2900045,,hero_24004601,skin_d_24004601,phero_007_s01,1,0,,0,0,,0,-130,0,-130,0,-120,0,-90
19,24004603,0,20,240046,2900046;1,110000560;2500|110000550;200,1,2900046,,hero_24004601,skin_d_24004601,phero_007_s01,1,0,,0,0,,0,-130,0,-130,0,-120,0,-90
20,24004604,0,20,240046,2900047;1,110000560;2500|110000550;200,1,2900047,,hero_24004601,skin_d_24004601,phero_007_s01,1,0,,0,0,,0,-130,0,-130,0,-120,0,-90
21,24004605,0,20,240046,2900048;1,110000560;2500|110000550;200,1,2900048,,hero_24004601,skin_d_24004601,phero_007_s01,1,0,,0,0,,0,-130,0,-130,0,-120,0,-90
22,24004606,0,20,240046,2900049;1,110000560;2500|110000550;200,1,2900049,,hero_24004601,skin_d_24004601,phero_007_s01,1,0,,0,0,,0,-130,0,-130,0,-120,0,-90
23,24004607,0,20,240046,2900050;1,110000560;2500|110000550;200,1,2900050,,hero_24004601,skin_d_24004601,phero_007_s01,1,0,,0,0,,0,-130,0,-130,0,-120,0,-90
24,24004608,0,20,240046,2900051;1,110000560;2500|110000550;200,1,2900051,,hero_24004601,skin_d_24004601,phero_007_s01,1,0,,0,0,,0,-130,0,-130,0,-120,0,-90
25,24004609,0,20,240046,2900052;1,110000560;2500|110000550;200,1,2900052,,hero_24004601,skin_d_24004601,phero_007_s01,1,0,,0,0,,0,-130,0,-130,0,-120,0,-90
26,24004610,0,20,240046,2900053;1,110000560;2500|110000550;200,1,2900053,,hero_24004601,skin_d_24004601,phero_007_s01,1,0,,0,0,,0,-130,0,-130,0,-120,0,-90
27,24004611,0,20,240046,2900054;1,110000560;2500|110000550;200,1,2900054,,hero_24004601,skin_d_24004601,phero_007_s01,1,0,,0,0,,0,-130,0,-130,0,-120,0,-90
28,24004612,0,20,240046,2900055;1,110000560;2500|110000550;200,1,2900055,,hero_24004601,skin_d_24004601,phero_007_s01,1,0,,0,0,,0,-130,0,-130,0,-120,0,-90
29,24004613,0,20,240046,2900056;1,110000560;2500|110000550;200,1,2900056,,hero_24004601,skin_d_24004601,phero_007_s01,1,0,,0,0,,0,-130,0,-130,0,-120,0,-90
30,24004700,1,10,240047,0,,0,,,hero_skin_df,skin_d_df,phero_059,1,0,,0,0,,-30,-100,30,-100,-20,-90,-20,-40
31,24004800,1,10,240048,0,,0,,,hero_skin_df,skin_d_df,phero_029,1,0,,0,0,,-60,-150,60,-150,-50,-140,-50,-80
32,24004900,1,10,240049,0,,0,,,hero_skin_df,skin_d_df,phero_000,1,0,,0,0,,-25,-120,25,-120,-20,-120,-20,-70
33,24005000,1,10,240050,0,,0,,,hero_skin_df,skin_d_df,phero_040,1,0,,0,0,,-25,-155,25,-155,-20,-160,-20,-110
34,24005100,1,10,240051,0,,0,,,hero_skin_df,skin_d_df,phero_000,1,0,,0,0,,-25,-120,25,-120,-20,-140,-20,-90
35,24005200,1,10,240052,0,,0,,,hero_skin_df,skin_d_df,phero_025,1,0,,0,0,,-10,-140,10,-140,-10,-160,-10,-130
36,24005300,1,10,240053,0,,0,,,hero_skin_df,skin_d_df,phero_032,1,0,,0,0,,-30,-40,30,-40,-30,-30,-30,0
37,24005400,1,10,240054,0,,0,,,hero_skin_df,skin_d_df,phero_020,1,0,,0,0,,-20,-160,20,-160,-20,-160,-20,-110
38,24005500,1,10,240055,0,,0,,,hero_skin_df,skin_d_df,phero_016,1,0,,0,0,,0,-55,0,-55,10,-40,10,-10
39,24005501,0,20,240055,2900035;1,110000560;7000|110000060;0.01,1,2900035,,hero_24005501,skin_d_24005501,phero_016_s01,1,0,,0,0,,15,-100,-15,-100,20,-120,20,-70
40,24005700,1,10,240057,0,,0,,,hero_skin_df,skin_d_df,phero_002,1,0,,0,0,,-25,-90,25,-90,-20,-110,-20,-60
41,24005800,1,10,240058,0,,0,,,hero_skin_df,skin_d_df,phero_031,1,0,,0,0,,-40,-80,40,-80,-40,-100,-40,-50
42,24006000,1,10,240060,0,,0,,,hero_skin_df,skin_d_df,phero_043,1,0,,0,0,,-20,-70,20,-70,-20,-60,-20,-10
43,24006100,1,10,240061,0,,0,,,hero_skin_df,skin_d_df,phero_018,1,0,,0,0,,-60,0,60,0,-50,0,-50,50
44,24006101,0,20,240061,2900068;1,110000550;500|110000050;0.01,1,2900068,,hero_24006101,skin_d_24006101,phero_018_s01,1,0,,0,0,,70,0,-70,0,-80,-10,80,40
45,24006200,1,10,240062,0,,0,,,hero_skin_df,skin_d_df,phero_024,1,0,,0,0,,-25,-120,25,-120,-20,-120,-20,-70
46,24006400,1,10,240064,0,,0,,,hero_skin_df,skin_d_df,phero_000,1,0,,0,0,,0,0,0,0,0,0,0,0
47,24006500,1,10,240065,0,,0,,,hero_skin_df,skin_d_df,phero_003,1,0,,0,0,,-50,-25,50,-150,-55,-120,-40,-70
48,24006501,0,30,240065,2900036;1,110000550;500|110000050;0.01,1,2900036,,hero_24006501,skin_d_24006501,phero_003_s01,1,0,,0,0,,-75,-20,75,-20,-170,-20,-190,30
49,24006502,0,20,240065,2900072;1,110000550;800|110000050;0.015,1,2900072,,hero_24006502,skin_d_24006502,phero_003_s02,1,0,,0,0,,-25,-150,25,-150,-60,0,-60,0
50,24006600,1,10,240066,0,,0,,,hero_skin_df,skin_d_df,phero_034,1,0,,0,0,,-25,-160,25,-160,-20,-140,-20,-90
51,24006700,1,10,240067,0,,0,,,hero_skin_df,skin_d_df,phero_041,1,0,,0,0,,-55,-145,55,-145,-60,-140,-60,-90
52,24006800,1,10,240068,0,,0,,,hero_skin_df,skin_d_df,phero_001,1,0,,0,0,,-25,-120,25,-120,-20,-120,-20,-70
53,24006900,1,10,240069,0,,0,,,hero_skin_df,skin_d_df,phero_017,1,0,,0,0,,-40,-120,40,-120,-40,-120,-40,-90
54,24007000,1,10,240070,0,,0,,,hero_skin_df,skin_d_df,phero_057,1,0,,0,0,,-25,-130,25,-130,-10,-140,-10,-90
55,24007100,1,10,240071,0,,0,,,hero_skin_df,skin_d_df,phero_000,1,0,,0,0,,-25,-120,25,-120,-20,-120,-20,-70
56,24007200,1,10,240072,0,,0,,,hero_skin_df,skin_d_df,phero_030,1,0,,0,0,,-25,-110,25,-110,-20,-120,-20,-70
57,24007300,1,10,240073,0,,0,,,hero_skin_df,skin_d_df,phero_008,1,0,,0,0,,-30,-160,30,-160,-20,-140,-20,-90
58,24007400,1,10,240074,0,,0,,,hero_skin_df,skin_d_df,phero_042,1,0,,0,0,,-35,-160,35,-160,-20,-160,-20,-110
59,24007500,1,10,240075,0,,0,,,hero_skin_df,skin_d_df,phero_000,1,0,,0,0,,-25,-120,25,-120,-20,-120,-20,-70
60,24007600,1,10,240076,0,,0,,,hero_skin_df,skin_d_df,phero_056,1,0,,0,0,,-5,-70,5,-70,0,-70,0,-20
61,24007601,0,20,240076,2900033;1,110000550;500|110000050;0.01,1,2900033,,hero_24007601,skin_d_24007601,phero_056_s01,1,0,,0,0,,10,20,-10,20,10,40,0,90
62,24007700,1,10,240077,0,,0,,,hero_skin_df,skin_d_df,phero_000,1,0,,0,0,,-25,-120,25,-120,-20,-120,-20,-70
63,24007900,1,10,240079,0,,0,,,hero_skin_df,skin_d_df,phero_058,1,0,,0,0,,80,-110,-80,-110,85,-100,85,-50
64,24008000,1,10,240080,0,,0,,,hero_skin_df,skin_d_df,phero_035,1,0,,0,0,,-35,-160,35,-160,-40,-140,-40,-90
