_index,id,heroId,type,image,birthday,like,institution,combat,meetingDay,resume,report,voiceActorJp,files1,files2,soundRecruit,soundTalk,soundTouch,soundBattle,soundSkill,soundFail
0,1,240030,3,hero_sex01,hero_birthday_240030,hero_hoddy_240030,hero_institution_240030,hero_combat_240030,hero2400305,hero_resume_240030,hero_report_240030,hero_jpcv_240030,hero_files1_240030,hero_files2_240030,240030_recruit01,240030_accost01,240030_touch01,240030_battle01,240030_battle01,240030_fail01
1,2,240031,4,hero_sex01,hero_birthday_240031,hero_hoddy_240031,hero_institution_240031,hero_combat_240031,hero2400315,hero_resume_240031,hero_report_240031,hero_jpcv_240031,hero_files1_240031,hero_files2_240031,240031_recruit01,240031_accost01,240031_touch01,240031_battle01,240031_battle01,240031_fail01
2,3,240032,3,hero_sex01,hero_birthday_240032,hero_hoddy_240032,hero_institution_240032,hero_combat_240032,hero2400325,hero_resume_240032,hero_report_240032,hero_jpcv_240032,hero_files1_240032,hero_files2_240032,240032_recruit01,240032_accost01,240032_touch01,240032_battle01,240032_battle01,240032_fail01
3,4,240034,1,hero_sex01,hero_birthday_240034,hero_hoddy_240034,hero_institution_240034,hero_combat_240034,hero2400345,hero_resume_240034,hero_report_240034,hero_jpcv_240034,hero_files1_240034,hero_files2_240034,240034_recruit01,240034_accost01,240034_touch01,240034_battle01,240034_battle01,240034_fail01
4,5,240035,4,hero_sex01,hero_birthday_240035,hero_hoddy_240035,hero_institution_240035,hero_combat_240035,hero2400355,hero_resume_240035,hero_report_240035,hero_jpcv_240035,hero_files1_240035,hero_files2_240035,240035_recruit01,240035_accost01,240035_touch01,240035_battle01,240035_battle01,240035_fail01
5,6,240037,2,hero_sex01,hero_birthday_240037,hero_hoddy_240037,hero_institution_240037,hero_combat_240037,hero2400375,hero_resume_240037,hero_report_240037,hero_jpcv_240037,hero_files1_240037,hero_files2_240037,240037_recruit01,240037_accost01,240037_touch01,240037_battle01,240037_battle01,240037_fail01
6,7,240038,1,hero_sex01,hero_birthday_240038,hero_hoddy_240038,hero_institution_240038,hero_combat_240038,hero2400385,hero_resume_240038,hero_report_240038,hero_jpcv_240038,hero_files1_240038,hero_files2_240038,240038_recruit01,240038_accost01,240038_touch01,240038_battle01,240038_battle01,240038_fail01
7,8,240039,1,hero_sex01,hero_birthday_240039,hero_hoddy_240039,hero_institution_240039,hero_combat_240039,hero2400395,hero_resume_240039,hero_report_240039,hero_jpcv_240039,hero_files1_240039,hero_files2_240039,240039_recruit01,240039_accost01,240039_touch01,240039_battle01,240039_battle01,240039_fail01
8,9,240040,2,hero_sex01,hero_birthday_240040,hero_hoddy_240040,hero_institution_240040,hero_combat_240040,hero2400405,hero_resume_240040,hero_report_240040,hero_jpcv_240040,hero_files1_240040,hero_files2_240040,240040_recruit01,240040_accost01,240040_touch01,240040_battle01,240040_battle01,240040_fail01
9,10,240041,1,hero_sex01,hero_birthday_240041,hero_hoddy_240041,hero_institution_240041,hero_combat_240041,hero2400505,hero_resume_240041,hero_report_240041,hero_jpcv_240041,hero_files1_240041,hero_files2_240041,240041_recruit01,240041_accost01,240041_touch01,240041_battle01,240041_battle01,240041_fail01
10,11,240042,2,hero_sex01,hero_birthday_240042,hero_hoddy_240042,hero_institution_240042,hero_combat_240042,hero2400605,hero_resume_240042,hero_report_240042,hero_jpcv_240042,hero_files1_240042,hero_files2_240042,240042_recruit01,240042_accost01,240042_touch01,240042_battle01,240042_battle01,240042_fail01
11,12,240043,2,hero_sex01,hero_birthday_240043,hero_hoddy_240043,hero_institution_240043,hero_combat_240043,hero2400705,hero_resume_240043,hero_report_240043,hero_jpcv_240043,hero_files1_240043,hero_files2_240043,240043_recruit01,240043_accost01,240043_touch01,240043_battle01,240043_battle01,240043_fail01
12,13,240044,4,hero_sex01,hero_birthday_240044,hero_hoddy_240044,hero_institution_240044,hero_combat_240044,hero2400805,hero_resume_240044,hero_report_240044,hero_jpcv_240044,hero_files1_240044,hero_files2_240044,240044_recruit01,240044_accost01,240044_touch01,240044_battle01,240044_battle01,240044_fail01
13,14,240045,3,hero_sex01,hero_birthday_240045,hero_hoddy_240045,hero_institution_240045,hero_combat_240045,hero2400905,hero_resume_240045,hero_report_240045,hero_jpcv_240045,hero_files1_240045,hero_files2_240045,240045_recruit01,240045_accost01,240045_touch01,240045_battle01,240045_battle01,240045_fail01
14,15,240046,1,hero_sex01,hero_birthday_240046,hero_hoddy_240046,hero_institution_240046,hero_combat_240046,hero2401005,hero_resume_240046,hero_report_240046,hero_jpcv_240046,hero_files1_240046,hero_files2_240046,240046_recruit01,240046_accost01,240046_touch01,240046_battle01,240046_battle01,240046_fail01
15,16,240047,2,hero_sex01,hero_birthday_240047,hero_hoddy_240047,hero_institution_240047,hero_combat_240047,hero2401105,hero_resume_240047,hero_report_240047,hero_jpcv_240047,hero_files1_240047,hero_files2_240047,240047_recruit01,240047_accost01,240047_touch01,240047_battle01,240047_battle01,240047_fail01
16,17,240048,4,hero_sex01,hero_birthday_240048,hero_hoddy_240048,hero_institution_240048,hero_combat_240048,hero2401205,hero_resume_240048,hero_report_240048,hero_jpcv_240048,hero_files1_240048,hero_files2_240048,240048_recruit01,240048_accost01,240048_touch01,240048_battle01,240048_battle01,240048_fail01
17,18,240049,3,hero_sex01,hero_birthday_240049,hero_hoddy_240049,hero_institution_240049,hero_combat_240049,hero2401305,hero_resume_240049,hero_report_240049,hero_jpcv_240049,hero_files1_240049,hero_files2_240049,240049_recruit01,240049_accost01,240049_touch01,240049_battle01,240049_battle01,240049_fail01
18,19,240050,3,hero_sex01,hero_birthday_240050,hero_hoddy_240050,hero_institution_240050,hero_combat_240050,hero2401405,hero_resume_240050,hero_report_240050,hero_jpcv_240050,hero_files1_240050,hero_files2_240050,240050_recruit01,240050_accost01,240050_touch01,240050_battle01,240050_battle01,240050_fail01
19,20,240051,4,hero_sex01,hero_birthday_240051,hero_hoddy_240051,hero_institution_240051,hero_combat_240051,hero2401505,hero_resume_240051,hero_report_240051,hero_jpcv_240051,hero_files1_240051,hero_files2_240051,240051_recruit01,240051_accost01,240051_touch01,240051_battle01,240051_battle01,240051_fail01
20,21,240052,4,hero_sex01,hero_birthday_240052,hero_hoddy_240052,hero_institution_240052,hero_combat_240052,hero2401605,hero_resume_240052,hero_report_240052,hero_jpcv_240052,hero_files1_240052,hero_files2_240052,240052_recruit01,240052_accost01,240052_touch01,240052_battle01,240052_battle01,240052_fail01
21,22,240053,2,hero_sex01,hero_birthday_240053,hero_hoddy_240053,hero_institution_240053,hero_combat_240053,hero2401705,hero_resume_240053,hero_report_240053,hero_jpcv_240053,hero_files1_240053,hero_files2_240053,240053_recruit01,240053_accost01,240053_touch01,240053_battle01,240053_battle01,240053_fail01
22,23,240054,1,hero_sex01,hero_birthday_240054,hero_hoddy_240054,hero_institution_240054,hero_combat_240054,hero2401805,hero_resume_240054,hero_report_240054,hero_jpcv_240054,hero_files1_240054,hero_files2_240054,240054_recruit01,240054_accost01,240054_touch01,240054_battle01,240054_battle01,240054_fail01
23,24,240055,5,hero_sex01,hero_birthday_240055,hero_hoddy_240055,hero_institution_240055,hero_combat_240055,hero2401905,hero_resume_240055,hero_report_240055,hero_jpcv_240055,hero_files1_240055,hero_files2_240055,240055_recruit01,240055_accost01,240055_touch01,240055_battle01,240055_battle01,240055_fail01
24,25,240057,1,hero_sex01,hero_birthday_240057,hero_hoddy_240057,hero_institution_240057,hero_combat_240057,hero2402105,hero_resume_240057,hero_report_240057,hero_jpcv_240057,hero_files1_240057,hero_files2_240057,240057_recruit01,240057_accost01,240057_touch01,240057_battle01,240057_battle01,240057_fail01
25,26,240058,2,hero_sex01,hero_birthday_240058,hero_hoddy_240058,hero_institution_240058,hero_combat_240058,hero2402205,hero_resume_240058,hero_report_240058,hero_jpcv_240058,hero_files1_240058,hero_files2_240058,240058_recruit01,240058_accost01,240058_touch01,240058_battle01,240058_battle01,240058_fail01
26,27,240060,1,hero_sex01,hero_birthday_240060,hero_hoddy_240060,hero_institution_240060,hero_combat_240060,hero2402405,hero_resume_240060,hero_report_240060,hero_jpcv_240060,hero_files1_240060,hero_files2_240060,240060_recruit01,240060_accost01,240060_touch01,240060_battle01,240060_battle01,240060_fail01
