_index,id,name,type,color,harmonious,pic,icon,goodsId,describe,effect,value,armsId,retainEffect,retainValue,retainArms,order,isshow,des,specialShow,showItem
0,7001,skin_t_7001,7,4,0,mainui_bg_01,skin_icon_7001,,title_skin_d1005,,,,,,,10,1,skin_unlock_des7001,0,
1,7002,skin_t_7002,7,4,0,mainui_bg_02,skin_icon_7002,2562001,title_skin_d1005,,,,,,,20,0,skin_unlock_des7002,0,
2,7003,skin_t_7003,7,4,0,mainui_bg_03,skin_icon_7003,2562002,title_skin_d1005,,,,,,,30,1,skin_unlock_des7003,0,
3,7004,skin_t_7004,7,4,0,mainui_bg_04,skin_icon_7004,2562003,,,,,,,,40,0,skin_unlock_des7004,0,
4,7005,skin_t_7005,7,4,0,mainui_bg_05,skin_icon_7005,2562004,,,,,,,,50,0,skin_unlock_des7005,0,
5,7006,skin_t_7006,7,4,0,mainui_bg_06,skin_icon_7006,2562005,,,,,,,,60,0,skin_unlock_des7006,0,
6,7007,skin_t_7007,7,4,0,mainui_bg_07,skin_icon_7007,2562006,,,,,,,,70,0,skin_unlock_des7007,0,
7,7008,skin_t_7008,7,4,0,mainui_bg_08,skin_icon_7008,2562007,,,,,,,,80,0,skin_unlock_des7008,0,
8,8001,skin_t_8001,6,4,0,skin_t_8001,,2560077,,,,,110000060,0.015,0,10,1,skin_unlock_des8001,0,
9,8002,skin_t_8002,6,4,0,skin_t_8002,,2560078,,,,,110000060,0.015,0,80,1,skin_unlock_des8002,0,
10,8003,skin_t_8003,6,4,0,skin_t_8003,,2560079,,,,,110000050,0.015,0,90,1,skin_unlock_des8003,0,
11,8004,skin_t_8004,6,4,0,skin_t_8004,,2560080,,,,,110000060,0.015,0,20,1,skin_unlock_des8004,0,
12,8005,skin_t_8005,6,4,0,skin_t_8005,,2560081,,,,,110000050,0.015,0,100,1,skin_unlock_des8005,0,
13,8006,skin_t_8006,6,4,0,skin_t_8006,,2560082,,,,,110000050,0.025,0,110,1,skin_unlock_des8006,0,
14,8007,skin_t_8007,6,4,0,skin_t_8007,,2560083,,,,,110000060,0.015,0,120,1,skin_unlock_des8007,0,
15,8008,skin_t_8008,6,4,0,skin_t_8008,,2560084,,,,,110000050,0.025,0,30,1,skin_unlock_des8008,0,
16,8009,skin_t_8009,6,4,0,skin_t_8009,,2560085,,,,,110000560,3000,0,40,1,skin_unlock_des8009,0,
17,8010,skin_t_8010,6,4,0,skin_t_8010,,2560086,,,,,110000560,3000,0,50,1,skin_unlock_des8010,0,
18,8011,skin_t_8011,6,4,0,skin_t_8011,,2560087,,,,,110000550,200,0,60,1,skin_unlock_des8011,0,
19,8012,skin_t_8012,6,1,0,skin_t_8012,,2560088,,,,,110000550,200,0,70,1,skin_unlock_des8012,0,
20,1001,skin_t_1001,1,1,0,video_1001,skin_icon_1001,,,,,,,,,10,1,skin_unlock_des1001,0,
