source,type,name,path_id,output,kind
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,MonoBehaviour,MonoBehaviour_-9170419437062049678,-9170419437062049678,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\MonoBehaviour\MonoBehaviour_-9170419437062049678.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,GameObject,ring_rotation,-9142651887471218574,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\GameObject\ring_rotation.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,GameObject,ring_left,-9074856990282600334,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\GameObject\ring_left.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,MonoBehaviour,MonoBehaviour_-9065668939891396494,-9065668939891396494,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\MonoBehaviour\MonoBehaviour_-9065668939891396494.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,MonoBehaviour,MonoBehaviour_-9055469415347310478,-9055469415347310478,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\MonoBehaviour\MonoBehaviour_-9055469415347310478.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,RectTransform,RectTransform_-9013046106350604174,-9013046106350604174,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\RectTransform\RectTransform_-9013046106350604174.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,MonoBehaviour,MonoBehaviour_-9011853148499398542,-9011853148499398542,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\MonoBehaviour\MonoBehaviour_-9011853148499398542.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,RectTransform,RectTransform_-9005110576081981326,-9005110576081981326,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\RectTransform\RectTransform_-9005110576081981326.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,RectTransform,RectTransform_-8972683848552402830,-8972683848552402830,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\RectTransform\RectTransform_-8972683848552402830.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,MonoBehaviour,MonoBehaviour_-8955280044661985166,-8955280044661985166,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\MonoBehaviour\MonoBehaviour_-8955280044661985166.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,MonoBehaviour,MonoBehaviour_-8950139282747740046,-8950139282747740046,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\MonoBehaviour\MonoBehaviour_-8950139282747740046.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,GameObject,@fx_HeroRecruitView_03,-8936880812820516750,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\GameObject\@fx_HeroRecruitView_03.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,MonoBehaviour,MonoBehaviour_-8915881149466791822,-8915881149466791822,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\MonoBehaviour\MonoBehaviour_-8915881149466791822.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,MonoBehaviour,MonoBehaviour_-8907559731420450702,-8907559731420450702,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\MonoBehaviour\MonoBehaviour_-8907559731420450702.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,MonoBehaviour,MonoBehaviour_-8898250882067713934,-8898250882067713934,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\MonoBehaviour\MonoBehaviour_-8898250882067713934.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,RectTransform,RectTransform_-8882034103358377870,-8882034103358377870,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\RectTransform\RectTransform_-8882034103358377870.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,GameObject,ImgFrame_red_r,-8869719929203904398,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\GameObject\ImgFrame_red_r.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,GameObject,Renderer0,-8843869707786309518,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\GameObject\Renderer0.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,MonoBehaviour,MonoBehaviour_-8836111777024757646,-8836111777024757646,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\MonoBehaviour\MonoBehaviour_-8836111777024757646.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,RectTransform,RectTransform_-8792621984828346254,-8792621984828346254,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\RectTransform\RectTransform_-8792621984828346254.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,RectTransform,RectTransform_-8778656661277364110,-8778656661277364110,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\RectTransform\RectTransform_-8778656661277364110.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,MonoBehaviour,MonoBehaviour_-8697539589454483342,-8697539589454483342,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\MonoBehaviour\MonoBehaviour_-8697539589454483342.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,MonoBehaviour,MonoBehaviour_-8689231350751547278,-8689231350751547278,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\MonoBehaviour\MonoBehaviour_-8689231350751547278.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,GameObject,caiguang2 (2),-8667132714520530830,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\GameObject\caiguang2 (2).bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,GameObject,lottery_img_36d,-8621303477657456526,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\GameObject\lottery_img_36d.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,RectTransform,RectTransform_-8609874675068030862,-8609874675068030862,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\RectTransform\RectTransform_-8609874675068030862.bin,raw
files\yoo\Default\BundleFiles\7f\7f985e1dae908dae92d5f38cbc8a5b82\__data,RectTransform,RectTransform_-8595421661190737806,-8595421661190737806,reverse-output\gacha-static\ui-prefab-export\HeroRecruitView\by_type\RectTransform\RectTransform_-8595421661190737806.bin,raw
