source,type,name,path_id,output,kind
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,MonoBehaviour,MonoBehaviour_-9213976129847954578,-9213976129847954578,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\MonoBehaviour\MonoBehaviour_-9213976129847954578.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,MonoBehaviour,MonoBehaviour_-9211782209661373586,-9211782209661373586,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\MonoBehaviour\MonoBehaviour_-9211782209661373586.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,RectTransform,RectTransform_-9197106425131633810,-9197106425131633810,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\RectTransform\RectTransform_-9197106425131633810.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,RectTransform,RectTransform_-9152790226445864082,-9152790226445864082,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\RectTransform\RectTransform_-9152790226445864082.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,RectTransform,RectTransform_-9100127952239987858,-9100127952239987858,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\RectTransform\RectTransform_-9100127952239987858.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,MonoBehaviour,MonoBehaviour_-9098978313648737426,-9098978313648737426,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\MonoBehaviour\MonoBehaviour_-9098978313648737426.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,MonoBehaviour,MonoBehaviour_-9097533517241715858,-9097533517241715858,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\MonoBehaviour\MonoBehaviour_-9097533517241715858.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,GameObject,btnShop1,-9093866355859721362,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\GameObject\btnShop1.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,GameObject,@imgHightLight,-9054161147042925714,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\GameObject\@imgHightLight.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,GameObject,Text,-9050118213747346578,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\GameObject\Text.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,RectTransform,RectTransform_-9048493244476886162,-9048493244476886162,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\RectTransform\RectTransform_-9048493244476886162.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,RectTransform,RectTransform_-9036028119397567634,-9036028119397567634,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\RectTransform\RectTransform_-9036028119397567634.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,MonoBehaviour,MonoBehaviour_-9019925272893394066,-9019925272893394066,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\MonoBehaviour\MonoBehaviour_-9019925272893394066.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,MonoBehaviour,MonoBehaviour_-8997030062815448210,-8997030062815448210,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\MonoBehaviour\MonoBehaviour_-8997030062815448210.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,RectTransform,RectTransform_-8975375500592876690,-8975375500592876690,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\RectTransform\RectTransform_-8975375500592876690.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,MonoBehaviour,MonoBehaviour_-8974741001635433618,-8974741001635433618,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\MonoBehaviour\MonoBehaviour_-8974741001635433618.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,MonoBehaviour,MonoBehaviour_-8949111697147235474,-8949111697147235474,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\MonoBehaviour\MonoBehaviour_-8949111697147235474.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,RectTransform,RectTransform_-8919558753271680146,-8919558753271680146,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\RectTransform\RectTransform_-8919558753271680146.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,RectTransform,RectTransform_-8918448189918481554,-8918448189918481554,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\RectTransform\RectTransform_-8918448189918481554.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,GameObject,txtRateTip,-8891210425438506130,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\GameObject\txtRateTip.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,RectTransform,RectTransform_-8825265276910898322,-8825265276910898322,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\RectTransform\RectTransform_-8825265276910898322.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,MonoBehaviour,MonoBehaviour_-8816858812493925522,-8816858812493925522,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\MonoBehaviour\MonoBehaviour_-8816858812493925522.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,MonoBehaviour,MonoBehaviour_-8794627327791795346,-8794627327791795346,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\MonoBehaviour\MonoBehaviour_-8794627327791795346.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,GameObject,@LotteryDrawTabGrid3,-8790055168286788754,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\GameObject\@LotteryDrawTabGrid3.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,GameObject,pnlRedDot,-8785326121784511634,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\GameObject\pnlRedDot.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,GameObject,pnlHero4,-8777103628180851858,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\GameObject\pnlHero4.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,GameObject,btn,-8769748918977629330,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\GameObject\btn.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,MonoBehaviour,MonoBehaviour_-8767246547050564754,-8767246547050564754,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\MonoBehaviour\MonoBehaviour_-8767246547050564754.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,GameObject,btnClick,-8723807349439466642,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\GameObject\btnClick.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,RectTransform,RectTransform_-8696448712975453330,-8696448712975453330,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\RectTransform\RectTransform_-8696448712975453330.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,MonoBehaviour,MonoBehaviour_-8691917042549853330,-8691917042549853330,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\MonoBehaviour\MonoBehaviour_-8691917042549853330.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,GameObject,imgWishHero,-8683520087376596114,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\GameObject\imgWishHero.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,RectTransform,RectTransform_-8658954832884927634,-8658954832884927634,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\RectTransform\RectTransform_-8658954832884927634.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,GameObject,txtTag1,-8636131840002428050,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\GameObject\txtTag1.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,GameObject,txtIntegralSlider,-8603000624292564114,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\GameObject\txtIntegralSlider.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,MonoBehaviour,MonoBehaviour_-8602182847434263698,-8602182847434263698,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\MonoBehaviour\MonoBehaviour_-8602182847434263698.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,RectTransform,RectTransform_-8574209750375795858,-8574209750375795858,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\RectTransform\RectTransform_-8574209750375795858.bin,raw
resources\assets\yoo\Default\1918525995d5a5ed05fce5506c55ca0d.bundle,RectTransform,RectTransform_-8500730456942251154,-8500730456942251154,reverse-output\gacha-static\ui-prefab-export\LotteryDrawMainView\by_type\RectTransform\RectTransform_-8500730456942251154.bin,raw
