_index,id,sceneType,dialogueType,name,spine,optionType,option,keyOption,trait,traitInterval,nextId,plotText,sound,animation,pic,image,bgType,bg,bgm,skip,skipId,_trailingBytes,nameText,plotTextResolved,optionResolved
0,105101010,1,,,,,,0,,,105101020,gal_map_text_105101010,,,0,,1,,gal_bg_room_1,1,105101040,157950,,夜晚宿舍內的燈毫無徵兆的熄滅了，似乎是停電了。,
1,105101020,2,1,,10501,,,0,,,105101030,gal_map_text_105101020,,,2,,2,gal_bg_room_6,,1,105101040,157950,,此時黑暗中傳來一聲驚呼，接著你就感覺有一個人掛在了你身上。,
2,105101030,2,1,,10501,,,0,,,105101040,gal_map_text_105101030,,,2,,0,,,1,105101040,157950,,你沒想到白虎居然怕黑，你能感受到她身體的微顫，周圍只剩彼此的呼吸聲。,
3,105101040,2,2,gal_name_05,10501,2,gal_map_text_105101050|gal_map_text_105101060|gal_map_text_105101070,1,,,105101080|105101090|105101100,gal_map_text_105101040,,,1,,0,,,0,105101040,157950,唐笑笑,我們該怎麼辦？快想想辦法！,
4,105101080,2,1,,10501,,,0,,,105101110,gal_map_text_105101080,,,2,,0,,,1,-1,157950,,白虎被你嚇了一跳，在你的鼻子上來了一拳，你暈倒在了地上，第二天才醒來。,
5,105101090,2,1,,10501,,,0,,,105101110,gal_map_text_105101090,,,2,,0,,,1,-1,157950,,你帶著身上的“掛件”去尋找電閘，期間她一直抱著你不鬆手。,
6,105101100,2,1,,10501,,,0,,,105101110,gal_map_text_105101100,,,2,,0,,,1,-1,157950,,你們在黑暗中分享了各自怕黑的小故事，她慢慢放鬆了下來，不再害怕。,
7,105101110,2,1,,10501,,,0,,,-1,gal_map_text_105101110,,,2,,0,,,1,-1,157950,,你對白虎的性格似乎又更加瞭解了一點...,
8,101101010,2,1,,,,,0,,,101101020,gal_map_text_101101010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,101101060,157950,,深夜的宿舍裡，你肚子餓得咕咕叫，悄悄摸出最後一包泡面準備解饞。,
9,101101020,2,1,,10101,,,0,,,101101030,gal_map_text_101101020,,,2,,0,,,1,101101060,157950,,剛撕開包裝袋，妲己就從門外探出頭來，眼睛亮晶晶地盯著你手裡的泡面。,
10,101101030,2,1,gal_name_01,10101,,,0,,,101101040,gal_map_text_101101030,,,1,,0,,,1,101101060,157950,蘇嬋,喂，你居然偷偷藏吃的！,
11,101101040,2,1,,10101,,,0,,,101101050,gal_map_text_101101040,,,2,,0,,,1,101101060,157950,,當你正要打開調料包時，妲己的手也同時伸了過來，兩人的手指不小心碰到了一起。,
12,101101050,2,1,,10101,,,0,,,101101060,gal_map_text_101101050,,,2,,0,,,1,101101060,157950,,她的臉頰瞬間泛起紅暈，卻依然嘴硬,
13,101101060,2,2,gal_name_01,10101,2,gal_map_text_101101070|gal_map_text_101101080|gal_map_text_101101090,1,,,101101100|101101120|101101140,gal_map_text_101101060,,,1,,0,,,0,101101060,157950,蘇嬋,看什麼看，我只是...只是覺得你笨手笨腳的！,
14,101101100,2,1,,10101,,,0,,,101101150,gal_map_text_101101100,,,2,,0,,,1,-1,157950,,妲己得意地哼了一聲，認真地調配調料，最後卻悄悄把大部分面都撥到了你的碗裡。,
15,101101110,2,1,,10101,,,0,,,101101120,gal_map_text_101101110,,,2,,0,,,1,-1,157950,,妲己立刻瞪了你一眼，伸手搶過泡面,
16,101101120,2,1,gal_name_01,10101,,,0,,,101101150,gal_map_text_101101120,,,1,,0,,,1,-1,157950,蘇嬋,小氣鬼！我才不稀罕呢！,
17,101101130,2,1,,10101,,,0,,,101101140,gal_map_text_101101130,,,2,,0,,,1,-1,157950,,妲己愣了一下，彆扭地說,
18,101101140,2,1,gal_name_01,10101,,,0,,,101101150,gal_map_text_101101140,,,1,,0,,,1,-1,157950,蘇嬋,誰...誰要你讓啊！,
