_index,id,frontChapter,stepId,title,summary,reward,battleTag,army,scene,unlockTime,_trailingBytes,titleResolved,summaryResolved
0,1001001,,1001,role_chapter_title_1001001,role_chapter_title_1001001_01,1604001,1,1;3;0;0;30111;1|2;3;0;0;30112;1|3;3;0;0;30113;1|4;3;0;0;30114;1|5;3;0;0;30115;1,BattleScene_09_CZDY,0,270,PSO-101,暗夜追獵：消失的身影
1,1001002,1001001,1002,role_chapter_title_1001002,role_chapter_title_1001002_01,1604002,1,1;3;0;0;30121;1|2;3;0;0;30122;1|3;3;0;0;30123;1|4;1;240037;8;30124;1|5;3;0;0;30125;1,BattleScene_09_CZDY,2,270,PSO-102,囚籠困獸：荒誕的線索
2,1001003,1001002,1003,role_chapter_title_1001003,role_chapter_title_1001003_01,1604003,1,1;3;0;0;30131;1|2;3;0;0;30132;1|3;3;0;0;30133;1|4;1;240037;8;30134;1|5;3;0;0;30135;1,BattleScene_09_CZDY,4,270,PSO-103,餅乾牢籠：下一頓怎麼辦？
3,1001004,1001003,1004,role_chapter_title_1001004,role_chapter_title_1001004_01,1604004,1,1;3;0;0;30141;1|2;3;0;0;30142;1|3;3;0;0;30143;1|4;1;240037;8;30144;1|5;3;0;0;30145;1,BattleScene_09_CZDY,6,270,PSO-104,內網密語：失控的自由
4,1001005,1001004,1005,role_chapter_title_1001005,role_chapter_title_1001005_01,1604005,1,1;3;0;0;30151;1|2;3;0;0;30152;1|3;3;0;0;30153;1|4;1;240037;8;30154;1|5;3;0;0;30155;1,BattleScene_09_CZDY,8,270,PSO-105,微妙歸程：戰戟與能量棒
5,1001006,1001005,1006,role_chapter_title_1001006,role_chapter_title_1001006_01,1604006,1,1;3;0;0;30161;1|2;3;0;0;30162;1|3;3;0;0;30163;1|4;1;240037;8;30164;1|5;3;0;0;30165;1,BattleScene_09_CZDY,10,270,PSO-106,廚房協議：她與不設防的束縛
6,1001007,1001006,1007,role_chapter_title_1001007,role_chapter_title_1001007_01,1604007,1,1;3;0;0;30171;1|2;3;0;0;30172;1|3;3;0;0;30173;1|4;1;240037;8;30174;1|5;3;0;0;30175;1,BattleScene_09_CZDY,12,270,PSO-107,最後的告別：朝陽下的賞金獵人
7,1002001,,2001,role_chapter_title_1002001,role_chapter_title_1002001_01,1614001,1,1;3;0;0;30211;1|2;3;0;0;30212;1|3;3;0;0;30213;1|4;1;240076;8;30214;1|5;3;0;0;30215;1,BattleScene_12_DHSH,0,270,第一回,聽曲
8,1002002,1002001,2002,role_chapter_title_1002002,role_chapter_title_1002002_01,1614002,1,1;3;0;0;30221;1|2;3;0;0;30222;1|3;3;0;0;30223;1|4;1;240045;8;30224;1|5;3;0;0;30225;1,BattleScene_12_DHSH,2,270,第二回,廟會
9,1002003,1002002,2003,role_chapter_title_1002003,role_chapter_title_1002003_01,1614003,1,1;3;0;0;30231;1|2;3;0;0;30232;1|3;3;0;0;30233;1|4;1;240062;8;30234;1|5;3;0;0;30235;1,BattleScene_12_DHSH,4,270,第三回,槐仙
10,1002004,1002003,2004,role_chapter_title_1002004,role_chapter_title_1002004_01,1614004,1,1;3;0;0;30241;1|2;3;0;0;30242;1|3;3;0;0;30243;1|4;1;240053;8;30244;1|5;3;0;0;30245;1,BattleScene_12_DHSH,6,270,第四回,荒地
11,1002005,1002004,2005,role_chapter_title_1002005,role_chapter_title_1002005_01,1614005,1,1;3;0;0;30251;1|2;3;0;0;30252;1|3;3;0;0;30253;1|4;1;240053;8;30254;1|5;3;0;0;30255;1,BattleScene_12_DHSH,8,270,第五回,偶遇
12,1002006,1002005,2006,role_chapter_title_1002006,role_chapter_title_1002006_01,1614006,1,1;3;0;0;30261;1|2;3;0;0;30262;1|3;3;0;0;30263;1|4;1;240054;8;30264;1|5;3;0;0;30265;1,BattleScene_12_DHSH,10,270,第六回,典籍
13,1002007,1002006,2007,role_chapter_title_1002007,role_chapter_title_1002007_01,1614007,1,1;3;0;0;30271;1|2;3;0;0;30272;1|3;3;0;0;30273;1|4;1;240054;8;30274;1|5;3;0;0;30275;1,BattleScene_12_DHSH,12,270,第七回,詭曲
