_index,id,name,questId,reward,rewardShow,unlock,description,description1,icon,background,tips,posX,posY,mechaShow,picture,box,rewardDes,_trailingBytes
0,9999,chapter1,,,,1,chaDes0,chaDes101,chapter_tu_00,chapter_chufa_00,0,0,0,0,0,,,207
1,1,chapter2,6001001|6001002|6001003|6001004,270001,0,1,chaDes0,chaDes102,chapter_tu_01,chapter_chufa_01,0,-30,240,24003001,jijia_003,,0,207
2,2,chapter3,6002001|6002002|6002003|6002004,270002,0,1,chaDes1,chaDes103,chapter_tu_02,chapter_chufa_02,0,-30,240,24003001,jijia_005,,0,207
3,3,chapter4,6003001|6003002|6003003|6003004,270003,0,1,chaDes0,chaDes105,chapter_tu_04,chapter_chufa_03,0,-30,240,24004301,jijia_004,,0,207
4,4,chapter5,6004001|6004002|6004003|6004004,270004,210020;30,1,chaDes2,chaDes104,chapter_tu_03,chapter_chufa_04,0,-30,240,24004301,0,loge_2xing,reward_des_1,207
5,5,chapter6,6005001|6005002|6005003|6005004,270005,0,1,chaDes3,chaDes106,chapter_tu_05,chapter_chufa_05,0,-50,400,24006502,0,0,0,207
6,6,chapter7,6006001|6006002|6006003|6006004,270006,1000010;150,1,chaDes3,chaDes106,chapter_tu_00,chapter_chufa_01,0,-50,400,24006502,0,loge_qita,reward_des_2,207
7,7,chapter8,6007001|6007002|6007003|6007004,270007,0,1,chaDes3,chaDes106,chapter_tu_01,chapter_chufa_02,0,-50,400,24006502,0,0,0,207
8,8,chapter9,6008001|6008002|6008003|6008004,270008,0,1,chaDes3,chaDes106,chapter_tu_02,chapter_chufa_03,0,-50,400,24006502,0,0,0,207
9,9,chapter10,6009001|6009002|6009003|6009004,270009,210020;90,1,chaDes3,chaDes106,chapter_tu_04,chapter_chufa_04,0,-50,400,24006502,0,loge_3xing,reward_des_3,207
10,10,chapter11,6010001|6010002|6010003|6010004,270010,0,1,chaDes3,chaDes106,chapter_tu_03,chapter_chufa_05,0,-50,400,24006502,0,0,0,207
11,11,chapter12,6011001|6011002|6011003|6011004,270011,0,1,chaDes3,chaDes106,chapter_tu_05,chapter_chufa_02,0,-50,400,24006502,0,0,0,207
12,12,chapter13,6012001|6012002|6012003|6012004,270012,2900001;1,1,chaDes3,chaDes106,chapter_tu_00,chapter_chufa_04,0,-50,400,24006502,0,loge_pihu,reward_des_4,207
13,13,chapter14,6013001|6013002|6013003|6013004,270013,0,1,chaDes3,chaDes106,chapter_tu_01,chapter_chufa_01,0,-50,400,24006502,0,0,0,207
14,14,chapter15,6014001|6014002|6014003|6014004,270014,0,1,chaDes3,chaDes106,chapter_tu_02,chapter_chufa_03,0,-50,400,24006502,0,0,0,207
