_index,id,isSpecial,stepType,name,image,position,state,action,image2,position2,state2,action2,textId,aside,asideBg,num,sound,backgroundSound,background,funName,picture,dataId,changeType,dateName,dateMark,_trailingBytes
0,70001,1,1,max_battle_role_02,ailin_wx,2,1,5,,0,0,0,fwdate_001,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378
1,70002,1,1,max_battle_role_01,aide_sl,2,1,5,,0,0,0,fwdate_002,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378
2,70003,1,1,max_battle_role_01,aide_wx,2,1,5,,0,0,0,fwdate_003,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378
3,70004,1,1,max_battle_role_01,aide_sl,2,1,9,,0,0,0,fwdate_004,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378
4,70005,1,1,max_battle_role_01,aide_jj,2,1,9,,0,0,0,fwdate_005,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378
5,70006,1,1,liuming,liuming,2,1,9,,0,0,0,fwdate_006,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378
6,70007,1,1,max_battle_role_01,aide_hunt,2,1,9,,0,0,0,fwdate_007,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378
7,70008,1,1,max_battle_role_01,aide_hunt,2,1,9,,0,0,0,fwdate_008,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378
8,70009,1,1,liuming,liuming,2,1,5,,0,0,0,fwdate_009,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378
9,70010,1,1,liuming,liuming,2,1,5,,0,0,0,fwdate_010,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378
10,70011,1,1,max_battle_role_01,aide_jj,2,1,9,,0,0,0,fwdate_011,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378
11,70012,1,1,max_battle_role_02,ailin_hp,2,1,9,,0,0,0,fwdate_012,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378
12,70013,1,1,liuming,liuming,2,1,9,,0,0,0,fwdate_013,0,,0,,,scene_black,,Dialogbox_01,0,,,0,378
13,80001,1,1,,,0,0,0,,0,0,0,rogue_story_1001,1,,0,,,Roguelike_bg_01,SpriteFromRogue,Dialogbox_01,80002,7,,0,378
14,80002,1,1,,,0,0,0,,0,0,0,rogue_story_1002,1,,0,,,Roguelike_bg_01,SpriteFromRogue,Dialogbox_01,80003,3,,0,378
15,80003,1,1,,,0,0,0,,0,0,0,rogue_story_1003,1,,0,,,Roguelike_bg_01,SpriteFromRogue,Dialogbox_01,80004,,,0,378
16,80004,1,1,,,0,0,0,,0,0,0,rogue_story_1004,1,,0,,,Roguelike_bg_01,SpriteFromRogue,Dialogbox_01,80005,,,0,378
17,80005,1,1,,,0,0,0,,0,0,0,rogue_story_1005,1,,0,,,Roguelike_bg_01,SpriteFromRogue,Dialogbox_01,-1,,,0,378
18,80011,1,1,,,0,0,0,,0,0,0,rogue_story_2001,1,,0,,,Roguelike_bg_01,SpriteFromRogue,Dialogbox_01,80012,7,,0,378
19,80012,1,1,,,0,0,0,,0,0,0,rogue_story_2002,1,,0,,,Roguelike_bg_01,SpriteFromRogue,Dialogbox_01,80013,7,,0,378
20,80013,1,1,,,0,0,0,,0,0,0,rogue_story_2003,1,,0,,,Roguelike_bg_01,SpriteFromRogue,Dialogbox_01,80014,7,,0,378
21,80014,1,1,,,0,0,0,,0,0,0,rogue_story_2004,1,,0,,,Roguelike_bg_01,SpriteFromRogue,Dialogbox_01,-1,7,,0,378
