_index,id,hero,isAgain,plot,num,answer,favor,traitLimit,condition,weight,_trailingBytes
0,240030001,240030,1,80001,2,1;0;0;0|-1;0;0;0,0|0,,24001,1000,739
1,240030002,240030,1,80002,2,1;0;0;0|-1;0;0;0,0|0,,24001,1000,739
2,240030003,240030,1,80003,2,1;0;0;0|-1;0;0;0,0|0,,24001,1000,739
3,240030004,240030,1,80004,2,1;0;0;0|-1;0;0;0,0|0,,24001,1000,739
4,240030005,240030,1,80005,2,1;0;0;0|-1;0;0;0,0|0,,24001,1000,739
5,240043001,240043,1,80006,2,1;0;0;0|-1;0;0;0,0|0,,24006,1000,739
6,240043002,240043,1,80007,3,1;0;0;0|-1;0;0;0|-3;0;0;0,0|0|0,,24006,1000,739
7,240043003,240043,1,80008,3,1;0;0;0|-1;0;0;0|-3;0;0;0,0|0|0,,24006,1000,739
8,240043004,240043,1,80009,3,1;0;0;0|-1;0;0;0|-3;0;0;0,0|0|0,,24006,1000,739
9,240043005,240043,1,80010,3,1;0;0;0|-1;0;0;0|-3;0;0;0,0|0|0,,24006,1000,739
10,240065001,240065,1,80011,3,1;0;0;0|-1;0;0;0|-3;0;0;0,0|0|0,,24011,1000,739
11,240065002,240065,1,80012,3,1;0;0;0|-1;0;0;0|-3;0;0;0,0|0|0,,24011,1000,739
12,240065003,240065,1,80013,3,1;0;0;0|-1;0;0;0|-3;0;0;0,0|0|0,,24011,1000,739
13,240065004,240065,1,80014,3,1;0;0;0|-1;0;0;0|-3;0;0;0,0|0|0,,24011,1000,739
14,240065005,240065,1,80015,3,1;0;0;0|-1;0;0;0|-3;0;0;0,0|0|0,,24011,1000,739
15,240093001,240093,1,80016,3,1;0;0;0|-1;0;0;0|-3;0;0;0,0|0|0,,24016,1000,739
16,240093002,240093,1,80017,3,1;0;0;0|-1;0;0;0|-3;0;0;0,0|0|0,,24016,1000,739
17,240093003,240093,1,80018,3,1;0;0;0|-1;0;0;0|-3;0;0;0,0|0|0,,24016,1000,739
18,240093004,240093,1,80019,3,1;0;0;0|-1;0;0;0|-3;0;0;0,0|0|0,,24016,1000,739
19,240093005,240093,1,80020,4,1;0;0;0|-1;0;0;0|-3;0;0;0|-5;0;0;0,0|0|0|0,0|-100;-10,24016,1000,739
20,240094001,240094,1,80021,4,1;0;0;0|-1;0;0;0|-3;0;0;0|-5;0;0;0,0|0|0|0,1|-100;-10,24021,1000,739
21,240094002,240094,1,80022,4,1;0;0;0|-1;0;0;0|-3;0;0;0|-5;0;0;0,0|0|0|0,2|-100;-10,24021,1000,739
22,240094003,240094,1,80023,4,1;0;0;0|-1;0;0;0|-3;0;0;0|-5;0;0;0,0|0|0|0,3|-100;-10,24021,1000,739
23,240094004,240094,1,80024,4,1;0;0;0|-1;0;0;0|-3;0;0;0|-5;0;0;0,0|0|0|0,,24021,1000,739
24,240094005,240094,1,80025,4,1;0;0;0|-1;0;0;0|-3;0;0;0|-5;0;0;0,0|0|0|0,,24021,1000,739
25,240096001,240096,1,80026,4,1;0;0;0|-1;0;0;0|-3;0;0;0|-5;0;0;0,0|0|0|0,,24026,1000,739
26,240096002,240096,1,80027,4,1;0;0;0|-1;0;0;0|-3;0;0;0|-5;0;0;0,0|0|0|0,,24026,1000,739
27,240096003,240096,1,80028,4,1;0;0;0|-1;0;0;0|-3;0;0;0|-5;0;0;0,0|0|0|0,,24026,1000,739
28,240096004,240096,1,80029,4,1;0;0;0|-1;0;0;0|-3;0;0;0|-5;0;0;0,0|0|0|0,,24026,1000,739
29,240096005,240096,1,80030,4,1;0;0;0|-1;0;0;0|-3;0;0;0|-5;0;0;0,0|0|0|0,,24026,1000,739
30,240101001,240101,1,80031,4,1;0;0;0|-1;0;0;0|-3;0;0;0|-5;0;0;0,0|0|0|0,,24031,1000,739
31,240101002,240101,1,80032,4,1;0;0;0|-1;0;0;0|-3;0;0;0|-5;0;0;0,0|0|0|0,,24031,1000,739
32,240101003,240101,0,80033,4,1;0;0;0|-1;0;0;0|-3;0;0;0|-5;0;0;0,0|0|0|0,,24031,1000,739
33,240101004,240101,0,80034,4,1;0;0;0|-1;0;0;0|-3;0;0;0|-5;0;0;0,0|0|0|0,,24031,1000,739
34,240101005,240101,0,80035,4,1;0;0;0|-1;0;0;0|-3;0;0;0|-5;0;0;0,0|0|0|0,,24031,1000,739
