_index,id,plot,reward,condition,name,pic,_trailingBytes
0,24003001,3110010,70001,80104,gal_memory_name_24003001,gal_memory_pic_24003001,704
1,24003002,3120010,70002,80108,gal_memory_name_24003002,gal_memory_pic_24003002,704
2,24003003,3130010,70003,80112,gal_memory_name_24003003,gal_memory_pic_24003003,704
3,24003004,3140010,70004,80116,gal_memory_name_24003004,gal_memory_pic_24003004,704
4,24003005,3150010,70005,80120,gal_memory_name_24003005,gal_memory_pic_24003005,704
5,24004301,30210010,70001,80204,gal_memory_name_24004301,gal_memory_pic_24003001,704
6,24004302,30220010,70002,80208,gal_memory_name_24004302,gal_memory_pic_24003002,704
7,24004303,30230010,70003,80212,gal_memory_name_24004303,gal_memory_pic_24003003,704
8,24004304,30240010,70004,80216,gal_memory_name_24004304,gal_memory_pic_24003004,704
9,24004305,30250010,70005,80220,gal_memory_name_24004305,gal_memory_pic_24003005,704
10,24006501,30310010,70001,80304,gal_memory_name_24006501,gal_memory_pic_24003001,704
11,24006502,30320010,70002,80308,gal_memory_name_24006502,gal_memory_pic_24003002,704
12,24006503,30330010,70003,80312,gal_memory_name_24006503,gal_memory_pic_24003003,704
13,24006504,30340010,70004,80316,gal_memory_name_24006504,gal_memory_pic_24003004,704
14,24006505,30350010,70005,80320,gal_memory_name_24006505,gal_memory_pic_24003005,704
15,24009301,30410010,70001,80404,gal_memory_name_24009301,gal_memory_pic_24003001,704
16,24009302,30420010,70002,80408,gal_memory_name_24009302,gal_memory_pic_24003002,704
17,24009303,30430010,70003,80412,gal_memory_name_24009303,gal_memory_pic_24003003,704
18,24009304,30440010,70004,80416,gal_memory_name_24009304,gal_memory_pic_24003004,704
19,24009305,30450010,70005,80420,gal_memory_name_24009305,gal_memory_pic_24003005,704
20,24009401,30510010,70001,80504,gal_memory_name_24009401,gal_memory_pic_24003001,704
21,24009402,30520010,70002,80508,gal_memory_name_24009402,gal_memory_pic_24003002,704
22,24009403,30530010,70003,80512,gal_memory_name_24009403,gal_memory_pic_24003003,704
23,24009404,30540010,70004,80516,gal_memory_name_24009404,gal_memory_pic_24003004,704
24,24009405,30550010,70005,80520,gal_memory_name_24009405,gal_memory_pic_24003005,704
25,24009601,30610010,70001,80604,gal_memory_name_24009601,gal_memory_pic_24003001,704
26,24009602,30620010,70002,80608,gal_memory_name_24009602,gal_memory_pic_24003002,704
27,24009603,30630010,70003,80612,gal_memory_name_24009603,gal_memory_pic_24003003,704
28,24009604,30640010,70004,80616,gal_memory_name_24009604,gal_memory_pic_24003004,704
29,24009605,30650010,70005,80620,gal_memory_name_24009605,gal_memory_pic_24003005,704
30,24010101,30710010,70001,80704,gal_memory_name_24010101,gal_memory_pic_24003001,704
31,24010102,30720010,70002,80708,gal_memory_name_24010102,gal_memory_pic_24003002,704
32,24010103,30730010,70003,80712,gal_memory_name_24010103,gal_memory_pic_24003003,704
33,24010104,30740010,70004,80716,gal_memory_name_24010104,gal_memory_pic_24003004,704
34,24010105,30750010,70005,80720,gal_memory_name_24010105,gal_memory_pic_24003005,704
