_index,id,sceneType,dialogueType,name,spine,optionType,option,keyOption,trait,traitInterval,nextId,plotText,sound,animation,pic,image,bgType,bg,bgm,skip,skipId,_trailingBytes
0,105101010,1,,,,,,0,,,105101020,gal_map_text_105101010,,,0,,1,,gal_bg_room_1,1,105101040,157950
1,105101020,2,1,,10501,,,0,,,105101030,gal_map_text_105101020,,,2,,2,gal_bg_room_6,,1,105101040,157950
2,105101030,2,1,,10501,,,0,,,105101040,gal_map_text_105101030,,,2,,0,,,1,105101040,157950
3,105101040,2,2,gal_name_05,10501,2,gal_map_text_105101050|gal_map_text_105101060|gal_map_text_105101070,1,,,105101080|105101090|105101100,gal_map_text_105101040,,,1,,0,,,0,105101040,157950
4,105101080,2,1,,10501,,,0,,,105101110,gal_map_text_105101080,,,2,,0,,,1,-1,157950
5,105101090,2,1,,10501,,,0,,,105101110,gal_map_text_105101090,,,2,,0,,,1,-1,157950
6,105101100,2,1,,10501,,,0,,,105101110,gal_map_text_105101100,,,2,,0,,,1,-1,157950
7,105101110,2,1,,10501,,,0,,,-1,gal_map_text_105101110,,,2,,0,,,1,-1,157950
8,101101010,2,1,,,,,0,,,101101020,gal_map_text_101101010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,101101060,157950
9,101101020,2,1,,10101,,,0,,,101101030,gal_map_text_101101020,,,2,,0,,,1,101101060,157950
10,101101030,2,1,gal_name_01,10101,,,0,,,101101040,gal_map_text_101101030,,,1,,0,,,1,101101060,157950
11,101101040,2,1,,10101,,,0,,,101101050,gal_map_text_101101040,,,2,,0,,,1,101101060,157950
12,101101050,2,1,,10101,,,0,,,101101060,gal_map_text_101101050,,,2,,0,,,1,101101060,157950
13,101101060,2,2,gal_name_01,10101,2,gal_map_text_101101070|gal_map_text_101101080|gal_map_text_101101090,1,,,101101100|101101120|101101140,gal_map_text_101101060,,,1,,0,,,0,101101060,157950
14,101101100,2,1,,10101,,,0,,,101101150,gal_map_text_101101100,,,2,,0,,,1,-1,157950
15,101101110,2,1,,10101,,,0,,,101101120,gal_map_text_101101110,,,2,,0,,,1,-1,157950
16,101101120,2,1,gal_name_01,10101,,,0,,,101101150,gal_map_text_101101120,,,1,,0,,,1,-1,157950
17,101101130,2,1,,10101,,,0,,,101101140,gal_map_text_101101130,,,2,,0,,,1,-1,157950
18,101101140,2,1,gal_name_01,10101,,,0,,,101101150,gal_map_text_101101140,,,1,,0,,,1,-1,157950
19,101101150,2,1,,10101,,,0,,,-1,gal_map_text_101101150,,,2,,0,,,1,-1,157950
20,102101010,2,1,,,,,0,,,102101020,gal_map_text_102101010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,102101060,157950
21,102101020,2,1,,10201,,,0,,,102101030,gal_map_text_102101020,,,2,,0,,,1,102101060,157950
22,102101030,2,1,,10201,,,0,,,102101040,gal_map_text_102101030,,,2,,0,,,1,102101060,157950
23,102101040,2,1,gal_name_02,10201,,,0,,,102101050,gal_map_text_102101040,,,1,,0,,,1,102101060,157950
24,102101050,2,1,,10201,,,0,,,102101060,gal_map_text_102101050,,,2,,0,,,1,102101060,157950
25,102101060,2,2,gal_name_02,10201,2,gal_map_text_102101070|gal_map_text_102101080|gal_map_text_102101090,1,,,102101100|102101120|102101140,gal_map_text_102101060,,,1,,0,,,0,102101060,157950
26,102101100,2,1,,10201,,,0,,,102101110,gal_map_text_102101100,,,2,,0,,,1,-1,157950
27,102101110,2,1,gal_name_02,10201,,,0,,,102101160,gal_map_text_102101110,,,1,,0,,,1,-1,157950
28,102101120,2,1,,10201,,,0,,,102101130,gal_map_text_102101120,,,2,,0,,,1,-1,157950
29,102101130,2,1,gal_name_02,10201,,,0,,,102101160,gal_map_text_102101130,,,1,,0,,,1,-1,157950
30,102101140,2,1,,10201,,,0,,,102101150,gal_map_text_102101140,,,2,,0,,,1,-1,157950
31,102101150,2,1,gal_name_02,10201,,,0,,,102101160,gal_map_text_102101150,,,1,,0,,,1,-1,157950
32,102101160,2,1,,,,,0,,,-1,gal_map_text_102101160,,,2,,0,,,1,-1,157950
33,103101010,2,1,,,,,0,,,103101020,gal_map_text_103101010,,,2,,2,gal_bg_room_1,gal_bg_room_2,1,103101050,157950
34,103101020,2,1,,10301,,,0,,,103101030,gal_map_text_103101020,,,2,,0,,,1,103101050,157950
35,103101030,2,1,gal_name_03,10301,,,0,,,103101040,gal_map_text_103101030,,,1,,0,,,1,103101050,157950
36,103101040,2,1,gal_name_03,10301,,,0,,,103101050,gal_map_text_103101040,,,1,,0,,,1,103101050,157950
37,103101050,2,2,,10301,2,gal_map_text_103101060|gal_map_text_103101070|gal_map_text_103101080,1,,,103101090|103101110|103101130,gal_map_text_103101050,,,2,,0,,,0,103101050,157950
